episode,investor_return,fair_1_return,max_1_return,rnd_1_return
149,2674.9,1686.0,1175.85,2855.25
150,2510.3,2079.75,712.2,2769.75
151,1968.95,2364.75,745.8,3142.5
152,2166.95,2289.75,636.3,3195.0
153,2667.2,2007.0,606.3,2923.5
154,2685.3,1595.25,945.45,3090.0
155,3004.0,1695.0,580.5,2740.5
156,2370.55,2420.25,615.45,2745.75
157,1308.5,3092.7,557.55,2825.25
158,1175.55,3149.7,443.25,2773.5
159,698.95,3781.2,977.1,2574.75
160,1422.65,2837.7,540.9,3054.75
161,2486.75,2266.2,509.55,2497.5
162,2370.6,2294.25,970.65,2356.5
163,2236.05,2277.0,927.45,2965.5
164,2505.45,2374.2,474.6,2559.75
165,1369.0,3414.0,601.5,2533.5
166,1139.5,3399.6,432.15,2730.75
167,202.0,4218.9,506.85,2876.25
168,1083.65,3079.65,460.2,3088.5
169,1396.0,3288.75,453.0,2894.25
170,2277.75,2668.2,653.55,2536.5
171,3414.95,1731.75,493.8,2431.5
172,2881.55,1689.75,831.45,2999.25
173,2248.25,1729.5,1418.25,3060.0
174,2563.65,2077.5,509.1,2949.75
175,2434.3,2337.75,460.2,2793.75
176,2597.9,2103.0,539.1,2850.0
177,2568.7,1634.25,772.8,3092.25
178,2560.6,2136.75,466.65,2802.0
179,2008.9,2389.5,521.1,3058.5
180,1560.45,2456.25,627.3,3372.0
181,2093.45,2477.25,541.05,2900.25
182,2043.9,2667.0,471.6,2899.5
183,2228.7,2562.0,459.3,2838.0
184,2307.35,2431.5,511.65,2773.5
185,2550.35,2106.75,756.15,2898.75
186,3083.65,1459.5,572.1,2856.75
187,2711.2,1538.25,1375.05,2905.5
188,2997.9,1608.75,691.35,2940.0
189,3022.5,1589.25,1506.0,2618.25
190,2716.65,1866.75,656.1,2722.5
191,2446.0,2129.25,570.75,3000.0
192,2417.2,2315.25,620.55,2793.0
193,2237.8,2340.75,479.7,2847.75
194,1982.3,2676.0,414.45,2903.25
195,1746.2,2860.5,371.55,3063.75
196,2157.15,2456.25,361.35,3023.25
197,235.6,4216.95,909.45,3000.0
198,-612.2,2309.4,1077.3,1717.5
199,-325.45,3881.85,877.35,2462.25
200,2168.8,2751.75,537.45,2604.0
201,1988.95,2648.25,342.3,2962.5
202,2123.3,2551.5,381.45,2865.75
203,1940.35,2607.75,642.9,2895.0
204,1850.55,2588.7,672.0,3078.75
205,2131.6,2762.25,448.65,2827.5
206,2244.8,2254.5,475.95,2928.75
207,2413.05,2119.5,721.95,2971.5
208,2534.9,2099.25,461.85,3000.0
209,3134.4,1695.0,466.35,2846.25
210,2717.75,1539.0,785.25,3198.0
211,2877.95,1555.5,656.55,2820.0
212,3377.25,1254.0,804.0,2736.75
213,2416.5,2029.5,416.25,3063.75
214,2483.65,2234.25,725.1,2739.0
215,2594.85,2351.25,432.15,2559.75
216,2019.0,2480.7,427.8,2992.5
217,2280.4,2404.5,454.35,2880.75
218,1776.9,2416.5,552.6,3420.0
219,2300.85,2529.75,632.4,2745.0
220,2156.4,2469.75,664.35,2953.5
221,1772.05,2412.0,596.7,3395.25
222,2298.4,2286.0,724.35,2789.25
223,2826.25,2034.0,599.25,2812.5
224,3076.1,1925.25,536.4,2546.25
225,2256.45,2264.25,1226.55,2898.75
226,1861.2,2472.75,1298.55,3037.5
227,2068.6,2305.5,621.9,3120.0
228,2133.4,2454.0,725.85,2868.75
229,2080.05,2491.5,475.95,3130.5
230,2177.0,2474.7,349.8,2950.5
231,2285.45,2208.0,488.55,3180.0
232,2690.7,2122.5,436.8,2952.0
233,3156.25,1695.0,605.25,2791.5
234,3236.45,1527.75,460.8,2727.0
235,2434.85,1474.5,568.65,2490.0
236,2739.8,1571.25,416.7,2720.25
237,2763.7,1539.75,374.55,3180.0
238,3100.8,1541.25,1363.95,2676.0
239,2743.2,1676.25,555.3,3191.25
240,2436.6,2232.0,498.9,2938.5
241,2676.5,2413.5,505.5,2356.5
242,2742.35,2378.25,455.4,2550.0
243,1816.15,2613.75,548.85,3191.25
244,2237.95,2670.0,400.05,2700.0
245,2238.95,2459.25,295.05,2868.75
246,1822.75,2645.25,546.75,3035.25
247,2075.85,2771.25,582.9,2832.0
248,1887.35,2642.25,371.4,3075.0
249,2551.95,2212.5,467.55,2826.0
250,2856.25,1878.75,613.5,2893.5
251,2788.9,2050.5,779.1,2941.5
252,1978.55,1985.25,1185.45,3408.75
253,2856.4,1824.0,527.85,2679.75
254,2605.15,2130.75,671.85,2876.25
255,2344.8,2145.75,664.2,2915.25
256,2210.35,2246.25,837.15,3086.25
257,2485.55,2178.75,364.2,2773.5
258,2468.0,1836.75,482.25,2487.0
259,2115.15,2169.0,509.85,3246.0
260,2614.9,2067.0,446.1,2886.0
261,2364.85,2335.5,641.4,2750.25
262,2077.45,2379.0,397.8,3183.75
263,2752.6,2197.5,554.4,2695.5
264,2640.75,2070.0,830.25,2691.0
265,2613.5,2014.5,456.75,2855.25
266,2493.2,2176.5,391.05,3053.25
267,3238.3,1652.25,323.7,2913.75
268,3504.9,1465.5,468.6,2625.0
269,3276.65,1614.0,318.6,2802.75
270,3391.05,1662.0,931.95,2595.0
271,2455.15,1979.25,470.85,2688.75
272,3174.05,1821.75,565.95,2576.25
273,2049.9,2439.75,506.1,3056.25
274,2023.55,2553.0,286.95,2746.5
275,2203.25,2334.0,435.75,3165.0
276,2182.35,2073.75,537.15,2574.75
277,2146.0,2708.25,387.75,2814.0
278,2570.8,2412.0,364.95,2786.25
279,3106.7,1984.5,444.3,2458.5
