episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,55.0,60.0,0.35,105.0,0.325
2,55.0,105.0,0.3,210.0,0.425
3,81.25,198.75,0.375,240.0,0.475
4,-8.75,56.25,0.325,112.5,0.35
5,-25.0,198.75,0.275,206.25,0.35
6,117.5,180.0,0.5,112.5,0.5
7,225.0,150.0,0.6,135.0,0.475
8,18.75,221.25,0.275,150.0,0.425
9,-1.25,213.75,0.275,37.5,0.425
10,220.0,112.5,0.7,127.5,0.35
11,61.25,157.5,0.3,71.25,0.55
12,188.75,116.25,0.525,165.0,0.55
13,-6.25,90.0,0.35,86.25,0.325
14,255.0,142.5,0.7,172.5,0.425
15,5.0,75.0,0.375,120.0,0.375
16,32.5,90.0,0.5,67.5,0.4
17,3.75,52.5,0.45,123.75,0.325
18,-18.75,101.25,0.275,157.5,0.35
19,312.5,101.25,0.75,236.25,0.425
20,25.0,112.5,0.325,22.5,0.3
21,118.75,150.0,0.55,191.25,0.325
22,26.25,86.25,0.475,157.5,0.475
23,-18.75,172.5,0.3,176.25,0.3
24,47.5,82.5,0.475,210.0,0.35
25,16.25,123.75,0.325,150.0,0.375
26,335.0,30.0,0.95,75.0,0.4
27,21.25,146.25,0.4,142.5,0.3
28,141.25,67.5,0.625,131.25,0.35
29,90.0,123.75,0.525,146.25,0.275
30,107.5,112.5,0.7,180.0,0.375
31,138.75,101.25,0.525,300.0,0.5
32,23.75,45.0,0.625,191.25,0.325
33,23.75,112.5,0.55,273.75,0.325
34,165.0,206.25,0.575,108.75,0.4
35,262.5,78.75,0.775,198.75,0.3
36,62.5,78.75,0.775,168.75,0.35
37,71.25,93.75,0.775,75.0,0.425
38,32.5,30.0,0.725,67.5,0.35
39,43.75,101.25,0.55,195.0,0.4
40,287.5,33.75,0.9,198.75,0.425
41,116.25,180.0,0.6,63.75,0.3
42,232.5,90.0,0.825,157.5,0.3
43,53.75,75.0,0.725,191.25,0.275
44,163.75,0.0,0.95,86.25,0.3
45,1.25,127.5,0.525,221.25,0.325
46,43.75,146.25,0.55,60.0,0.375
47,-16.25,101.25,0.75,165.0,0.3
48,50.0,18.75,0.825,191.25,0.375
49,218.75,71.25,0.8,150.0,0.375
50,152.5,153.75,0.65,273.75,0.325
51,73.75,48.75,0.725,67.5,0.45
52,192.5,97.5,0.775,150.0,0.3
53,97.5,22.5,0.95,120.0,0.4
54,-31.25,112.5,0.675,198.75,0.3
55,81.25,26.25,0.875,82.5,0.225
56,97.5,108.75,0.775,153.75,0.275
57,32.5,71.25,0.7,146.25,0.275
58,292.5,60.0,0.875,217.5,0.35
59,156.25,60.0,0.8,33.75,0.3
60,252.5,41.25,0.875,146.25,0.375
61,-22.5,97.5,0.6,135.0,0.25
62,100.0,78.75,0.775,41.25,0.45
63,43.75,165.0,0.6,161.25,0.375
64,61.25,18.75,0.625,120.0,0.325
65,86.25,123.75,0.625,90.0,0.35
66,58.75,11.25,0.8,180.0,0.3
67,233.75,75.0,0.8,311.25,0.4
68,137.5,75.0,0.7,217.5,0.4
69,61.25,82.5,0.675,86.25,0.275
70,70.0,108.75,0.625,221.25,0.3
71,222.5,146.25,0.725,71.25,0.375
72,81.25,105.0,0.65,123.75,0.3
73,30.0,108.75,0.675,101.25,0.3
74,82.5,48.75,0.6,168.75,0.325
75,65.0,45.0,0.775,180.0,0.275
76,45.0,56.25,0.6,198.75,0.4
77,81.25,150.0,0.6,288.75,0.3
78,23.75,60.0,0.675,176.25,0.275
79,123.75,71.25,0.75,135.0,0.35
80,50.0,82.5,0.55,127.5,0.475
81,91.25,90.0,0.65,198.75,0.275
82,18.75,101.25,0.5,60.0,0.375
83,146.25,26.25,0.7,157.5,0.25
84,121.25,157.5,0.625,251.25,0.325
85,47.5,168.75,0.5,273.75,0.275
86,63.75,56.25,0.675,210.0,0.375
87,167.5,86.25,0.725,116.25,0.35
88,111.25,120.0,0.65,138.75,0.375
89,223.75,90.0,0.8,56.25,0.3
90,352.5,71.25,0.875,206.25,0.375
91,182.5,30.0,0.75,67.5,0.375
92,12.5,198.75,0.4,168.75,0.325
93,137.5,90.0,0.75,112.5,0.375
94,128.75,180.0,0.6,71.25,0.3
95,132.5,48.75,0.7,348.75,0.275
96,126.25,120.0,0.675,213.75,0.3
97,47.5,258.75,0.375,123.75,0.45
98,110.0,26.25,0.7,63.75,0.525
99,58.75,37.5,0.65,153.75,0.3
100,32.5,90.0,0.6,127.5,0.375
101,103.75,108.75,0.575,247.5,0.4
102,-31.25,90.0,0.525,221.25,0.2
103,61.25,161.25,0.525,217.5,0.375
104,3.75,71.25,0.625,225.0,0.2
105,108.75,131.25,0.65,210.0,0.325
106,93.75,153.75,0.575,142.5,0.3
107,70.0,101.25,0.65,168.75,0.25
108,-8.75,116.25,0.525,262.5,0.275
109,42.5,75.0,0.55,22.5,0.25
110,48.75,86.25,0.625,135.0,0.325
111,33.75,75.0,0.6,101.25,0.325
