timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,episode
0,fair_1,fair,0,4,46.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,6.25,3.75,0
0,max_1,max,0,4,36.25,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-3.75,30.0,0
1,fair_1,fair,0,4,32.5,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,-7.5,37.5,0
1,max_1,max,0,4,27.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-12.5,45.0,0
2,fair_1,fair,0,4,40.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,0.0,45.0,0
2,max_1,max,0,4,40.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,45.0,0
3,fair_1,fair,0,4,52.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,12.5,52.5,0
3,max_1,max,0,4,47.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,7.5,60.0,0
4,fair_1,fair,0,4,60.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,20.0,60.0,0
4,max_1,max,0,4,55.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,15.0,75.0,0
5,fair_1,fair,0,4,95.0,20.0,20.0,60.0,60.0,1.0,40.0,0.0,55.0,60.0,0
5,max_1,max,0,4,90.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,50.0,90.0,0
6,fair_1,fair,0,4,108.75,15.0,15.0,45.0,33.75,0.75,18.75,11.25,68.75,71.25,0
6,max_1,max,0,4,103.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,63.75,105.0,0
7,fair_1,fair,0,4,122.5,15.0,15.0,45.0,33.75,0.75,18.75,11.25,82.5,82.5,0
7,max_1,max,0,4,122.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5,105.0,0
8,fair_1,fair,0,4,141.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,101.25,93.75,0
8,max_1,max,0,4,141.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.25,105.0,0
9,fair_1,fair,0,4,166.25,20.0,20.0,60.0,45.0,0.75,25.0,15.0,126.25,108.75,0
9,max_1,max,0,4,161.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,121.25,120.0,0
0,fair_1,fair,0,4,46.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,6.25,3.75,1
0,max_1,max,0,4,41.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,1.25,15.0,1
1,fair_1,fair,0,4,47.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,7.5,7.5,1
1,max_1,max,0,4,42.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,2.5,30.0,1
2,fair_1,fair,0,4,48.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,8.75,11.25,1
2,max_1,max,0,4,33.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-6.25,75.0,1
3,fair_1,fair,0,4,73.75,20.0,20.0,60.0,60.0,1.0,40.0,0.0,33.75,11.25,1
3,max_1,max,0,4,73.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,33.75,75.0,1
4,fair_1,fair,0,4,81.25,15.0,15.0,45.0,22.5,0.5,7.5,22.5,41.25,33.75,1
4,max_1,max,0,4,71.25,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,31.25,105.0,1
5,fair_1,fair,0,4,76.25,10.0,10.0,30.0,15.0,0.5,5.0,15.0,36.25,48.75,1
5,max_1,max,0,4,66.25,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,26.25,135.0,1
6,fair_1,fair,0,4,72.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,32.5,52.5,1
6,max_1,max,0,4,57.5,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,17.5,180.0,1
7,fair_1,fair,0,4,63.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,23.75,56.25,1
7,max_1,max,0,4,53.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,13.75,210.0,1
8,fair_1,fair,0,4,66.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,26.25,63.75,1
8,max_1,max,0,4,56.25,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,16.25,240.0,1
9,fair_1,fair,0,4,68.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,28.75,71.25,1
9,max_1,max,0,4,58.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,18.75,270.0,1
0,fair_1,fair,0,4,36.25,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,-3.75,33.75,2
0,max_1,max,0,4,36.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-3.75,0.0,2
1,fair_1,fair,0,4,33.75,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,-6.25,56.25,2
1,max_1,max,0,4,23.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-16.25,30.0,2
2,fair_1,fair,0,4,36.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-3.75,63.75,2
2,max_1,max,0,4,16.25,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-23.75,90.0,2
3,fair_1,fair,0,4,13.75,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,-26.25,86.25,2
3,max_1,max,0,4,8.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-31.25,105.0,2
4,fair_1,fair,0,4,21.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-18.75,93.75,2
4,max_1,max,0,4,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.75,105.0,2
5,fair_1,fair,0,4,33.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-6.25,101.25,2
5,max_1,max,0,4,28.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-11.25,120.0,2
6,fair_1,fair,0,4,41.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,1.25,108.75,2
6,max_1,max,0,4,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,120.0,2
7,fair_1,fair,0,4,60.0,15.0,15.0,45.0,33.75,0.75,18.75,11.25,20.0,120.0,2
7,max_1,max,0,4,40.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,0.0,180.0,2
8,fair_1,fair,0,4,52.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,12.5,127.5,2
8,max_1,max,0,4,37.5,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-2.5,225.0,2
9,fair_1,fair,0,4,50.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,10.0,135.0,2
9,max_1,max,0,4,45.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,5.0,240.0,2
0,fair_1,fair,0,4,46.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,6.25,3.75,3
0,max_1,max,0,4,46.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,6.25,0.0,3
1,fair_1,fair,0,4,58.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,18.75,11.25,3
1,max_1,max,0,4,48.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,8.75,30.0,3
2,fair_1,fair,0,4,61.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,21.25,18.75,3
2,max_1,max,0,4,51.25,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,11.25,60.0,3
3,fair_1,fair,0,4,47.5,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,7.5,52.5,3
