episode,investor_return,a1_return,a1_repay,a2_return,a2_repay
1,-17.5,191.25,0.325,146.25,0.125
2,110.0,150.0,0.7,240.0,0.0
3,-77.5,97.5,0.3,240.0,0.0
4,-62.5,60.0,0.4,232.5,0.075
5,225.0,150.0,0.725,45.0,0.15
6,47.5,183.75,0.5,198.75,0.2
7,-42.5,75.0,0.25,217.5,0.15
8,63.75,172.5,0.55,123.75,0.075
9,150.0,150.0,0.675,90.0,0.1
10,53.75,131.25,0.675,315.0,0.075
11,48.75,153.75,0.6,277.5,0.05
12,32.5,75.0,0.375,22.5,0.075
13,-57.5,52.5,0.175,255.0,0.175
14,68.75,138.75,0.55,112.5,0.225
15,-96.25,37.5,0.15,288.75,0.075
16,186.25,165.0,0.7,78.75,0.1
17,12.5,101.25,0.575,176.25,0.125
18,-23.75,123.75,0.275,60.0,0.2
19,-11.25,78.75,0.425,232.5,0.25
20,11.25,82.5,0.625,236.25,0.175
21,18.75,97.5,0.3,183.75,0.425
22,62.5,161.25,0.525,56.25,0.25
23,-7.5,7.5,0.175,90.0,0.25
24,-16.25,0.0,0.075,146.25,0.25
25,91.25,146.25,0.575,142.5,0.325
26,57.5,112.5,0.5,90.0,0.25
27,93.75,120.0,0.6,236.25,0.275
28,118.75,161.25,0.575,150.0,0.275
29,-1.25,67.5,0.3,33.75,0.3
30,153.75,135.0,0.7,191.25,0.325
31,180.0,161.25,0.675,168.75,0.325
32,43.75,150.0,0.475,356.25,0.225
33,116.25,123.75,0.65,0.0,0.4
34,73.75,195.0,0.5,131.25,0.275
35,1.25,30.0,0.5,78.75,0.25
36,161.25,142.5,0.7,206.25,0.225
37,6.25,30.0,0.475,63.75,0.375
38,17.5,45.0,0.475,67.5,0.3
39,11.25,15.0,0.5,63.75,0.3
40,162.5,120.0,0.625,157.5,0.4
41,67.5,22.5,0.525,300.0,0.45
42,-8.75,45.0,0.45,123.75,0.325
43,165.0,146.25,0.7,258.75,0.325
44,66.25,67.5,0.5,236.25,0.425
45,100.0,138.75,0.525,131.25,0.3
46,42.5,108.75,0.475,258.75,0.325
47,-18.75,112.5,0.4,146.25,0.35
48,11.25,45.0,0.5,33.75,0.375
49,25.0,93.75,0.425,11.25,0.4
50,25.0,75.0,0.55,0.0,0.45
51,17.5,60.0,0.5,82.5,0.325
52,13.75,93.75,0.525,52.5,0.375
53,147.5,138.75,0.625,243.75,0.45
54,-8.75,0.0,0.55,108.75,0.275
55,-12.5,15.0,0.45,127.5,0.3
56,36.25,127.5,0.5,56.25,0.325
57,40.0,86.25,0.575,63.75,0.325
58,-26.25,37.5,0.55,168.75,0.225
59,302.5,112.5,0.475,135.0,0.775
60,163.75,161.25,0.675,105.0,0.45
61,241.25,150.0,0.65,138.75,0.475
62,16.25,195.0,0.45,108.75,0.225
63,21.25,157.5,0.45,131.25,0.225
64,16.25,240.0,0.425,123.75,0.3
65,487.5,168.75,0.7,33.75,0.85
66,387.5,142.5,0.525,0.0,1.0
67,273.75,131.25,0.775,45.0,0.475
68,5.0,127.5,0.475,127.5,0.3
69,71.25,131.25,0.55,157.5,0.3
70,175.0,75.0,0.5,180.0,0.65
71,98.75,202.5,0.55,108.75,0.4
72,-13.75,48.75,0.5,135.0,0.325
73,390.0,165.0,0.725,45.0,0.625
74,85.0,172.5,0.55,82.5,0.475
75,15.0,123.75,0.4,71.25,0.525
76,-3.75,41.25,0.5,172.5,0.275
77,166.25,243.75,0.525,60.0,0.625
78,375.0,60.0,0.575,45.0,0.925
79,-18.75,90.0,0.5,228.75,0.2
80,41.25,67.5,0.6,11.25,0.8
81,-15.0,30.0,0.475,105.0,0.5
82,191.25,217.5,0.55,41.25,0.875
83,12.5,56.25,0.575,11.25,0.75
84,252.5,37.5,0.5,150.0,0.75
85,17.5,0.0,0.45,82.5,0.55
86,185.0,187.5,0.6,37.5,0.725
87,82.5,97.5,0.55,60.0,0.675
88,233.75,45.0,0.6,71.25,0.75
89,251.25,15.0,0.6,33.75,0.775
90,0.0,48.75,0.45,101.25,0.65
91,393.75,191.25,0.475,45.0,0.925
92,37.5,82.5,0.55,30.0,0.675
93,27.5,108.75,0.5,33.75,0.775
94,23.75,56.25,0.5,0.0,0.85
95,58.75,15.0,0.475,116.25,0.525
