episode,investor_return,fair_1,max_1,fair_2,max_2,fair_1_repay,max_1_repay,fair_2_repay,max_2_repay
1,227826.5,108471.75,89727.0,220958.25,96376.5,0.7917349999999745,0.18766999999998926,0.370055000000004,0.2474749999999953
2,484828.5,92278.5,102032.25,88489.5,185951.25,0.8309449999999726,0.2192549999999926,0.8331049999999621,0.1931499999999959
3,382350.5,224778.75,57945.0,90698.25,65557.5,0.5814500000000131,0.17871999999999735,0.8318949999999761,0.2330549999999992
4,22833.25,240436.5,55245.75,276414.0,103570.5,0.32960500000000703,0.24385499999999632,0.44938000000000183,0.24779999999999772
5,183093.75,218798.25,43164.0,272497.5,63736.5,0.5955449999999907,0.1978249999999873,0.44831500000001206,0.193984999999992
6,96451.5,274251.0,54455.25,231418.5,96813.75,0.4955550000000044,0.2279899999999918,0.398124999999996,0.25632499999999503
7,245344.75,229572.0,54120.0,213920.25,150393.0,0.575469999999993,0.2086249999999981,0.6078799999999882,0.19199999999999665
8,237203.5,237181.5,89657.25,245445.0,261252.75,0.559944999999995,0.2957900000000068,0.5508249999999948,0.30555999999999506
9,139852.0,244578.75,154437.75,277061.25,357410.25,0.5426100000000067,0.4203449999999959,0.46530999999999795,0.1644749999999943
10,162659.75,256996.5,114687.75,239688.75,274187.25,0.5173249999999945,0.27379000000000053,0.557939999999975,0.17510499999999599
11,13366.75,279897.0,174684.75,267909.75,147861.75,0.34189000000000913,0.28796999999999534,0.3641500000000035,0.30991499999999433
12,48822.75,295173.75,130099.5,288680.25,215223.75,0.42503500000001515,0.27717999999999854,0.4091800000000121,0.21365999999999322
13,290112.5,194895.75,240529.5,250224.0,278318.25,0.6342549999999749,0.3808299999999907,0.5202099999999785,0.33837499999999887
14,511246.5,158202.0,252120.75,184073.25,281137.5,0.7123049999999626,0.4990750000000078,0.663089999999952,0.3960350000000064
15,344263.5,108543.0,244341.0,230847.0,240685.5,0.8040799999999725,0.33533500000001126,0.51351499999998,0.2906049999999938
16,141605.0,285005.25,193260.0,254902.5,201797.25,0.47926500000000044,0.35852999999999546,0.4720349999999894,0.2578699999999918
17,297289.5,98939.25,166629.0,221247.75,232564.5,0.8222649999999907,0.3234200000000059,0.4230049999999994,0.27234500000000106
18,283848.25,209932.5,225797.25,227265.0,219837.0,0.6292599999999863,0.3464250000000017,0.5585000000000023,0.3019849999999968
19,421245.75,136929.75,207463.5,223463.25,233067.75,0.757484999999985,0.47772000000000414,0.5930999999999728,0.27968999999998995
20,352394.75,166185.0,251613.0,274440.0,247037.25,0.7078199999999675,0.4750100000000157,0.4941900000000127,0.28338000000000013
21,421144.5,104030.25,287873.25,120594.75,387977.25,0.8164749999999509,0.3106250000000023,0.7826199999999671,0.1730549999999961
22,276883.5,227981.25,166131.75,220618.5,319095.0,0.597574999999995,0.375460000000004,0.6089899999999577,0.20641499999999346
23,265383.75,201783.0,153024.75,268094.25,237494.25,0.64565499999996,0.3771800000000145,0.5116899999999976,0.24719999999999573
24,470749.0,92295.75,94935.0,181749.0,245171.25,0.8370499999999677,0.3763150000000153,0.6606549999999913,0.3301500000000028
25,304253.5,264706.5,96729.0,158634.0,218247.0,0.514444999999994,0.4789150000000209,0.7013349999999606,0.23407499999999487
26,374090.75,106363.5,45184.5,252118.5,187182.75,0.8136249999999817,0.3395350000000181,0.5216949999999945,0.3013849999999946
27,332881.75,184708.5,56519.25,232338.0,171112.5,0.6523849999999672,0.45446500000000567,0.47372499999999135,0.5569700000000011
28,334925.0,309090.75,120037.5,113599.5,214607.25,0.43855500000000003,0.4253300000000149,0.801339999999961,0.275410000000002
29,19731.25,303402.75,126952.5,340446.75,139206.75,0.2977200000000233,0.3428999999999976,0.36283500000002517,0.29177999999999704
30,327942.25,84697.5,29695.5,189690.75,155664.0,0.8467399999999845,0.2660399999999938,0.47449499999999506,0.3007599999999952
31,297382.5,149976.0,31532.25,201051.75,176137.5,0.7403849999999795,0.24341500000000255,0.45456500000000444,0.36041500000000254
32,116110.75,302942.25,99657.75,293124.75,194854.5,0.36977000000000254,0.35532500000002176,0.46424499999999336,0.34723999999998706
33,321062.5,239805.75,58149.75,164967.0,203895.0,0.54812999999996,0.36475500000001704,0.7039049999999873,0.2739499999999969
34,462773.0,189624.0,45275.25,94805.25,194422.5,0.6522649999999689,0.30408500000001387,0.833479999999971,0.304320000000003
35,383295.5,176100.75,44787.75,254535.0,228351.0,0.689529999999964,0.2541299999999963,0.5162450000000095,0.5146749999999937
36,282920.5,172315.5,86242.5,239653.5,156018.0,0.6989149999999755,0.4857800000000239,0.4796900000000159,0.20855000000000018
37,209292.75,279858.0,32086.5,260892.75,153570.0,0.5080600000000051,0.27094500000001354,0.5195850000000166,0.34278999999999293
38,279212.0,301962.75,39109.5,74906.25,165649.5,0.288810000000009,0.23680500000000085,0.8673199999999882,0.27227499999999893
39,246579.75,176666.25,233905.5,212767.5,245661.0,0.6717449999999466,0.4361149999999993,0.37401499999999877,0.2851749999999862
40,240134.0,235545.0,168180.0,221154.0,217437.0,0.5886699999999997,0.400100000000006,0.402895000000013,0.42331499999999944
41,342548.25,334522.5,120722.25,124569.75,229637.25,0.40945000000001686,0.35349500000001927,0.7743449999999913,0.4293350000000113
42,431379.5,204708.0,185177.25,153510.75,178474.5,0.6457499999999945,0.3017100000000125,0.7165399999999827,0.434589999999997
43,302578.5,250092.0,195017.25,256120.5,245271.75,0.5656850000000149,0.38086500000000406,0.4517699999999882,0.49392499999998474
44,329405.0,224358.0,199604.25,224311.5,214361.25,0.6136299999999878,0.37483499999998876,0.5238749999999983,0.3925899999999982
45,429676.5,226038.0,235956.75,174194.25,262414.5,0.6133399999999847,0.4989049999999827,0.6929499999999936,0.233235000000003
46,460983.0,199145.25,146022.0,91763.25,176206.5,0.6389849999999679,0.3953400000000267,0.838609999999936,0.22010499999999975
47,285105.0,284981.25,96777.0,165542.25,166354.5,0.4192800000000101,0.32007500000000927,0.7168599999999761,0.37106499999999715
48,343025.75,199641.0,123228.0,239976.0,236339.25,0.652744999999959,0.3789350000000037,0.5185949999999916,0.4598549999999819
49,184243.25,289104.0,180791.25,256964.25,246077.25,0.4823600000000043,0.28816500000000334,0.4081899999999945,0.4760949999999973
50,35197.25,288144.75,108875.25,307532.25,195130.5,0.3455150000000114,0.24691999999999492,0.370960000000018,0.29619499999999793
51,133280.75,169434.75,137697.75,253788.75,134238.0,0.3550350000000296,0.3041050000000092,0.5393650000000154,0.3283350000000022
52,170649.5,324667.5,202175.25,268626.0,189681.75,0.37779500000000654,0.46369000000000044,0.46203000000000327,0.39400500000000993
53,195727.25,246556.5,162054.0,238431.75,107320.5,0.373070000000007,0.47193000000002583,0.5520649999999849,0.33889999999999537
54,248564.5,211807.5,189193.5,265958.25,250256.25,0.6268500000000161,0.30136500000000777,0.48856999999999096,0.3311199999999936
55,378772.5,203962.5,250901.25,197760.0,265023.75,0.6436149999999982,0.4611200000000098,0.6116849999999934,0.2646000000000011
56,338493.25,209365.5,150735.75,210131.25,149714.25,0.634799999999987,0.2531550000000137,0.632119999999966,0.38771000000000916
57,356585.0,239646.0,156130.5,162264.0,125134.5,0.5886600000000496,0.38159999999998584,0.7178250000000018,0.1353150000000009
58,211942.5,267534.0,262896.0,213465.75,211671.75,0.5313449999999911,0.4331550000000143,0.40719000000002387,0.29597000000001095
59,420954.0,135915.0,268920.75,215796.75,131113.5,0.7665949999999869,0.3436150000000075,0.599599999999986,0.3587850000000229
60,256513.75,238267.5,95438.25,192999.0,218791.5,0.4380300000000106,0.31462499999999755,0.6655799999999844,0.3728849999999901
61,271692.25,248319.75,215709.75,164480.25,102948.0,0.5455549999999605,0.462019999999991,0.5117949999999641,0.4091100000000245
62,341037.0,162012.75,269152.5,202317.75,174870.0,0.7209299999999678,0.3046100000000137,0.5147999999999915,0.40444500000000116
63,157828.25,283208.25,197498.25,221468.25,162597.0,0.5145249999999927,0.28783000000001113,0.44872500000000065,0.2702950000000098
64,300038.0,240072.0,106483.5,217806.0,142840.5,0.5932050000000023,0.28404500000002303,0.614465000000019,0.29975500000001626
65,260476.25,158346.0,144154.5,107283.0,155630.25,0.3028850000000434,0.3880099999999877,0.8125150000000521,0.27375500000000363
66,541642.5,103054.5,190095.0,127336.5,250711.5,0.8216949999999686,0.36647500000002,0.7782850000000231,0.3117100000000112
67,287201.5,213757.5,119994.75,99482.25,135264.0,0.4094200000000007,0.19479999999999723,0.8302499999999543,0.15650999999998955
68,244608.25,148096.5,52273.5,152384.25,45457.5,0.39304000000002004,0.23886500000000782,0.7419499999999476,0.22967999999999666
69,606590.75,91071.0,108312.0,50951.25,271425.0,0.8231199999999802,0.2150000000000045,0.9134049999999384,0.372690000000025
70,598085.75,66978.0,91632.0,150327.75,251986.5,0.8859449999999968,0.23660999999999885,0.7445899999999563,0.41962500000000946
71,343260.5,262773.75,51531.75,164555.25,217428.75,0.49817999999999757,0.3224549999999952,0.7189549999999725,0.3787800000000002
72,349516.0,219768.0,40830.75,168902.25,111363.0,0.5922250000000044,0.33140000000001313,0.7142299999999798,0.17844999999998962
73,175249.75,234807.0,123800.25,257706.0,103467.0,0.49281500000002626,0.2934750000000001,0.5360400000000142,0.21193999999999732
74,342898.0,205788.75,85826.25,143758.5,76318.5,0.5516200000000057,0.3484700000000231,0.7502799999999117,0.42797999999999364
75,173980.0,221245.5,297149.25,145200.75,255904.5,0.6039799999999886,0.3949100000000095,0.4187000000000244,0.19253999999999444
76,215258.75,127298.25,154235.25,175992.0,81465.75,0.5283200000000097,0.2592550000000058,0.5457400000000189,0.284865000000011
77,151775.75,142808.25,182852.25,219340.5,179543.25,0.6066599999999794,0.32256499999999516,0.3973300000000273,0.4111650000000119
78,391483.75,131873.25,75698.25,100612.5,62432.25,0.6879949999999667,0.37186000000003433,0.7688899999999309,0.45310000000003237
79,369001.5,81363.75,226685.25,173308.5,174501.0,0.8588799999999841,0.4138550000000074,0.49466499999999397,0.25811499999999044
80,92774.75,121364.25,221181.75,203850.75,70468.5,0.4144300000000218,0.41505500000000295,0.3552050000000017,0.46093499999999266
81,-10000.0,81042.0,90327.75,98206.5375,68411.1375,0.31943500000004954,0.5521099999999682,0.661174999999938,0.6218049999999473
82,386463.0,122410.5,126764.25,216222.75,167989.5,0.7765749999999816,0.22753000000000614,0.5742749999999892,0.39417500000000216
83,109879.25,39221.25,63802.5,102201.0,152016.0,0.3552500000000427,0.35993999999998916,0.5014700000000146,0.34751999999998695
84,145042.0,87290.25,115054.5,74628.75,224734.5,0.3208050000000378,0.2967050000000111,0.71259999999997,0.34016500000000477
85,141142.0,208689.75,111565.5,216453.0,282639.75,0.4887350000000036,0.31871000000001665,0.5065750000000002,0.3375000000000135
86,303635.0,147720.0,97674.0,46408.5,165322.5,0.4567950000000234,0.34663500000001124,0.8843199999999588,0.27877999999999625
87,551156.5,63786.75,124769.25,122277.0,268930.5,0.8652300000000036,0.44106500000000914,0.7641399999999907,0.2889000000000026
88,87563.0,171319.5,69202.5,159660.0,148995.0,0.36527000000002957,0.31765999999999317,0.48699999999999827,0.3194700000000029
89,313688.0,154645.5,162630.0,119450.25,213356.25,0.6971749999999795,0.23720500000000821,0.6383749999999886,0.292225000000006
90,386625.75,203415.0,134253.0,189468.75,250057.5,0.6421649999999919,0.23573999999999315,0.661970000000002,0.37863000000000363
91,181721.25,287571.75,84045.75,260040.0,226991.25,0.49237499999998646,0.23826499999998382,0.4949850000000195,0.3220249999999947
92,153238.5,266924.25,111219.0,203214.0,267974.25,0.4628799999999953,0.35793500000001505,0.39987500000001375,0.3228650000000036
93,318256.0,127455.75,105777.75,178506.0,269074.5,0.7639899999999892,0.1536199999999851,0.44576999999998407,0.35527500000001017
94,666162.0,46375.5,69091.5,81958.5,268612.5,0.921545000000014,0.34371000000001833,0.8430999999999671,0.40908999999999995
95,501493.5,156246.0,167871.75,57944.25,228574.5,0.7171349999999747,0.3866300000000016,0.8738699999999541,0.2415049999999951
96,201686.75,265377.0,88830.75,73469.25,255386.25,0.5432349999999891,0.3003650000000074,0.5709299999999834,0.2715700000000074
97,152976.0,264867.0,38424.75,112858.5,131763.75,0.4066550000000025,0.25990499999998895,0.558445000000039,0.31872499999999204
98,301005.5,212225.25,63195.75,167952.75,256170.75,0.635274999999989,0.3057899999999799,0.5444649999999807,0.315119999999991
99,188979.5,144114.75,85627.5,122853.0,193115.25,0.37574999999998576,0.2584100000000031,0.6164499999999742,0.47372500000000317
100,260349.5,243636.0,20891.25,167379.0,276434.25,0.5541899999999974,0.40363999999999867,0.5111550000000111,0.4443749999999981
