timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
0,fair_1,fair,1,4,10001.0,5.0,15.0,6.0,0.4,1.0,9.0,1.0,9.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}"
0,max_1,max,1,4,10007.25,5.0,15.0,11.25,0.75,6.25,3.75,7.25,3.75,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [5.0, 6.0, 0.0, 0.0, 0.0, 0.0]}"
0,fair_2,fair,1,4,9990.25,20.0,60.0,3.0,0.05,-17.0,57.0,-9.75,57.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [5.0, 6.0, 5.0, 11.25, 0.0, 0.0]}"
0,max_2,max,1,4,9996.5,5.0,15.0,11.25,0.75,6.25,3.75,-3.5,3.75,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [5.0, 6.0, 5.0, 11.25, 20.0, 3.0]}"
1,fair_1,fair,1,4,10036.5,20.0,60.0,60.0,1.0,40.0,0.0,36.5,9.0,,
1,max_1,max,1,4,10055.5,20.0,60.0,39.0,0.65,19.0,21.0,55.5,24.75,,
1,fair_2,fair,1,4,10092.5,20.0,60.0,57.0,0.95,37.0,3.0,92.5,60.0,,
1,max_2,max,1,4,10093.5,20.0,60.0,21.0,0.35,1.0,39.0,93.5,42.75,,
2,fair_1,fair,1,4,10102.0,5.0,15.0,13.5,0.9,8.5,1.5,102.0,10.5,,
2,max_1,max,1,4,10100.0,20.0,60.0,18.0,0.3,-2.0,42.0,100.0,66.75,,
2,fair_2,fair,1,4,10104.0,20.0,60.0,24.0,0.4,4.0,36.0,104.0,96.0,,
2,max_2,max,1,4,10129.5,15.0,45.0,40.5,0.9,25.5,4.5,129.5,47.25,,
3,fair_1,fair,1,4,10169.5,20.0,60.0,60.0,1.0,40.0,0.0,169.5,10.5,,
3,max_1,max,1,4,10180.5,10.0,30.0,21.0,0.7,11.0,9.0,180.5,75.75,,
3,fair_2,fair,1,4,10176.25,5.0,15.0,0.75,0.05,-4.25,14.25,176.25,110.25,,
3,max_2,max,1,4,10195.0,15.0,45.0,33.75,0.75,18.75,11.25,195.0,58.5,,
4,fair_1,fair,1,4,10195.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,10.5,,
4,max_1,max,1,4,10195.0,0.0,0.0,0.0,0.5,0.0,0.0,195.0,75.75,,
4,fair_2,fair,1,4,10232.0,20.0,60.0,57.0,0.95,37.0,3.0,232.0,113.25,,
4,max_2,max,1,4,10244.5,10.0,30.0,22.5,0.75,12.5,7.5,244.5,66.0,,
5,fair_1,fair,1,4,10284.5,20.0,60.0,60.0,1.0,40.0,0.0,284.5,10.5,,
5,max_1,max,1,4,10295.5,10.0,30.0,21.0,0.7,11.0,9.0,295.5,84.75,,
5,fair_2,fair,1,4,10290.5,5.0,15.0,0.0,0.0,-5.0,15.0,290.5,128.25,,
5,max_2,max,1,4,10296.75,5.0,15.0,11.25,0.75,6.25,3.75,296.75,69.75,,
6,fair_1,fair,1,4,10321.75,20.0,60.0,45.0,0.75,25.0,15.0,321.75,25.5,,
6,max_1,max,1,4,10340.75,20.0,60.0,39.0,0.65,19.0,21.0,340.75,105.75,,
6,fair_2,fair,1,4,10347.75,20.0,60.0,27.0,0.45,7.0,33.0,347.75,161.25,,
6,max_2,max,1,4,10354.0,5.0,15.0,11.25,0.75,6.25,3.75,354.0,73.5,,
7,fair_1,fair,1,4,10349.0,20.0,60.0,15.0,0.25,-5.0,45.0,349.0,70.5,,
7,max_1,max,1,4,10360.0,10.0,30.0,21.0,0.7,11.0,9.0,360.0,114.75,,
7,fair_2,fair,1,4,10351.5,10.0,30.0,1.5,0.05,-8.5,28.5,351.5,189.75,,
7,max_2,max,1,4,10357.75,5.0,15.0,11.25,0.75,6.25,3.75,357.75,77.25,,
8,fair_1,fair,1,4,10349.75,20.0,60.0,12.0,0.2,-8.0,48.0,349.75,118.5,,
8,max_1,max,1,4,10360.75,10.0,30.0,21.0,0.7,11.0,9.0,360.75,123.75,,
8,fair_2,fair,1,4,10343.75,20.0,60.0,3.0,0.05,-17.0,57.0,343.75,246.75,,
8,max_2,max,1,4,10356.25,10.0,30.0,22.5,0.75,12.5,7.5,356.25,84.75,,
9,fair_1,fair,1,4,10348.25,20.0,60.0,12.0,0.2,-8.0,48.0,348.25,166.5,,
9,max_1,max,1,4,10349.25,20.0,60.0,21.0,0.35,1.0,39.0,349.25,162.75,,
9,fair_2,fair,1,4,10332.25,20.0,60.0,3.0,0.05,-17.0,57.0,332.25,303.75,,
9,max_2,max,1,4,10357.25,20.0,60.0,45.0,0.75,25.0,15.0,357.25,99.75,,
10,fair_1,fair,1,4,10347.25,10.0,30.0,0.0,0.0,-10.0,30.0,347.25,196.5,,
10,max_1,max,1,4,10337.25,10.0,30.0,0.0,0.0,-10.0,30.0,337.25,192.75,,
10,fair_2,fair,1,4,10332.25,5.0,15.0,0.0,0.0,-5.0,15.0,332.25,318.75,,
10,max_2,max,1,4,10343.25,10.0,30.0,21.0,0.7,11.0,9.0,343.25,108.75,,
11,fair_1,fair,1,4,10333.25,10.0,30.0,0.0,0.0,-10.0,30.0,333.25,226.5,,
