timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,episode
0,fair_1,fair,1,4,38.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-1.25,11.25,0
0,max_1,max,1,4,28.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-11.25,30.0,0
1,fair_1,fair,1,4,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.25,11.25,0
1,max_1,max,1,4,23.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-16.25,45.0,0
2,fair_1,fair,1,4,22.5,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-17.5,22.5,0
2,max_1,max,1,4,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.5,45.0,0
3,fair_1,fair,1,4,12.5,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-27.5,52.5,0
3,max_1,max,1,4,7.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-32.5,60.0,0
4,fair_1,fair,1,4,5.0,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,-35.0,75.0,0
4,max_1,max,1,4,3.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-36.25,71.25,0
5,fair_1,fair,1,4,28.75,20.0,20.0,60.0,45.0,0.75,25.0,15.0,-11.25,90.0,0
5,max_1,max,1,4,23.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-16.25,86.25,0
6,fair_1,fair,1,4,30.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-10.0,93.75,0
6,max_1,max,1,4,25.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-15.0,101.25,0
7,fair_1,fair,1,4,31.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-8.75,97.5,0
7,max_1,max,1,4,31.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-8.75,101.25,0
8,fair_1,fair,1,4,37.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-2.5,101.25,0
8,max_1,max,1,4,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,101.25,0
