seed,world,run_id,episode,investor_return,fair_1,max_1,fair_1_repay,max_1_repay
1,0,w0_20260416_024052,1,230313.75,104991,102575.25,0.7969199999999794,0.16789499999998925
1,0,w0_20260416_024052,2,258302.75,93501.75,50785.5,0.8262449999999785,0.1908149999999895
1,0,w0_20260416_024052,3,259010.75,92421.75,53557.5,0.831104999999965,0.15437499999998394
1,0,w0_20260416_024052,4,271407.25,81267,51975.75,0.8509449999999741,0.16677999999998627
1,0,w0_20260416_024052,5,24615.75,322701,51863.25,0.39516500000001303,0.16241499999998477
1,0,w0_20260416_024052,6,34621,271298.25,46230.75,0.3912900000000051,0.21984999999998928
1,0,w0_20260416_024052,7,147724.5,218319,39826.5,0.6015299999999548,0.3429849999999954
1,0,w0_20260416_024052,8,193245.25,165876,48138.75,0.6980249999999414,0.16843999999999876
1,0,w0_20260416_024052,9,118663,235909.5,60577.5,0.5722049999999729,0.15958999999999177
1,0,w0_20260416_024052,10,143140.25,273015,62904.75,0.48833499999997176,0.5733400000000204
1,0,w0_20260416_024052,11,270440,303087.75,105092.25,0.3960700000000066,0.7902950000000073
1,0,w0_20260416_024052,12,74787.75,255128.25,115704,0.5013050000000171,0.22562999999999905
1,0,w0_20260416_024052,13,226129.25,136797,79143.75,0.7544799999999979,0.2378300000000045
1,0,w0_20260416_024052,14,49508.25,214078.5,236213.25,0.43018999999998014,0.33188000000000245
1,0,w0_20260416_024052,15,277638.25,106803.75,275628,0.8031049999999716,0.37128499999998454
1,0,w0_20260416_024052,16,57734.5,222535.5,226530,0.4489749999999839,0.3126550000000025
1,0,w0_20260416_024052,17,85512,247745.25,276372.75,0.47767500000000235,0.3601000000000127
1,0,w0_20260416_024052,18,233585.5,158334.75,236499.75,0.7146649999999427,0.3938099999999958
1,0,w0_20260416_024052,19,227115,154504.5,190270.5,0.7170399999999694,0.3640999999999917
1,0,w0_20260416_024052,20,228004.5,185830.5,257745,0.6710099999999763,0.41742500000000227
1,0,w0_20260416_024052,21,64767,206673,279030,0.4771200000000129,0.3662749999999913
1,0,w0_20260416_024052,22,187667.25,210309.75,251613,0.62392999999997,0.3789149999999985
1,0,w0_20260416_024052,23,-10000,110317.491,89717.76299999999,0.33290000000001846,0.5371049999999845
1,0,w0_20260416_024052,24,49298.75,277603.5,263817.75,0.3818650000000079,0.376859999999994
1,0,w0_20260416_024052,25,316088,110928,279024,0.8005549999999578,0.429849999999998
1,0,w0_20260416_024052,26,173622.5,220071,263176.5,0.612134999999976,0.35038999999998693
1,0,w0_20260416_024052,27,257296,118991.25,175812.75,0.7864999999999474,0.2914999999999976
1,0,w0_20260416_024052,28,50907.25,291009,231933.75,0.4791949999999947,0.25289499999999204
1,0,w0_20260416_024052,29,269006,114063,189921,0.7902549999999816,0.3387099999999975
1,0,w0_20260416_024052,30,192898.25,215518.5,269153.25,0.6247200000000104,0.3833349999999963
1,0,w0_20260416_024052,31,289917.75,139464.75,300007.5,0.7573549999999791,0.4212699999999884
1,0,w0_20260416_024052,32,278976.75,103079.25,179574,0.8217999999999914,0.27816999999999886
1,0,w0_20260416_024052,33,126918.75,260295.75,192565.5,0.5426349999999662,0.33694999999999864
1,0,w0_20260416_024052,34,194801.5,199684.5,255264,0.6489499999999819,0.3537299999999949
1,0,w0_20260416_024052,35,70492.5,250801.5,225876,0.4465150000000027,0.35286499999998566
1,0,w0_20260416_024052,36,79969.75,246959.25,236121,0.470419999999987,0.3379149999999921
1,0,w0_20260416_024052,37,76725.25,253355.25,202249.5,0.4725850000000074,0.3356699999999891
1,0,w0_20260416_024052,38,130518.5,248450.25,296381.25,0.5160250000000194,0.38872500000000065
1,0,w0_20260416_024052,39,241626,169221,305013,0.6879750000000244,0.41321500000000216
1,0,w0_20260416_024052,40,156654.75,237179.25,297726,0.5292449999999849,0.4125550000000025
1,0,w0_20260416_024052,41,401372.25,48531.75,275616,0.9143099999999382,0.4584649999999967
1,0,w0_20260416_024052,42,167168.25,238636.5,262565.25,0.5889249999999792,0.3400300000000028
1,0,w0_20260416_024052,43,-10000,242370.30798046876,220664.88793359377,0.4182250000000288,0.3115749999999975
1,0,w0_20260416_024052,44,279238.5,101531.25,239150.25,0.8158099999999862,0.3292349999999957
1,0,w0_20260416_024052,45,288943.5,120149.25,227537.25,0.7934949999999448,0.3755949999999992
1,0,w0_20260416_024052,46,33625,311325,222300,0.34204000000000895,0.4518649999999976
1,0,w0_20260416_024052,47,42109.75,169368,168092.25,0.38958500000000057,0.4033899999999984
1,0,w0_20260416_024052,48,129199.5,195703.5,247737,0.5462600000000153,0.3983699999999896
1,0,w0_20260416_024052,49,102611.75,266923.5,272364.75,0.45828499999999506,0.4040200000000037
1,0,w0_20260416_024052,50,78283.25,255496.5,234350.25,0.4260700000000046,0.35401000000001365
1,0,w0_20260416_024052,51,317752.75,111388.5,271308.75,0.8096249999999774,0.41636500000000815
1,0,w0_20260416_024052,52,120671,278708.25,293430.75,0.4413800000000035,0.4281299999999922
1,0,w0_20260416_024052,53,32570.75,215932.5,272946.75,0.28587999999997926,0.4347500000000146
1,0,w0_20260416_024052,54,162864,223687.5,257068.5,0.537469999999982,0.40619499999999953
1,0,w0_20260416_024052,55,79596.25,213675,268998.75,0.45142500000001334,0.33575499999999586
1,0,w0_20260416_024052,56,112384.5,211166.25,291269.25,0.4067400000000008,0.4372099999999999
1,0,w0_20260416_024052,57,95462.75,187779.75,253837.5,0.4919449999999987,0.3695450000000007
1,0,w0_20260416_024052,58,182385,127654.5,192400.5,0.7392300000000117,0.34353499999999426
1,0,w0_20260416_024052,59,163613.25,136405.5,258311.25,0.5753250000000145,0.41731999999999353
1,0,w0_20260416_024052,60,189403.75,130530,226766.25,0.6253950000000023,0.42548499999999506
1,0,w0_20260416_024052,61,217453.5,157208.25,189248.25,0.7208100000000135,0.4225399999999956
1,0,w0_20260416_024052,62,212346,174369,168165,0.688599999999993,0.3815350000000039
1,0,w0_20260416_024052,63,87758,193848,280374,0.486170000000004,0.37800999999999774
1,0,w0_20260416_024052,64,122623.25,145634.25,216772.5,0.666474999999933,0.14410999999999527
1,0,w0_20260416_024052,65,96942.25,201676.5,215861.25,0.5156199999999953,0.4022200000000139
1,0,w0_20260416_024052,66,114729.75,221521.5,238098.75,0.6028050000000004,0.3030449999999741
1,0,w0_20260416_024052,67,136338.5,233733,268918.5,0.5031100000000311,0.4614550000000094
1,0,w0_20260416_024052,68,113821.25,198213,173175.75,0.5495150000000159,0.3934499999999957
1,0,w0_20260416_024052,69,139009.5,204162.75,181887.75,0.5936100000000059,0.4384049999999971
1,0,w0_20260416_024052,70,222845.5,76734,221860.5,0.8470299999999659,0.21074999999998775
1,0,w0_20260416_024052,71,312724,49422,149484,0.915959999999935,0.19632499999999303
1,0,w0_20260416_024052,72,165584.25,176991.75,197814,0.6316450000000469,0.4187049999999908
1,0,w0_20260416_024052,73,136743.5,173681.25,200825.25,0.6663549999999776,0.25004500000001556
1,0,w0_20260416_024052,74,225955.5,162228,234346.5,0.6940700000000052,0.45033000000000567
1,0,w0_20260416_024052,75,150293.75,178138.5,183447.75,0.6637149999999181,0.22575499999999488
1,0,w0_20260416_024052,76,245770.5,145360.5,232749,0.6987399999999881,0.4341099999999942
1,0,w0_20260416_024052,77,66385.5,141238.5,177216,0.480815000000004,0.4220400000000044
1,0,w0_20260416_024052,78,66169.5,173570.25,264710.25,0.3803400000000212,0.39491999999998095
1,0,w0_20260416_024052,79,280896.5,80959.5,147444,0.8458150000000162,0.3163949999999982
1,0,w0_20260416_024052,80,329621.5,52414.5,155874,0.9090199999999864,0.33119500000000845
1,0,w0_20260416_024052,81,185033.25,165348.75,205698,0.6613900000000302,0.38169500000000406
1,0,w0_20260416_024052,82,97067.75,172354.5,227277.75,0.4802050000000183,0.3873250000000249
1,0,w0_20260416_024052,83,151589.25,161834.25,236086.5,0.5991400000000368,0.40241499999999103
1,0,w0_20260416_024052,84,282156,97954.5,152269.5,0.8309200000000324,0.30217500000001885
1,0,w0_20260416_024052,85,23390,176097,161583,0.3674250000000162,0.32351500000000877
1,0,w0_20260416_024052,86,-10000,51553.5,77319,0.6934749999999993,0.48520500000006034
1,0,w0_20260416_024052,87,68596.75,121651.5,150861.75,0.3487900000000216,0.3841000000000181
1,0,w0_20260416_024052,88,44947.25,22084.5,42188.25,0.7103449999999826,0.5297500000000028
1,0,w0_20260416_024052,89,149031.25,77106.75,157242,0.6588000000000416,0.47745500000000846
1,0,w0_20260416_024052,90,235463.5,109827.75,188328.75,0.7609349999998809,0.3680400000000199
1,0,w0_20260416_024052,91,358735,77421.75,236783.25,0.8383399999999587,0.4890449999999877
1,0,w0_20260416_024052,92,99884.75,80244,131411.25,0.599829999999974,0.3644050000000306
1,0,w0_20260416_024052,93,233584.25,113145.75,138690,0.7710900000000486,0.30646000000000373
1,0,w0_20260416_024052,94,103903.75,117939,142097.25,0.4814649999999869,0.3149850000000176
1,0,w0_20260416_024052,95,250763,167421.75,206855.25,0.6279299999999712,0.5267250000000124
1,0,w0_20260416_024052,96,50042,123121.5,133336.5,0.5297800000000109,0.25504000000002086
1,0,w0_20260416_024052,97,152153.75,165828.75,247267.5,0.5975850000000159,0.4140650000000127
1,0,w0_20260416_024052,98,268127,78892.5,190810.5,0.8071900000000141,0.2535300000000149
1,0,w0_20260416_024052,99,48258.75,103442.25,97899,0.5085150000000176,0.1524049999999963
1,0,w0_20260416_024052,100,153848.25,93429,198252.75,0.6309299999999859,0.36544000000001886
1,1,w1_20260416_024920,1,200112.25,137274,104643.75,0.7348399999999771,0.20746999999998503
1,1,w1_20260416_024920,2,283636,69169.5,57544.5,0.872484999999983,0.2009099999999923
1,1,w1_20260416_024920,3,250806.25,102339.75,55554,0.8123949999999793,0.1881549999999974
1,1,w1_20260416_024920,4,255691,97659.75,53729.25,0.8208449999999838,0.16622999999998656
1,1,w1_20260416_024920,5,-3590.5,309157.5,61353,0.3439749999999919,0.2023049999999935
1,1,w1_20260416_024920,6,144294.25,212635.5,42710.25,0.6075199999999752,0.23598499999999523
1,1,w1_20260416_024920,7,79761.75,277512.75,51595.5,0.4915249999999786,0.225440000000012
1,1,w1_20260416_024920,8,42462.25,307130.25,95107.5,0.43209000000000697,0.23993000000001077
1,1,w1_20260416_024920,9,138567.25,209907,115365.75,0.6151949999999683,0.2263550000000092
1,1,w1_20260416_024920,10,185423.5,158996.25,120440.25,0.712719999999984,0.18102000000000032
1,1,w1_20260416_024920,11,173750.5,175471.5,112488,0.6827149999999713,0.24096999999999108
1,1,w1_20260416_024920,12,85786.5,252612.75,166740.75,0.5460099999999903,0.17142500000000524
1,1,w1_20260416_024920,13,247969.75,108282.75,140917.5,0.8070149999999604,0.2715800000000117
1,1,w1_20260416_024920,14,-5969,189143.25,80805.75,0.4645049999999967,0.21322000000000343
1,1,w1_20260416_024920,15,246276.75,99974.25,133029,0.8220299999999457,0.17456499999999556
1,1,w1_20260416_024920,16,144783.75,205663.5,154872.75,0.6346499999999768,0.21370999999999976
1,1,w1_20260416_024920,17,275718.75,240218.25,144483,0.5309249999999732,0.6749849999999639
1,1,w1_20260416_024920,18,115398.25,242270.25,147331.5,0.5710399999999727,0.22724000000000616
1,1,w1_20260416_024920,19,193209,186966,155985,0.6673949999999511,0.32436500000000007
1,1,w1_20260416_024920,20,300188,140862.75,293639.25,0.7499749999999641,0.44516999999997803
1,1,w1_20260416_024920,21,505579.75,82498.5,157521.75,0.8529899999999365,0.717009999999943
1,1,w1_20260416_024920,22,101361,270163.5,264895.5,0.4837899999999938,0.35001500000000585
1,1,w1_20260416_024920,23,238170.25,165436.5,190763.25,0.7087849999999593,0.38989500000000615
1,1,w1_20260416_024920,24,178306.5,235266.75,276696.75,0.587224999999987,0.3964900000000022
1,1,w1_20260416_024920,25,229333,179796,238311,0.6852899999999549,0.38775999999999783
1,1,w1_20260416_024920,26,11351.25,310487.25,291871.5,0.2923299999999963,0.3774900000000129
1,1,w1_20260416_024920,27,286776.5,104893.5,193920,0.8127949999999644,0.3378450000000096
