seed,world,run_id,episode,investor_return,fair_1,max_1,fair_1_repay,max_1_repay
44,0,w0_20260419_232555,1,232260.75,106999.5,95199.75,0.7948699999999596,0.19802000000000083
44,0,w0_20260419_232555,2,-6750,326688,110412,0.35899499999999845,0.18135999999999797
44,0,w0_20260419_232555,3,198085.5,150159.75,56784.75,0.7206699999999796,0.13524999999999773
44,0,w0_20260419_232555,4,83844.75,267015,47630.25,0.5054499999999794,0.14378999999999917
44,0,w0_20260419_232555,5,-10000,58719.75,7890.75,0.3603450000000001,0.19468000000000352
44,0,w0_20260419_232555,6,-9999.999999999996,185746.3496411753,52762.5021540897,0.3220049999999964,0.1462699999999985
44,0,w0_20260419_232555,7,61363.25,253185.75,46161,0.47586499999998766,0.3100399999999892
44,0,w0_20260419_232555,8,5800.75,182394,44165.25,0.3696249999999789,0.1591499999999949
44,0,w0_20260419_232555,9,69280.25,274328.25,54871.5,0.4882699999999819,0.11873499999999527
44,0,w0_20260419_232555,10,150939.25,198471,39339.75,0.6212349999999847,0.23979999999999868
44,0,w0_20260419_232555,11,216083.25,152757.75,52599,0.7223499999999645,0.4000900000000051
44,0,w0_20260419_232555,12,244632.25,106873.5,82544.25,0.8069299999999389,0.12413499999999664
44,0,w0_20260419_232555,13,7045,201546,34179,0.3131449999999945,0.4087549999999978
44,0,w0_20260419_232555,14,214149.25,147789,55221.75,0.7287799999999793,0.24812500000001184
44,0,w0_20260419_232555,15,140435.5,230484,94960.5,0.5881349999999725,0.30531500000000494
44,0,w0_20260419_232555,16,103360.5,249324,54895.5,0.5440499999999674,0.14886499999999095
44,0,w0_20260419_232555,17,111568.75,303825,216386.25,0.4207699999999943,0.4855799999999882
44,0,w0_20260419_232555,18,269276.5,111441.75,281721.75,0.800814999999922,0.34967500000000873
44,0,w0_20260419_232555,19,33329.75,203798.25,111372,0.4238250000000005,0.2358849999999992
44,0,w0_20260419_232555,20,48443.25,317193.75,282063,0.4111750000000056,0.33952499999999264
44,0,w0_20260419_232555,21,359030.75,85450.5,236148.75,0.8478799999999727,0.45198500000000313
44,0,w0_20260419_232555,22,225589.25,182802,267318.75,0.6754249999999838,0.3775950000000065
44,0,w0_20260419_232555,23,22355.5,251172,268042.5,0.3783049999999985,0.32162999999998076
44,0,w0_20260419_232555,24,71886.25,232266,271617.75,0.466794999999992,0.34505999999999126
44,0,w0_20260419_232555,25,88643,283047.75,282599.25,0.4455350000000101,0.39157999999998766
44,0,w0_20260419_232555,26,294163,112769.25,262407.75,0.7974699999999537,0.3939549999999713
