seed,world,run_id,episode,investor_return,fair_1,max_1,fair_1_repay,max_1_repay
13,0,w0_20260418_014404,1,185209.25,149636.25,105724.5,0.7147599999999902,0.18482000000000323
13,0,w0_20260418_014404,2,168896,180681,56913,0.661984999999985,0.23673000000001063
13,0,w0_20260418_014404,3,139139.5,209500.5,71490,0.6153549999999873,0.15849999999999656
13,0,w0_20260418_014404,4,199596.25,149364,66609.75,0.7248299999999894,0.1828849999999993
13,0,w0_20260418_014404,5,35557.75,312405.75,47866.5,0.4204099999999973,0.15681999999999596
13,0,w0_20260418_014404,6,-10000,60960.27912647155,10444.5,0.5835800000000073,0.22221000000002508
13,0,w0_20260418_014404,7,183828.75,169203,50408.25,0.6893900000000375,0.13945999999999736
13,0,w0_20260418_014404,8,3662,229093.5,42934.5,0.3670249999999841,0.19641000000000236
13,0,w0_20260418_014404,9,29219.25,310699.5,42101.25,0.4058799999999906,0.17359500000000083
13,0,w0_20260418_014404,10,159135.75,191883.75,47110.5,0.6465799999999986,0.12718999999999173
13,0,w0_20260418_014404,11,65171.25,297132,42456.75,0.4605150000000036,0.2740749999999977
13,0,w0_20260418_014404,12,277237.25,76409.25,61453.5,0.860274999999978,0.11659999999999736
13,0,w0_20260418_014404,13,136804,229657.5,34258.5,0.586245000000005,0.3194599999999932
13,0,w0_20260418_014404,14,46342,300768,42480,0.4340600000000143,0.14230999999999108
13,0,w0_20260418_014404,15,101001.5,263487,58561.5,0.5135249999999941,0.3159350000000221
13,0,w0_20260418_014404,16,281769.5,84660.75,48909.75,0.8484349999999978,0.20252499999999624
13,0,w0_20260418_014404,17,12317.5,316353.75,52038.75,0.36887000000001857,0.1760349999999984
13,0,w0_20260418_014404,18,140314.25,177390,116565.75,0.5582049999999935,0.42206499999998887
13,0,w0_20260418_014404,19,155923,214191,154656,0.6161449999999743,0.28458999999999474
13,0,w0_20260418_014404,20,46234.25,257388.75,55377,0.46836499999999176,0.1342600000000007
13,0,w0_20260418_014404,21,166030.25,187135.5,45734.25,0.6600499999999668,0.17687499999999692
13,0,w0_20260418_014404,22,207866.5,176397,66886.5,0.6856849999999333,0.3568250000000053
13,0,w0_20260418_014404,23,98915.75,269176.5,204327.75,0.512879999999983,0.29414000000000523
13,0,w0_20260418_014404,24,41057.25,325991.25,264421.5,0.4035200000000166,0.32571500000000336
13,0,w0_20260418_014404,25,250304.75,133500.75,238144.5,0.7643199999999741,0.3448999999999938
13,0,w0_20260418_014404,26,266008,153659.25,281892.75,0.724209999999951,0.4272399999999927
13,0,w0_20260418_014404,27,168669.5,225873,305497.5,0.6014849999999846,0.35701999999999545
13,0,w0_20260418_014404,28,289996,110512.5,257431.5,0.8053649999999567,0.3695000000000117
13,0,w0_20260418_014404,29,86174.5,267885,188260.5,0.5011250000000006,0.28822500000001067
13,0,w0_20260418_014404,30,67747.75,249639.75,240922.5,0.3452150000000095,0.4669099999999833
13,0,w0_20260418_014404,31,197992,240557.25,269130.75,0.5610099999999726,0.46242500000001135
13,0,w0_20260418_014404,32,115601.75,272210.25,309468,0.4819100000000118,0.3900849999999947
13,0,w0_20260418_014404,33,288101,89621.25,210507.75,0.8386799999999308,0.30123000000001887
13,0,w0_20260418_014404,34,149063.5,303204.75,265071.75,0.45436500000001695,0.4785649999999965
13,0,w0_20260418_014404,35,214465,180317.25,249567.75,0.6694749999999733,0.3759950000000171
13,0,w0_20260418_014404,36,144716.75,253318.5,266634.75,0.531645,0.3934500000000014
13,0,w0_20260418_014404,37,238570.5,175075.5,286704,0.6876899999999778,0.40139500000000017
13,0,w0_20260418_014404,38,66497.5,293410.5,253962,0.42250999999999783,0.3581150000000236
13,0,w0_20260418_014404,39,295998.25,186042,249819.75,0.6594849999999682,0.5409650000000015
13,0,w0_20260418_014404,40,18713.5,166191.75,149934.75,0.3675700000000058,0.2935200000000112
13,0,w0_20260418_014404,41,191809,256442.25,226968.75,0.5306650000000307,0.5002599999999986
13,0,w0_20260418_014404,42,173986.5,185992.5,201051,0.6606449999999756,0.2707400000000089
13,0,w0_20260418_014404,43,172875.25,197389.5,225005.25,0.6356549999999824,0.3140700000000176
13,0,w0_20260418_014404,44,331529,111897,249384,0.8058849999999351,0.4580099999999992
13,0,w0_20260418_014404,45,277344.5,123099,281896.5,0.7873849999999647,0.3494350000000179
13,0,w0_20260418_014404,46,114619.25,222715.5,232415.25,0.5794449999999869,0.30814500000001727
13,0,w0_20260418_014404,47,285786,186603.75,238370.25,0.6687149999999863,0.5168750000000064
13,0,w0_20260418_014404,48,288886.5,114477,239386.5,0.8044099999999619,0.33818000000000076
13,0,w0_20260418_014404,49,195033.25,249912,238134.75,0.5698900000000069,0.4533049999999876
13,0,w0_20260418_014404,50,73151,311602.5,288316.5,0.39486500000002145,0.4050199999999934
13,0,w0_20260418_014404,51,204458.5,214513.5,304788,0.6230699999999922,0.40325499999998826
13,0,w0_20260418_014404,52,75993,256794,277383,0.42503499999996985,0.3752549999999959
13,0,w0_20260418_014404,53,269489,102697.5,186973.5,0.8035799999999772,0.2794200000000041
13,0,w0_20260418_014404,54,283876,155304,273660,0.7290999999999888,0.4489150000000004
13,0,w0_20260418_014404,55,139698,219258,288414,0.5192250000000046,0.3957149999999942
13,0,w0_20260418_014404,56,122652.75,205203,292784.25,0.5209049999999709,0.381984999999986
13,0,w0_20260418_014404,57,6860.5,285426,324973.5,0.3142950000000011,0.35962000000000527
13,0,w0_20260418_014404,58,115459.25,165399,294261.75,0.4733399999999995,0.3895750000000035
13,0,w0_20260418_014404,59,227244,137845.5,229570.5,0.7330149999999753,0.36715000000000303
13,0,w0_20260418_014404,60,362580.5,76033.5,213276,0.8707350000000017,0.4536499999999905
13,0,w0_20260418_014404,61,187378,176780.25,265221.75,0.6395950000000065,0.41101499999998886
13,0,w0_20260418_014404,62,295984.75,109584,173381.25,0.8121150000000306,0.3647350000000073
13,0,w0_20260418_014404,63,205034,84641.25,272784.75,0.5303899999999871,0.45666499999997456
13,0,w0_20260418_014404,64,167209.25,123550.5,281180.25,0.6182899999999634,0.3877250000000017
13,0,w0_20260418_014404,65,38200.25,156480.75,286029,0.34658999999999085,0.3723699999999978
13,0,w0_20260418_014404,66,94003,140156.25,285840.75,0.5642349999999726,0.4106699999999901
13,0,w0_20260418_014404,67,166226.25,194064,276369.75,0.6022549999999932,0.3772599999999924
13,0,w0_20260418_014404,68,291049,128051.25,270729.75,0.7799249999999254,0.40223499999998896
13,0,w0_20260418_014404,69,408389.75,22766.25,273084,0.96098499999994,0.4412750000000083
13,0,w0_20260418_014404,70,218154,185628.75,268337.25,0.6514650000000018,0.4298999999999872
13,0,w0_20260418_014404,71,84100.75,174189.75,296629.5,0.3995500000000006,0.40561999999998954
13,0,w0_20260418_014404,72,54649,141828.75,313952.25,0.333025000000029,0.36894000000000055
13,0,w0_20260418_014404,73,175600,166351.5,282688.5,0.6604249999999976,0.3403349999999994
13,0,w0_20260418_014404,74,188882,196885.5,302302.5,0.6472949999999973,0.36050999999998967
13,0,w0_20260418_014404,75,178325.25,98204.25,299230.5,0.5617799999999921,0.423845000000002
13,0,w0_20260418_014404,76,175555,98769,308886,0.724039999999996,0.4156599999999824
13,0,w0_20260418_014404,77,151408.75,111387,287084.25,0.6018750000000039,0.4431249999999979
13,0,w0_20260418_014404,78,185577.5,86475.75,292266.75,0.6225999999999842,0.3902449999999995
13,0,w0_20260418_014404,79,69477.75,130153.5,296298.75,0.4030950000000066,0.3860200000000091
13,0,w0_20260418_014404,80,174819.25,71577,293043.75,0.5717100000000314,0.38248000000001214
13,0,w0_20260418_014404,81,215788,61062.75,267119.25,0.742884999999958,0.42551000000000794
13,0,w0_20260418_014404,82,106758.5,71849.25,281732.25,0.48051999999999545,0.39494999999999814
13,0,w0_20260418_014404,83,111114.75,89249.25,288546,0.4626400000000075,0.4149699999999998
13,0,w0_20260418_014404,84,157987.25,93238.5,321674.25,0.5675300000000184,0.4359950000000039
13,0,w0_20260418_014404,85,72432,105106.5,284371.5,0.3549600000000007,0.40023000000000825
13,0,w0_20260418_014404,86,141960,97512,284208,0.5320150000000032,0.47458499999998255
13,0,w0_20260418_014404,87,101177.25,70458.75,281154,0.5414949999999722,0.40005499999999206
13,0,w0_20260418_014404,88,16492.75,33425.25,305202,0.6239799999999994,0.3691300000000047
13,0,w0_20260418_014404,89,95524,79943.25,283782.75,0.4164850000000176,0.45156500000001887
13,0,w0_20260418_014404,90,107392.5,32293.5,295014,0.49760000000000326,0.4106850000000108
13,0,w0_20260418_014404,91,79776.25,42055.5,302318.25,0.3272399999999999,0.4072399999999912
13,0,w0_20260418_014404,92,108331.25,60413.25,308275.5,0.5801400000000133,0.3783900000000072
13,0,w0_20260418_014404,93,130826,28363.5,311860.5,0.6835749999999609,0.4088049999999863
13,0,w0_20260418_014404,94,92680.25,85737,271632.75,0.5342899999999827,0.39719999999999234
13,0,w0_20260418_014404,95,100692,64343.25,246534.75,0.5904050000000112,0.3616150000000045
13,0,w0_20260418_014404,96,334591,93305.25,264333.75,0.826124999999928,0.4435850000000229
13,0,w0_20260418_014404,97,320033.75,81515.25,245031,0.8581949999998655,0.35944500000000196
13,0,w0_20260418_014404,98,158723.5,195305.25,199421.25,0.6614049999999732,0.1927649999999977
13,0,w0_20260418_014404,99,58482.5,91698.75,88908.75,0.5488750000000071,0.13921499999999584
13,0,w0_20260418_014404,100,120862.5,74994,24253.5,0.8251549999999744,0.4874800000000016
13,1,w1_20260418_015119,1,175480.75,145965,98474.25,0.7130249999999911,0.20760999999999635
