episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,76.25,48.75,0.575,105.0,0.45
2,47.5,93.75,0.525,228.75,0.475
3,115.0,210.0,0.375,195.0,0.6
4,6.25,33.75,0.55,120.0,0.3
5,51.25,176.25,0.35,202.5,0.475
6,121.25,202.5,0.5,86.25,0.6
7,98.75,195.0,0.525,146.25,0.525
8,143.75,277.5,0.425,168.75,0.6
9,58.75,168.75,0.425,52.5,0.625
10,230.0,157.5,0.625,82.5,0.6
11,61.25,123.75,0.475,75.0,0.55
12,111.25,112.5,0.375,146.25,0.55
13,21.25,90.0,0.325,108.75,0.425
14,11.25,311.25,0.325,187.5,0.325
15,-28.75,75.0,0.55,153.75,0.225
16,70.0,90.0,0.575,60.0,0.55
17,7.5,52.5,0.4,120.0,0.375
18,2.5,101.25,0.225,116.25,0.375
19,46.25,337.5,0.375,266.25,0.375
20,20.0,157.5,0.4,52.5,0.2
21,15.0,210.0,0.475,195.0,0.175
22,3.75,86.25,0.375,180.0,0.375
23,56.25,172.5,0.375,161.25,0.325
24,21.25,127.5,0.3,191.25,0.425
25,-2.5,97.5,0.45,195.0,0.15
26,147.5,198.75,0.65,93.75,0.175
27,17.5,105.0,0.6,187.5,0.1
28,-1.25,202.5,0.375,138.75,0.225
29,30.0,191.25,0.375,138.75,0.275
30,-40.0,236.25,0.4,243.75,0.275
31,-57.5,135.0,0.475,322.5,0.1
32,-6.25,67.5,0.325,198.75,0.275
33,-6.25,172.5,0.525,153.75,0.075
34,13.75,142.5,0.35,123.75,0.3
35,108.75,183.75,0.6,247.5,0.1
36,33.75,56.25,0.55,210.0,0.2
37,81.25,112.5,0.6,146.25,0.3
38,-8.75,52.5,0.425,86.25,0.25
39,-31.25,135.0,0.375,236.25,0.275
40,16.25,138.75,0.575,285.0,0.2
41,202.5,116.25,0.725,71.25,0.125
42,155.0,112.5,0.775,202.5,0.1
43,35.0,97.5,0.575,157.5,0.125
44,77.5,67.5,0.775,105.0,0.1
45,-21.25,82.5,0.625,288.75,0.125
46,28.75,146.25,0.4,75.0,0.25
47,-1.25,75.0,0.675,176.25,0.225
48,-37.5,37.5,0.6,210.0,0.175
49,16.25,112.5,0.75,221.25,0.175
50,81.25,127.5,0.7,371.25,0.1
51,13.75,63.75,0.475,142.5,0.35
52,128.75,97.5,0.775,213.75,0.05
53,15.0,82.5,0.6,142.5,0.3
54,15.0,90.0,0.625,195.0,0.2
55,76.25,33.75,0.775,90.0,0.1
56,81.25,101.25,0.8,157.5,0.1
57,-38.75,97.5,0.55,191.25,0.075
58,225.0,60.0,0.875,285.0,0.175
59,55.0,153.75,0.5,41.25,0.125
60,116.25,120.0,0.7,183.75,0.175
61,-26.25,75.0,0.7,161.25,0.1
62,-6.25,123.75,0.4,52.5,0.35
63,51.25,116.25,0.725,202.5,0.225
64,106.25,78.75,0.65,135.0,0.2
65,93.75,101.25,0.675,105.0,0.175
66,-1.25,30.0,0.85,221.25,0.15
67,83.75,86.25,0.725,390.0,0.125
68,66.25,60.0,0.65,303.75,0.2
69,23.75,105.0,0.775,191.25,0.125
70,48.75,101.25,0.7,270.0,0.125
71,212.5,108.75,0.8,108.75,0.2
