episode,investor_return,a1_return,a1_repay,a2_return,a2_repay
1,57.5,101.25,0.5,101.25,0.575
2,200.0,262.5,0.5,67.5,0.7
3,71.25,150.0,0.5,48.75,0.575
4,141.25,142.5,0.6,56.25,0.625
5,146.25,131.25,0.525,52.5,0.7
6,171.25,142.5,0.525,56.25,0.75
7,66.25,30.0,0.5,63.75,0.6
8,120.0,75.0,0.5,165.0,0.625
9,191.25,195.0,0.45,63.75,0.775
10,288.75,150.0,0.65,161.25,0.675
11,303.75,202.5,0.5,123.75,0.775
12,150.0,37.5,0.5,172.5,0.675
13,47.5,60.0,0.525,52.5,0.575
14,55.0,22.5,0.45,82.5,0.65
15,86.25,112.5,0.475,41.25,0.675
16,245.0,52.5,0.6,172.5,0.7
17,71.25,22.5,0.55,56.25,0.7
18,96.25,67.5,0.45,56.25,0.7
19,207.5,300.0,0.45,112.5,0.7
20,151.25,45.0,0.475,153.75,0.675
21,142.5,52.5,0.575,105.0,0.7
22,51.25,108.75,0.5,0.0,0.55
23,100.0,135.0,0.4,105.0,0.625
24,202.5,127.5,0.5,120.0,0.7
25,115.0,202.5,0.55,22.5,0.55
26,102.5,135.0,0.5,82.5,0.625
27,140.0,52.5,0.5,97.5,0.7
28,205.0,120.0,0.45,135.0,0.725
29,25.0,22.5,0.45,52.5,0.425
30,118.75,142.5,0.5,78.75,0.675
31,218.75,180.0,0.475,101.25,0.75
32,162.5,33.75,0.45,93.75,0.75
33,175.0,82.5,0.55,112.5,0.7
34,118.75,180.0,0.45,71.25,0.725
35,215.0,93.75,0.475,161.25,0.7
36,70.0,142.5,0.5,37.5,0.6
37,13.75,26.25,0.5,0.0,0.55
38,97.5,232.5,0.4,120.0,0.55
39,147.5,228.75,0.475,93.75,0.625
40,147.5,86.25,0.525,86.25,0.7
41,148.75,247.5,0.5,123.75,0.6
42,248.75,172.5,0.55,138.75,0.725
43,47.5,67.5,0.45,45.0,0.525
44,197.5,127.5,0.55,165.0,0.6
45,31.25,60.0,0.5,78.75,0.475
46,27.5,82.5,0.45,120.0,0.575
47,111.25,221.25,0.525,37.5,0.5
48,102.5,255.0,0.45,112.5,0.55
49,-12.5,75.0,0.45,67.5,0.5
50,93.75,187.5,0.525,78.75,0.475
51,143.75,217.5,0.45,108.75,0.625
52,62.5,41.25,0.55,86.25,0.55
53,118.75,150.0,0.525,71.25,0.575
54,111.25,86.25,0.425,142.5,0.6
55,23.75,52.5,0.525,3.75,0.475
56,115.0,180.0,0.475,255.0,0.525
57,76.25,127.5,0.4,266.25,0.475
58,52.5,30.0,0.525,127.5,0.55
59,203.75,105.0,0.5,191.25,0.65
60,62.5,108.75,0.575,18.75,0.525
61,130.0,146.25,0.425,183.75,0.55
62,120.0,22.5,0.55,157.5,0.6
63,137.5,168.75,0.475,93.75,0.75
64,27.5,105.0,0.425,37.5,0.5
65,153.75,142.5,0.55,63.75,0.8
66,121.25,142.5,0.55,86.25,0.575
67,36.25,116.25,0.475,37.5,0.45
68,50.0,270.0,0.425,30.0,0.5
69,58.75,15.0,0.45,86.25,0.55
70,38.75,82.5,0.5,18.75,0.5
71,77.5,105.0,0.45,127.5,0.575
72,71.25,112.5,0.475,116.25,0.525
73,81.25,112.5,0.525,56.25,0.65
74,52.5,22.5,0.45,45.0,0.625
75,135.0,191.25,0.575,63.75,0.525
76,245.0,165.0,0.525,90.0,0.8
77,47.5,82.5,0.475,120.0,0.5
78,156.25,127.5,0.45,146.25,0.65
79,231.25,206.25,0.625,82.5,0.725
80,153.75,180.0,0.5,176.25,0.6
81,65.0,97.5,0.525,97.5,0.45
82,67.5,82.5,0.475,120.0,0.575
83,65.0,105.0,0.5,30.0,0.6
84,96.25,33.75,0.625,150.0,0.525
85,26.25,105.0,0.425,108.75,0.475
86,202.5,225.0,0.525,22.5,0.75
87,131.25,56.25,0.625,52.5,0.75
88,128.75,240.0,0.55,11.25,0.55
89,68.75,7.5,0.55,123.75,0.625
90,43.75,67.5,0.5,48.75,0.55
91,150.0,180.0,0.5,90.0,0.625
92,87.5,165.0,0.4,37.5,0.675
93,247.5,150.0,0.6,82.5,0.6
94,340.0,146.25,0.5,63.75,0.875
95,105.0,127.5,0.475,97.5,0.7
96,118.75,71.25,0.575,90.0,0.7
97,92.5,120.0,0.35,97.5,0.65
98,247.5,187.5,0.55,135.0,0.7
99,52.5,157.5,0.5,0.0,0.225
100,167.5,198.75,0.575,3.75,0.775
101,81.25,60.0,0.5,48.75,0.65
102,81.25,135.0,0.475,183.75,0.5
103,91.25,37.5,0.525,131.25,0.65
104,76.25,60.0,0.5,123.75,0.55
105,310.0,153.75,0.475,86.25,0.825
106,116.25,232.5,0.5,41.25,0.45
107,71.25,97.5,0.5,11.25,0.425
108,172.5,45.0,0.5,112.5,0.75
109,137.5,131.25,0.5,101.25,0.75
