episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
144,-30.0,202.5,0.275,67.5,0.35
145,-28.75,202.5,0.3,176.25,0.3
146,-71.25,213.75,0.275,217.5,0.2
147,-28.75,108.75,0.2,180.0,0.325
148,-28.75,165.0,0.325,243.75,0.275
149,118.75,176.25,0.375,285.0,0.525
150,-11.25,180.0,0.3,11.25,0.325
151,25.0,270.0,0.4,135.0,0.35
152,2.5,127.5,0.4,90.0,0.225
153,-18.75,108.75,0.35,180.0,0.25
154,-2.5,93.75,0.4,168.75,0.3
155,27.5,146.25,0.45,146.25,0.25
156,12.5,228.75,0.375,228.75,0.3
157,-37.5,93.75,0.25,243.75,0.3
158,21.25,168.75,0.475,120.0,0.275
159,25.0,127.5,0.55,157.5,0.225
160,-10.0,165.0,0.45,195.0,0.275
161,-20.0,300.0,0.275,120.0,0.3
162,10.0,236.25,0.325,213.75,0.275
163,5.0,41.25,0.425,183.75,0.25
164,-15.0,135.0,0.5,120.0,0.275
165,-23.75,90.0,0.25,93.75,0.3
166,7.5,243.75,0.35,168.75,0.25
167,-20.0,63.75,0.375,176.25,0.3
168,-16.25,67.5,0.35,168.75,0.25
169,12.5,135.0,0.4,112.5,0.325
170,-13.75,191.25,0.275,82.5,0.275
171,98.75,11.25,0.375,180.0,0.5
172,-10.0,217.5,0.3,142.5,0.45
173,16.25,157.5,0.325,206.25,0.375
174,-18.75,78.75,0.325,90.0,0.2
175,-47.5,150.0,0.3,337.5,0.25
176,-57.5,247.5,0.275,270.0,0.25
177,-17.5,202.5,0.325,45.0,0.25
178,-17.5,206.25,0.3,71.25,0.225
179,13.75,277.5,0.225,318.75,0.425
180,-12.5,90.0,0.275,142.5,0.3
181,-17.5,0.0,0.275,127.5,0.225
182,-13.75,191.25,0.25,142.5,0.375
183,-25.0,221.25,0.275,123.75,0.25
184,-7.5,90.0,0.25,37.5,0.325
185,-27.5,243.75,0.25,213.75,0.325
186,-33.75,213.75,0.225,90.0,0.275
187,35.0,97.5,0.45,157.5,0.425
188,-3.75,123.75,0.3,120.0,0.35
189,21.25,116.25,0.525,82.5,0.3
190,-11.25,168.75,0.2,232.5,0.35
191,3.75,221.25,0.325,15.0,0.375
192,11.25,11.25,0.2,187.5,0.375
193,3.75,150.0,0.35,236.25,0.325
194,10.0,191.25,0.475,168.75,0.275
195,17.5,86.25,0.4,236.25,0.325
196,27.5,296.25,0.375,146.25,0.4
197,-10.0,112.5,0.4,67.5,0.25
198,17.5,315.0,0.475,187.5,0.275
199,17.5,225.0,0.35,67.5,0.225
200,-8.75,67.5,0.175,71.25,0.45
201,62.5,48.75,0.525,48.75,0.375
202,15.0,165.0,0.45,210.0,0.3
203,17.5,52.5,0.55,150.0,0.275
204,-26.25,270.0,0.3,86.25,0.275
205,47.5,157.5,0.55,195.0,0.325
206,148.75,123.75,0.65,307.5,0.475
207,85.0,63.75,0.675,191.25,0.325
208,60.0,22.5,0.825,397.5,0.3
209,118.75,97.5,0.65,153.75,0.3
210,61.25,56.25,0.65,262.5,0.3
211,66.25,240.0,0.45,363.75,0.325
212,100.0,172.5,0.525,277.5,0.35
213,38.75,213.75,0.4,97.5,0.375
214,40.0,277.5,0.425,52.5,0.325
215,52.5,262.5,0.45,75.0,0.325
216,-16.25,0.0,0.225,146.25,0.25
217,-5.0,135.0,0.525,330.0,0.225
218,115.0,11.25,0.75,303.75,0.425
219,110.0,82.5,0.725,307.5,0.325
220,25.0,206.25,0.5,168.75,0.3
221,80.0,292.5,0.475,337.5,0.3
222,26.25,37.5,0.475,26.25,0.45
223,205.0,7.5,0.9,307.5,0.45
224,77.5,18.75,0.625,243.75,0.375
225,88.75,172.5,0.55,168.75,0.25
226,60.0,127.5,0.675,82.5,0.225
227,128.75,52.5,0.85,168.75,0.4
228,37.5,247.5,0.4,105.0,0.325
229,101.25,37.5,0.775,101.25,0.375
230,123.75,97.5,0.7,108.75,0.425
231,128.75,105.0,0.625,86.25,0.475
232,86.25,82.5,0.7,161.25,0.275
233,113.75,176.25,0.6,0.0,0.25
234,96.25,30.0,0.9,213.75,0.4
235,101.25,75.0,0.75,183.75,0.3
236,101.25,63.75,0.775,225.0,0.325
237,53.75,45.0,0.75,11.25,0.3
238,100.0,206.25,0.575,123.75,0.325
239,62.5,165.0,0.55,202.5,0.325
240,57.5,180.0,0.525,82.5,0.3
241,111.25,11.25,0.75,337.5,0.4
242,41.25,142.5,0.6,56.25,0.225
243,45.0,52.5,0.825,382.5,0.325
244,30.0,67.5,0.525,232.5,0.225
245,75.0,105.0,0.625,150.0,0.3
246,135.0,11.25,0.875,243.75,0.5
247,173.75,41.25,0.875,165.0,0.35
248,63.75,67.5,0.75,48.75,0.35
249,95.0,307.5,0.45,157.5,0.4
250,166.25,90.0,0.75,93.75,0.3
251,142.5,225.0,0.575,52.5,0.325
252,91.25,112.5,0.725,56.25,0.25
253,55.0,86.25,0.75,408.75,0.3
254,172.5,82.5,0.75,45.0,0.45
255,18.75,22.5,0.9,288.75,0.2
256,83.75,45.0,0.8,191.25,0.375
257,127.5,138.75,0.65,33.75,0.3
258,88.75,7.5,0.9,333.75,0.3
259,110.0,258.75,0.55,191.25,0.25
260,41.25,63.75,0.725,135.0,0.325
261,36.25,78.75,0.7,135.0,0.25
262,63.75,48.75,0.725,157.5,0.2
263,88.75,161.25,0.625,150.0,0.425
264,20.0,71.25,0.775,378.75,0.2
265,147.5,255.0,0.575,97.5,0.3
266,83.75,75.0,0.725,71.25,0.35
267,60.0,37.5,0.8,202.5,0.25
268,80.0,82.5,0.725,97.5,0.225
269,148.75,63.75,0.725,37.5,0.325
270,95.0,30.0,0.675,105.0,0.325
271,82.5,198.75,0.575,168.75,0.325
272,93.75,202.5,0.525,33.75,0.325
273,95.0,37.5,0.75,127.5,0.3
274,112.5,221.25,0.575,146.25,0.225
275,85.0,93.75,0.675,71.25,0.225
276,138.75,82.5,0.75,78.75,0.25
277,23.75,0.0,0.825,56.25,0.225
278,142.5,247.5,0.575,0.0,0.225
279,15.0,172.5,0.475,112.5,0.25
280,140.0,60.0,0.725,90.0,0.3
281,110.0,112.5,0.8,157.5,0.375
282,85.0,183.75,0.55,131.25,0.3
283,50.0,0.0,0.9,180.0,0.4
284,140.0,30.0,0.85,300.0,0.275
285,-3.75,0.0,0.725,63.75,0.25
286,20.0,45.0,0.75,195.0,0.325
287,101.25,210.0,0.55,138.75,0.375
288,135.0,180.0,0.625,75.0,0.35
289,57.5,30.0,0.8,202.5,0.25
290,178.75,116.25,0.7,75.0,0.3
291,15.0,0.0,0.85,105.0,0.375
292,82.5,157.5,0.65,150.0,0.3
293,92.5,180.0,0.6,67.5,0.35
294,91.25,127.5,0.65,11.25,0.4
295,88.75,0.0,0.95,191.25,0.25
296,51.25,26.25,0.9,142.5,0.275
297,80.0,270.0,0.5,120.0,0.225
298,91.25,97.5,0.725,101.25,0.25
299,115.0,120.0,0.625,165.0,0.275
300,116.25,67.5,0.8,146.25,0.25
301,145.0,240.0,0.6,45.0,0.325
302,131.25,48.75,0.875,180.0,0.2
303,98.75,37.5,0.9,423.75,0.275
304,91.25,86.25,0.8,202.5,0.25
305,230.0,63.75,0.875,296.25,0.325
306,181.25,0.0,1.0,168.75,0.25
307,193.75,0.0,1.0,206.25,0.3
308,87.5,180.0,0.6,232.5,0.3
309,-16.25,26.25,0.775,210.0,0.225
310,200.0,0.0,1.0,90.0,0.25
311,81.25,45.0,0.8,33.75,0.25
312,261.25,33.75,0.925,105.0,0.2
313,108.75,63.75,0.825,157.5,0.225
314,130.0,7.5,0.95,22.5,0.375
315,95.0,0.0,0.9,135.0,0.275
316,313.75,45.0,0.925,101.25,0.25
317,223.75,41.25,0.9,45.0,0.225
318,210.0,56.25,0.85,213.75,0.275
319,38.75,75.0,0.8,206.25,0.25
320,201.25,0.0,0.9,258.75,0.25
321,200.0,0.0,1.0,330.0,0.3
322,122.5,93.75,0.775,183.75,0.3
323,112.5,26.25,0.85,191.25,0.25
324,42.5,0.0,0.9,97.5,0.325
325,195.0,0.0,1.0,225.0,0.25
326,98.75,112.5,0.675,78.75,0.25
327,181.25,52.5,0.85,146.25,0.35
328,35.0,0.0,1.0,135.0,0.25
329,157.5,22.5,0.95,90.0,0.225
330,258.75,15.0,0.975,86.25,0.275
331,73.75,60.0,0.825,56.25,0.325
332,2.5,11.25,0.85,56.25,0.3
333,141.25,75.0,0.8,123.75,0.325
334,95.0,63.75,0.8,131.25,0.3
335,133.75,225.0,0.6,281.25,0.3
336,77.5,22.5,0.85,240.0,0.275
337,27.5,0.0,0.875,172.5,0.325
338,268.75,22.5,0.95,168.75,0.25
339,192.5,0.0,1.0,97.5,0.3
340,133.75,108.75,0.775,157.5,0.225
341,101.25,0.0,1.0,198.75,0.3
342,71.25,15.0,0.775,183.75,0.3
343,272.5,45.0,0.9,82.5,0.35
344,130.0,93.75,0.725,326.25,0.25
345,153.75,176.25,0.625,150.0,0.375
346,156.25,153.75,0.65,180.0,0.25
347,123.75,60.0,0.8,146.25,0.325
348,230.0,0.0,1.0,210.0,0.375
349,202.5,67.5,0.85,0.0,0.275
350,230.0,56.25,0.775,93.75,0.4
351,41.25,7.5,0.8,101.25,0.25
352,192.5,37.5,0.85,150.0,0.325
353,-12.5,0.0,0.9,292.5,0.275
354,150.0,75.0,0.8,165.0,0.225
355,37.5,11.25,0.875,101.25,0.25
356,70.0,153.75,0.725,116.25,0.375
357,206.25,105.0,0.7,168.75,0.375
358,327.5,0.0,1.0,322.5,0.375
359,257.5,120.0,0.8,172.5,0.375
360,82.5,90.0,0.8,37.5,0.375
361,185.0,97.5,0.75,367.5,0.275
362,82.5,82.5,0.625,105.0,0.35
363,85.0,127.5,0.65,217.5,0.275
