episode,investor_return,fair_1_return,max_1_return,rnd_1_return
158,1234.1,915.75,470.4,1533.75
159,1267.8,1270.5,310.2,1285.5
160,923.4,1390.5,239.1,1395.0
161,834.2,1491.75,293.55,1450.5
162,773.65,1408.5,227.1,1518.75
163,782.1,1509.0,336.9,1446.0
164,860.45,1263.75,181.8,1260.0
165,1006.75,1395.75,243.75,1413.75
166,852.7,1416.75,430.05,1492.5
167,1119.1,1248.75,227.4,1074.75
168,570.55,1328.25,328.95,1844.25
169,1087.6,1285.2,156.45,1362.75
170,1164.75,1389.75,213.0,970.5
171,803.8,1455.0,172.95,1442.25
172,923.45,1345.5,334.8,1466.25
173,877.8,1390.5,263.7,1590.0
174,782.95,1341.75,412.8,1504.5
175,865.75,1311.0,172.5,1578.75
176,977.05,1269.0,713.7,1394.25
177,836.0,1150.5,420.75,1290.75
178,1095.5,1245.75,327.0,1197.75
179,969.95,1277.7,245.85,1330.5
180,688.45,1445.25,217.8,1414.5
181,852.55,1324.95,383.25,1391.25
182,937.0,1212.75,255.0,1643.25
183,1480.9,1098.45,296.4,1082.25
184,1054.2,1146.75,245.55,1441.5
185,1243.7,1165.5,346.05,1176.75
186,895.1,1321.5,460.65,1458.75
187,859.1,1115.25,197.4,1658.25
188,1203.85,976.2,319.95,1476.0
189,1321.25,973.5,261.75,1447.5
190,1126.35,1082.7,340.2,1494.75
191,1249.05,1212.0,210.45,1372.5
192,1228.2,1053.75,325.05,1455.0
193,1399.95,790.5,238.05,1465.5
194,1827.4,741.0,167.1,1156.5
195,1583.35,702.75,288.15,1311.75
196,1270.5,891.75,201.0,1578.75
197,1431.55,858.75,296.7,1515.0
198,1223.1,912.75,347.4,1578.75
199,1195.05,1047.0,193.95,1560.0
200,1204.45,958.5,282.3,1500.75
201,980.4,1122.75,489.6,1595.25
202,1104.4,1251.0,158.1,1408.5
203,561.8,1409.25,372.45,1660.5
204,1078.95,1191.0,185.55,1462.5
205,1012.55,1165.5,472.2,1533.75
206,1628.9,868.5,195.6,1215.0
207,1421.5,881.7,277.8,1395.0
208,1490.8,686.25,751.2,1257.75
209,1586.8,755.25,938.7,1271.25
210,1497.0,767.25,778.5,1271.25
211,1277.1,822.75,919.65,1462.5
212,1398.9,807.75,146.1,1493.25
213,1840.45,731.25,547.8,1222.5
214,1578.6,837.0,363.9,1228.5
215,1339.75,764.25,225.0,1197.0
216,1360.35,804.75,177.9,1485.0
217,1504.75,824.25,243.0,1380.0
218,1488.85,740.25,186.15,1314.75
219,1262.6,1020.0,240.9,1432.5
220,1032.55,1096.2,264.0,1481.25
221,1116.3,1146.0,222.45,1421.25
222,1196.35,987.75,299.4,1300.5
223,1209.25,792.75,634.5,1501.5
224,1553.65,735.0,563.1,1316.25
225,1280.65,795.0,860.85,1219.5
226,1394.9,930.75,174.6,1443.75
227,1404.35,997.5,196.65,1249.5
228,1167.6,1031.25,169.65,1537.5
229,1127.45,1008.0,372.3,1580.25
230,1147.1,866.25,284.4,1250.25
231,1730.4,774.75,367.35,1207.5
232,1199.25,963.0,147.75,1620.0
233,1164.3,1144.5,319.2,1590.0
