episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,43.75,33.75,0.575,82.5,0.45
2,147.5,116.25,0.525,266.25,0.525
3,126.25,228.75,0.375,195.0,0.6
4,6.25,33.75,0.55,120.0,0.3
5,26.25,153.75,0.35,180.0,0.475
6,120.0,213.75,0.5,86.25,0.6
7,108.75,150.0,0.525,131.25,0.525
8,162.5,198.75,0.425,168.75,0.6
9,58.75,168.75,0.425,22.5,0.625
10,248.75,168.75,0.7,112.5,0.4
11,137.5,123.75,0.4,198.75,0.575
12,106.25,195.0,0.55,138.75,0.425
13,38.75,45.0,0.4,86.25,0.35
14,47.5,345.0,0.4,187.5,0.35
15,-16.25,75.0,0.5,71.25,0.225
16,61.25,67.5,0.575,71.25,0.55
17,18.75,30.0,0.625,131.25,0.35
18,2.5,45.0,0.225,142.5,0.425
19,113.75,326.25,0.375,210.0,0.5
20,13.75,123.75,0.4,22.5,0.3
21,52.5,217.5,0.475,150.0,0.275
22,32.5,75.0,0.525,142.5,0.4
23,31.25,138.75,0.45,60.0,0.35
24,-1.25,71.25,0.525,150.0,0.275
25,42.5,56.25,0.625,131.25,0.15
26,191.25,165.0,0.725,93.75,0.175
27,25.0,101.25,0.625,183.75,0.125
28,-3.75,135.0,0.3,48.75,0.225
29,153.75,217.5,0.6,138.75,0.275
30,18.75,191.25,0.475,180.0,0.325
31,-36.25,56.25,0.625,540.0,0.1
32,-2.5,22.5,0.475,150.0,0.325
33,38.75,71.25,0.6,60.0,0.2
34,105.0,266.25,0.5,108.75,0.25
35,-13.75,112.5,0.5,161.25,0.225
36,0.0,33.75,0.575,176.25,0.275
37,2.5,11.25,0.625,56.25,0.425
38,-8.75,52.5,0.6,86.25,0.25
39,-8.75,101.25,0.55,247.5,0.25
40,66.25,33.75,0.875,120.0,0.2
41,225.0,67.5,0.85,67.5,0.15
42,237.5,90.0,0.825,202.5,0.1
43,-6.25,86.25,0.6,150.0,0.1
44,80.0,45.0,0.85,105.0,0.1
45,-21.25,82.5,0.7,288.75,0.125
46,-1.25,176.25,0.425,75.0,0.25
47,152.5,82.5,0.825,165.0,0.15
48,-18.75,37.5,0.6,131.25,0.175
49,145.0,78.75,0.725,116.25,0.175
50,125.0,108.75,0.8,326.25,0.1
51,16.25,26.25,0.5,37.5,0.375
52,143.75,97.5,0.775,168.75,0.05
53,-7.5,26.25,0.7,101.25,0.35
54,-16.25,78.75,0.775,217.5,0.225
55,33.75,0.0,0.825,86.25,0.15
56,52.5,120.0,0.8,187.5,0.1
57,-22.5,127.5,0.475,45.0,0.05
58,221.25,93.75,0.8,75.0,0.175
59,32.5,157.5,0.525,30.0,0.1
60,8.75,22.5,0.85,198.75,0.2
61,60.0,150.0,0.65,150.0,0.05
62,-6.25,123.75,0.4,52.5,0.35
63,133.75,112.5,0.775,93.75,0.2
64,61.25,0.0,0.775,138.75,0.225
65,126.25,93.75,0.7,60.0,0.175
66,50.0,22.5,0.775,67.5,0.15
67,120.0,45.0,0.85,465.0,0.125
68,67.5,101.25,0.55,71.25,0.225
69,78.75,63.75,0.7,67.5,0.15
70,98.75,41.25,0.825,270.0,0.125
71,258.75,97.5,0.825,93.75,0.2
72,-20.0,168.75,0.5,161.25,0.075
73,76.25,90.0,0.8,123.75,0.125
74,17.5,33.75,0.675,198.75,0.225
75,50.0,30.0,0.875,180.0,0.1
76,-16.25,33.75,0.725,172.5,0.3
