episode,investor_return,fair_1_return,max_1_return,rnd_1_return
151,2659.65,1673.25,590.1,3135.0
152,2416.25,1701.0,1591.5,3161.25
153,2056.9,2241.45,451.65,2886.0
154,2772.85,1565.7,711.45,3120.0
155,2978.0,1612.5,1170.0,2755.5
156,3044.5,1308.45,1482.3,2640.75
157,2745.45,1500.0,1597.8,2922.75
158,2228.85,2074.5,399.15,2653.5
159,1936.9,2191.5,627.6,2352.0
160,1177.55,2877.75,553.95,2874.75
161,1525.4,2883.15,484.95,2422.5
162,1608.15,2975.7,568.65,2341.5
163,1323.75,3210.75,477.75,2961.75
164,1352.9,3422.25,454.35,2518.5
165,1271.3,3325.5,625.2,2496.0
166,1243.8,3156.9,452.55,2688.75
167,1254.65,3285.9,364.2,2825.25
168,879.0,3432.0,448.5,3118.5
169,950.35,3496.2,436.2,2759.25
170,799.35,3450.45,688.95,2195.25
171,1359.6,2865.0,488.4,2019.0
172,2543.3,1846.5,766.95,2909.25
173,1911.85,2521.5,567.9,3198.75
174,1844.55,2796.75,474.45,2942.25
175,1724.6,2880.75,456.9,2763.75
176,1798.4,2846.25,413.85,2827.5
177,1100.4,2999.85,726.75,3081.0
178,1347.95,3196.2,380.1,2685.75
179,1074.4,3224.7,475.65,3047.25
180,609.7,3237.0,590.55,3330.75
181,1139.85,3215.1,509.55,2851.5
182,1330.75,3343.2,459.3,2880.75
183,1207.5,3194.1,491.4,2673.0
184,1125.25,3461.25,507.75,2709.75
185,720.9,3369.0,598.35,2463.75
186,310.6,3296.85,580.8,2511.75
187,476.05,3614.1,565.35,2770.5
188,696.7,3262.05,483.75,2677.5
189,1753.5,2946.9,596.1,2569.5
190,1671.7,2926.5,703.05,2688.75
191,1781.25,2751.0,425.25,2932.5
192,1980.35,2768.25,404.4,2793.0
193,1995.25,2560.5,463.5,2832.75
194,1774.15,2922.75,334.35,2910.75
195,1505.4,3087.0,374.85,2988.75
196,642.35,3747.9,437.25,3034.5
197,903.3,3224.4,583.05,2861.25
198,1411.5,2861.25,537.0,3086.25
