timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
3,max_1,max,0,4,10022.75,20.0,60.0,15.0,0.25,-5.0,45.0,22.75,165.0,,
3,rnd_1,random,0,4,10019.0,15.0,45.0,11.25,0.25,-3.75,33.75,19.0,89.25,,
4,fair_1,fair,0,4,10037.75,15.0,45.0,33.75,0.75,18.75,11.25,37.75,30.0,,
4,max_1,max,0,4,10022.75,15.0,45.0,0.0,0.0,-15.0,45.0,22.75,210.0,,
4,rnd_1,random,0,4,10019.0,15.0,45.0,11.25,0.25,-3.75,33.75,19.0,123.0,,
5,fair_1,fair,0,4,10044.0,20.0,60.0,45.0,0.75,25.0,15.0,44.0,45.0,,
5,max_1,max,0,4,10029.0,15.0,45.0,0.0,0.0,-15.0,45.0,29.0,255.0,,
5,rnd_1,random,0,4,10025.25,15.0,45.0,11.25,0.25,-3.75,33.75,25.25,156.75,,
6,fair_1,fair,0,4,10031.5,5.0,15.0,11.25,0.75,6.25,3.75,31.5,48.75,,
6,max_1,max,0,4,10026.5,20.0,60.0,15.0,0.25,-5.0,45.0,26.5,300.0,,
6,rnd_1,random,0,4,10011.5,15.0,45.0,0.0,0.0,-15.0,45.0,11.5,201.75,,
7,fair_1,fair,0,4,10051.5,20.0,60.0,60.0,1.0,40.0,0.0,51.5,48.75,,
7,max_1,max,0,4,10046.5,20.0,60.0,15.0,0.25,-5.0,45.0,46.5,345.0,,
7,rnd_1,random,0,4,10066.5,10.0,30.0,30.0,1.0,20.0,0.0,66.5,201.75,,
8,fair_1,fair,0,4,10079.0,10.0,30.0,22.5,0.75,12.5,7.5,79.0,56.25,,
8,max_1,max,0,4,10074.0,5.0,15.0,0.0,0.0,-5.0,15.0,74.0,360.0,,
8,rnd_1,random,0,4,10059.0,15.0,45.0,0.0,0.0,-15.0,45.0,59.0,246.75,,
9,fair_1,fair,0,4,10084.0,20.0,60.0,45.0,0.75,25.0,15.0,84.0,71.25,,
