timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
51,max_2,max,0,4,11374.75,0.0,0.0,0.0,0.0,0.0,0.0,1374.75,683.25,,
52,fair_1,fair,0,4,11404.75,15.0,45.0,45.0,1.0,30.0,0.0,1404.75,1086.75,,
52,max_1,max,0,4,11411.75,5.0,15.0,12.0,0.8,7.0,3.0,1411.75,1126.5,,
52,fair_2,fair,0,4,11451.75,20.0,60.0,60.0,1.0,40.0,0.0,1451.75,1041.75,,
52,max_2,max,0,4,11436.75,15.0,45.0,0.0,0.0,-15.0,45.0,1436.75,728.25,,
53,fair_1,fair,0,4,11436.75,0.0,0.0,0.0,0.95,0.0,0.0,1436.75,1086.75,,
53,max_1,max,0,4,11433.25,5.0,15.0,1.5,0.1,-3.5,13.5,1433.25,1140.0,,
53,fair_2,fair,0,4,11413.25,20.0,60.0,0.0,0.0,-20.0,60.0,1413.25,1101.75,,
53,max_2,max,0,4,11413.25,0.0,0.0,0.0,0.0,0.0,0.0,1413.25,728.25,,
54,fair_1,fair,0,4,11423.25,20.0,60.0,30.0,0.5,10.0,30.0,1423.25,1116.75,,
54,max_1,max,0,4,11423.25,0.0,0.0,0.0,0.1,0.0,0.0,1423.25,1140.0,,
54,fair_2,fair,0,4,11403.25,20.0,60.0,0.0,0.0,-20.0,60.0,1403.25,1161.75,,
54,max_2,max,0,4,11388.25,15.0,45.0,0.0,0.0,-15.0,45.0,1388.25,773.25,,
55,fair_1,fair,0,4,11388.25,0.0,0.0,0.0,0.3,0.0,0.0,1388.25,1116.75,,
55,max_1,max,0,4,11388.25,0.0,0.0,0.0,0.1,0.0,0.0,1388.25,1140.0,,
55,fair_2,fair,0,4,11388.25,0.0,0.0,0.0,0.05,0.0,0.0,1388.25,1161.75,,
55,max_2,max,0,4,11388.25,0.0,0.0,0.0,0.0,0.0,0.0,1388.25,773.25,,
56,fair_1,fair,0,4,11368.25,20.0,60.0,0.0,0.0,-20.0,60.0,1368.25,1176.75,,
56,max_1,max,0,4,11364.75,5.0,15.0,1.5,0.1,-3.5,13.5,1364.75,1153.5,,
56,fair_2,fair,0,4,11404.75,20.0,60.0,60.0,1.0,40.0,0.0,1404.75,1161.75,,
56,max_2,max,0,4,11404.75,0.0,0.0,0.0,0.0,0.0,0.0,1404.75,773.25,,
57,fair_1,fair,0,4,11404.75,0.0,0.0,0.0,0.3,0.0,0.0,1404.75,1176.75,,
57,max_1,max,0,4,11411.75,5.0,15.0,12.0,0.8,7.0,3.0,1411.75,1156.5,,
57,fair_2,fair,0,4,11448.75,20.0,60.0,57.0,0.95,37.0,3.0,1448.75,1164.75,,
57,max_2,max,0,4,11448.75,0.0,0.0,0.0,0.0,0.0,0.0,1448.75,773.25,,
58,fair_1,fair,0,4,11478.75,15.0,45.0,45.0,1.0,30.0,0.0,1478.75,1176.75,,
58,max_1,max,0,4,11468.25,15.0,45.0,4.5,0.1,-10.5,40.5,1468.25,1197.0,,
58,fair_2,fair,0,4,11496.25,20.0,60.0,48.0,0.8,28.0,12.0,1496.25,1176.75,,
58,max_2,max,0,4,11491.25,5.0,15.0,0.0,0.0,-5.0,15.0,1491.25,788.25,,
59,fair_1,fair,0,4,11503.25,15.0,45.0,27.0,0.6,12.0,18.0,1503.25,1194.75,,
59,max_1,max,0,4,11499.75,5.0,15.0,1.5,0.1,-3.5,13.5,1499.75,1210.5,,
59,fair_2,fair,0,4,11539.75,20.0,60.0,60.0,1.0,40.0,0.0,1539.75,1176.75,,
59,max_2,max,0,4,11542.25,5.0,15.0,7.5,0.5,2.5,7.5,1542.25,795.75,,
60,fair_1,fair,0,4,11542.25,0.0,0.0,0.0,0.95,0.0,0.0,1542.25,1194.75,,
60,max_1,max,0,4,11542.25,0.0,0.0,0.0,0.1,0.0,0.0,1542.25,1210.5,,
60,fair_2,fair,0,4,11522.25,20.0,60.0,0.0,0.0,-20.0,60.0,1522.25,1236.75,,
60,max_2,max,0,4,11507.25,15.0,45.0,0.0,0.0,-15.0,45.0,1507.25,840.75,,
61,fair_1,fair,0,4,11507.25,0.0,0.0,0.0,0.95,0.0,0.0,1507.25,1194.75,,
61,max_1,max,0,4,11503.75,5.0,15.0,1.5,0.1,-3.5,13.5,1503.75,1224.0,,
61,fair_2,fair,0,4,11503.75,0.0,0.0,0.0,0.0,0.0,0.0,1503.75,1236.75,,
61,max_2,max,0,4,11503.75,0.0,0.0,0.0,0.0,0.0,0.0,1503.75,840.75,,
62,fair_1,fair,0,4,11543.75,20.0,60.0,60.0,1.0,40.0,0.0,1543.75,1194.75,,
62,max_1,max,0,4,11543.75,0.0,0.0,0.0,0.1,0.0,0.0,1543.75,1224.0,,
62,fair_2,fair,0,4,11526.75,20.0,60.0,3.0,0.05,-17.0,57.0,1526.75,1293.75,,
62,max_2,max,0,4,11526.75,0.0,0.0,0.0,0.0,0.0,0.0,1526.75,840.75,,
63,fair_1,fair,0,4,11566.75,20.0,60.0,60.0,1.0,40.0,0.0,1566.75,1194.75,,
63,max_1,max,0,4,11559.75,10.0,30.0,3.0,0.1,-7.0,27.0,1559.75,1251.0,,
63,fair_2,fair,0,4,11578.25,10.0,30.0,28.5,0.95,18.5,1.5,1578.25,1295.25,,
63,max_2,max,0,4,11588.25,20.0,60.0,30.0,0.5,10.0,30.0,1588.25,870.75,,
64,fair_1,fair,0,4,11598.0,15.0,45.0,24.75,0.55,9.75,20.25,1598.0,1215.0,,
64,max_1,max,0,4,11605.0,5.0,15.0,12.0,0.8,7.0,3.0,1605.0,1254.0,,
64,fair_2,fair,0,4,11645.0,20.0,60.0,60.0,1.0,40.0,0.0,1645.0,1295.25,,
64,max_2,max,0,4,11645.0,0.0,0.0,0.0,0.6,0.0,0.0,1645.0,870.75,,
65,fair_1,fair,0,4,11645.0,0.0,0.0,0.0,0.95,0.0,0.0,1645.0,1215.0,,
65,max_1,max,0,4,11634.5,15.0,45.0,4.5,0.1,-10.5,40.5,1634.5,1294.5,,
65,fair_2,fair,0,4,11662.5,20.0,60.0,48.0,0.8,28.0,12.0,1662.5,1307.25,,
65,max_2,max,0,4,11657.5,5.0,15.0,0.0,0.0,-5.0,15.0,1657.5,885.75,,
66,fair_1,fair,0,4,11687.5,15.0,45.0,45.0,1.0,30.0,0.0,1687.5,1215.0,,
66,max_1,max,0,4,11684.0,5.0,15.0,1.5,0.1,-3.5,13.5,1684.0,1308.0,,
66,fair_2,fair,0,4,11712.0,20.0,60.0,48.0,0.8,28.0,12.0,1712.0,1319.25,,
66,max_2,max,0,4,11707.0,5.0,15.0,0.0,0.0,-5.0,15.0,1707.0,900.75,,
67,fair_1,fair,0,4,11734.75,15.0,45.0,42.75,0.95,27.75,2.25,1734.75,1217.25,,
67,max_1,max,0,4,11731.25,5.0,15.0,1.5,0.1,-3.5,13.5,1731.25,1321.5,,
67,fair_2,fair,0,4,11714.25,20.0,60.0,3.0,0.05,-17.0,57.0,1714.25,1376.25,,
67,max_2,max,0,4,11714.25,0.0,0.0,0.0,0.0,0.0,0.0,1714.25,900.75,,
68,fair_1,fair,0,4,11751.25,20.0,60.0,57.0,0.95,37.0,3.0,1751.25,1220.25,,
68,max_1,max,0,4,11751.25,0.0,0.0,0.0,0.8,0.0,0.0,1751.25,1321.5,,
68,fair_2,fair,0,4,11751.25,0.0,0.0,0.0,0.0,0.0,0.0,1751.25,1376.25,,
68,max_2,max,0,4,11751.25,0.0,0.0,0.0,0.0,0.0,0.0,1751.25,900.75,,
69,fair_1,fair,0,4,11788.25,20.0,60.0,57.0,0.95,37.0,3.0,1788.25,1223.25,,
69,max_1,max,0,4,11784.75,5.0,15.0,1.5,0.1,-3.5,13.5,1784.75,1335.0,,
69,fair_2,fair,0,4,11767.75,20.0,60.0,3.0,0.05,-17.0,57.0,1767.75,1433.25,,
69,max_2,max,0,4,11767.75,0.0,0.0,0.0,0.0,0.0,0.0,1767.75,900.75,,
70,fair_1,fair,0,4,11804.75,20.0,60.0,57.0,0.95,37.0,3.0,1804.75,1226.25,,
70,max_1,max,0,4,11797.75,10.0,30.0,3.0,0.1,-7.0,27.0,1797.75,1362.0,,
70,fair_2,fair,0,4,11834.75,20.0,60.0,57.0,0.95,37.0,3.0,1834.75,1436.25,,
70,max_2,max,0,4,11829.75,5.0,15.0,0.0,0.0,-5.0,15.0,1829.75,915.75,,
71,fair_1,fair,0,4,11829.75,0.0,0.0,0.0,0.0,0.0,0.0,1829.75,1226.25,,
71,max_1,max,0,4,11836.75,5.0,15.0,12.0,0.8,7.0,3.0,1836.75,1365.0,,
71,fair_2,fair,0,4,11876.75,20.0,60.0,60.0,1.0,40.0,0.0,1876.75,1436.25,,
