episode,investor_return,fair_1_return,max_1_return,rnd_1_return
1,1498.6,2418.75,1785.9,1704.75
2,2840.35,1674.0,1209.9,2169.75
3,3791.05,982.5,1780.2,2114.25
4,1463.6,1231.5,3306.9,1782.0
5,2421.35,373.5,3343.65,2227.5
6,835.9,2226.75,3395.85,1819.5
7,630.7,2008.2,3608.1,1833.0
8,1252.3,1765.95,3669.75,2214.0
9,608.5,2878.65,4481.1,2685.75
10,-342.6,3245.4,4153.95,2315.25
11,240.05,1718.7,2856.75,1462.5
12,1619.25,741.0,4686.75,2619.0
13,1770.0,390.0,3824.25,1953.75
14,1546.0,445.5,4362.75,2379.75
15,905.3,997.95,3758.25,1966.5
16,1554.75,1415.25,4705.5,2200.5
17,910.0,1928.25,4776.0,2313.75
18,612.25,1719.75,3575.25,2088.75
19,846.25,1661.25,4253.25,2351.25
20,-89.9,2027.4,3882.75,2139.75
21,-120.9,2883.9,4698.75,2468.25
22,-774.0,2587.5,2865.75,1668.75
23,-299.45,2180.7,2916.0,1770.75
24,-464.8,3138.9,3699.9,2400.0
25,-128.05,1442.1,1130.7,791.25
26,-89.3,927.3,977.25,666.75
27,503.9,1547.4,3364.2,2200.5
28,1600.25,624.0,4137.0,2160.75
29,2432.35,462.0,4757.4,2762.25
30,1085.55,1138.95,3796.5,2283.0
31,936.15,1314.45,2948.4,2013.0
32,807.1,1872.0,3854.4,2092.5
33,603.3,2098.5,2905.2,2367.0
34,676.75,1845.75,2434.5,1761.0
35,514.65,2315.25,2778.6,2623.5
36,1202.65,2124.75,1829.85,2052.75
37,912.9,2183.25,2618.85,2163.0
38,906.5,1822.5,3417.0,2202.0
39,1368.65,1459.2,3972.9,2249.25
40,1385.55,2119.5,3052.95,2592.0
41,960.55,2575.5,2588.7,2267.25
42,1001.95,2873.25,2223.3,2659.5
43,1432.05,2206.5,2049.45,2964.0
44,1747.7,1491.15,2232.9,1970.25
45,1839.15,1728.0,3115.35,2497.5
46,1764.1,1897.5,2952.9,2587.5
47,1281.5,2707.5,2439.0,2502.0
48,1548.75,2729.7,1453.05,2758.5
49,1299.3,2387.25,1912.95,2980.5
50,1959.75,1958.7,1591.8,2163.75
51,2362.55,1216.5,2823.45,2647.5
52,2666.25,456.0,2774.25,3025.5
53,3507.4,399.0,2960.1,2491.5
54,2179.6,1911.75,1770.15,2650.5
55,2095.25,2306.25,1579.5,2667.0
56,1892.2,2243.25,1246.05,2986.5
57,2588.4,1527.75,2114.1,2913.75
58,3025.65,813.0,2479.35,2760.0
59,2853.75,1056.0,1558.5,2607.75
60,3269.05,607.5,1944.45,2295.0
61,3472.3,549.75,2202.45,2977.5
62,3449.35,552.75,878.4,3097.5
63,3184.2,808.5,1356.3,2823.0
64,3500.95,834.0,1878.3,2718.75
65,2731.05,1503.0,2305.95,2664.0
66,2552.95,1909.5,811.05,2890.5
67,1945.05,2177.25,1026.45,3023.25
68,2302.3,2192.25,433.95,2641.5
69,2289.6,1848.75,1167.15,2854.5
70,2805.75,1509.0,733.5,2457.75
71,2015.1,1867.5,1338.9,2950.5
72,2983.25,1346.25,1433.25,2753.25
73,3062.75,1292.25,735.0,2808.0
74,3732.95,1173.0,428.55,2515.5
75,2935.55,1569.75,969.45,2735.25
76,2557.35,1533.0,1463.4,3032.25
77,2323.5,2220.0,681.75,2544.75
78,2197.1,2176.5,763.65,2430.75
79,2331.95,2117.25,826.05,2586.75
80,1538.6,2622.75,1025.4,3101.25
81,1515.05,2776.5,519.45,2817.0
82,1859.75,2629.5,720.75,2898.0
83,2049.2,2190.75,1078.8,2963.25
84,2041.4,2458.5,542.85,2993.25
85,1909.25,2729.25,616.5,2673.0
86,2789.1,1876.5,1077.15,2699.25
87,2524.1,1964.25,612.15,2941.5
88,2266.65,2223.45,663.15,2850.75
89,1681.5,2427.75,675.75,2955.0
90,1987.05,2246.25,667.2,2977.5
91,2322.65,1985.25,886.35,2745.75
92,3148.85,1136.7,1420.2,2756.25
93,3048.9,832.95,621.9,2882.25
94,2627.9,1871.25,1214.85,2412.0
95,1905.75,2027.25,689.25,3165.75
96,1973.2,2350.2,849.6,2337.0
97,1441.3,2722.5,827.7,2962.5
98,1925.3,1973.7,970.5,3472.5
99,2895.1,1346.25,579.15,2881.5
100,2112.9,1884.0,1551.6,3043.5
101,2594.2,1802.25,1075.8,2739.75
102,3331.3,1324.2,634.5,2376.0
103,3567.7,888.75,1330.8,2880.75
104,3953.0,809.25,580.5,2633.25
105,2802.3,1538.25,1096.2,2951.25
106,2144.85,2598.0,692.4,2694.75
107,1632.85,2942.25,728.4,2602.5
108,1603.4,2807.25,711.6,2913.75
109,2033.05,2571.45,684.75,2736.75
110,2343.5,1878.0,733.5,2907.0
111,3154.1,1246.5,926.4,2865.0
112,3779.25,1080.75,524.25,2649.75
113,2556.8,1476.75,1116.45,3144.0
114,2606.8,1957.5,682.2,2731.5
115,2500.8,1510.5,900.45,2930.25
116,2897.2,1719.0,631.8,2790.0
117,3116.9,1762.5,944.1,2296.5
118,2065.8,2297.4,750.3,2950.5
119,2180.75,2422.95,527.55,2634.75
120,1636.2,2892.0,514.05,2931.75
121,1528.65,2880.0,674.1,3041.25
122,2139.0,2726.25,538.5,2522.25
123,1709.4,2670.75,701.85,2658.0
124,2219.8,2627.25,563.7,2681.25
125,2053.35,2106.75,321.9,3420.0
126,2435.4,1992.75,669.6,2942.25
127,2372.1,2136.0,417.15,2898.75
128,2707.95,1927.5,737.55,2673.0
129,2983.25,1598.25,648.75,2877.75
130,3103.65,1478.25,1107.6,2638.5
131,3230.2,1331.25,1030.8,2649.75
132,3804.2,455.25,1436.55,2910.0
133,4121.65,625.5,515.85,2835.0
134,3610.1,896.25,800.4,2915.25
135,3630.2,909.0,504.3,2860.5
136,3100.1,908.7,1498.95,2714.25
137,2103.65,2281.5,524.85,3126.0
138,2390.55,2490.75,530.7,2250.0
139,1920.25,2356.5,535.5,2631.75
140,2119.7,2491.5,367.05,2739.75
141,1948.2,2538.75,621.3,2895.75
142,2109.45,2493.75,679.05,2817.75
143,2046.05,2838.75,508.2,2511.0
144,2313.7,2316.75,746.55,2709.0
145,2509.1,1704.75,669.15,3207.0
146,3197.5,1775.25,416.25,2475.0
147,2153.05,2233.5,524.7,3042.75
148,2672.6,1980.0,437.4,2850.0
149,2954.35,1492.5,1020.9,2840.25
150,2904.85,1768.5,597.9,2784.75
151,2331.25,2080.5,426.75,3127.5
152,2263.3,2220.0,419.7,3195.0
153,3152.95,1508.25,454.8,2916.0
154,3115.0,1265.25,724.5,3101.25
155,3050.15,1708.5,557.1,2744.25
156,2919.3,1839.0,881.7,2742.0
157,3106.3,1503.0,490.95,2907.75
158,2646.8,1888.5,400.95,2799.75
159,2283.4,2343.75,610.35,2608.5
160,1926.8,2421.0,543.45,3054.75
161,2678.05,1818.75,518.7,2422.5
162,3120.3,1673.25,1378.95,2431.5
163,2688.65,1901.25,557.85,2984.25
164,2816.25,2112.75,416.25,2574.75
165,2948.9,1831.5,848.1,2563.5
166,2750.75,1813.2,542.55,2749.5
167,3203.15,1474.5,365.1,2885.25
168,2236.45,2151.75,463.8,3126.0
169,2177.9,2500.5,435.6,2868.0
170,2374.7,2555.25,647.55,2536.5
171,2467.25,2659.5,491.25,2424.0
172,2061.5,2628.75,444.0,2991.75
173,1786.05,2452.2,1203.0,3198.75
174,2475.8,2195.25,436.2,2934.75
175,2121.75,2606.25,446.25,2763.75
176,2197.05,2532.0,388.95,2850.0
177,1700.65,2565.75,667.35,3092.25
178,2267.2,2430.75,347.55,2794.5
179,2496.25,1990.5,628.5,3084.75
180,2384.35,1660.5,591.15,3372.0
181,2869.7,1695.75,509.55,2889.0
182,2753.85,2002.95,422.7,2914.5
183,2787.7,2068.5,409.8,2868.0
184,2552.1,2231.25,429.15,2773.5
185,2320.1,2442.0,442.65,2891.25
186,2397.15,2202.75,510.6,2875.5
187,2776.8,1756.5,475.2,2905.5
188,3106.0,1611.0,405.0,2940.0
189,2742.65,1944.0,1208.1,2603.25
190,3004.6,1621.5,694.65,2801.25
191,3129.0,1452.75,372.75,2947.5
192,3597.75,1122.75,544.5,2793.0
193,3659.3,903.75,476.7,2840.25
194,2978.6,1701.75,334.65,2907.0
195,2224.85,2397.0,350.4,3063.75
196,1888.8,2724.0,351.45,3045.75
197,2241.6,2325.75,556.65,3000.0
198,2018.65,2328.75,470.1,3172.5
199,2040.15,2643.0,425.85,3015.0
200,2525.4,2412.75,485.85,2604.0
201,2419.85,2217.75,411.9,2962.5
202,2775.75,1812.0,657.75,2854.5
203,2702.0,1824.0,624.0,2880.0
204,2091.55,2078.25,1291.2,2985.0
205,2483.5,2335.5,470.25,2718.75
206,2161.0,2278.5,492.0,2872.5
207,2231.25,2292.0,591.0,2967.75
208,1972.45,2705.25,387.3,3015.0
209,2131.6,2766.0,389.4,2835.0
210,1858.35,2505.0,383.4,3149.25
211,2170.9,2263.5,466.35,2801.25
212,2956.55,1769.25,568.2,2718.0
213,2330.25,2138.25,372.75,3108.75
214,2190.15,2598.0,491.85,2772.0
215,2914.05,2088.0,406.2,2589.75
216,3204.6,1432.2,290.7,2992.5
217,3177.0,1501.5,454.5,2877.0
218,2218.0,1954.5,685.5,3420.0
219,2461.25,2290.5,829.5,2718.75
220,2604.6,2049.75,555.15,2902.5
221,2062.4,2179.5,554.1,3384.0
222,2330.55,2319.75,721.2,2770.5
223,2012.15,2727.0,603.6,2771.25
224,2089.85,2712.75,1020.15,2501.25
225,2270.3,2424.0,347.7,2820.0
226,2791.35,2073.75,223.65,3011.25
227,2273.35,2188.95,353.7,3090.0
228,2214.35,2464.2,438.45,2865.0
229,2043.65,2545.2,424.65,3130.5
230,2013.1,2675.7,319.2,2958.0
231,1617.75,2982.75,346.5,3135.0
232,2348.6,2736.75,165.9,2940.75
233,2337.55,2646.75,747.45,2720.25
234,2730.05,2127.75,489.45,2718.75
235,2546.5,1787.25,517.5,2808.75
236,2839.55,1864.5,413.7,2960.25
237,2774.8,1585.5,340.2,3187.5
238,2960.0,1872.0,747.75,2672.25
239,2461.8,2115.75,341.7,3078.75
240,2648.9,2208.0,294.6,2938.5
241,2906.9,2251.5,437.1,2356.5
242,3413.85,1946.1,203.55,2542.5
243,2621.6,1827.0,606.15,3191.25
244,2590.55,2332.95,394.5,2700.0
245,2280.3,2487.0,295.95,2868.75
246,1911.25,2613.0,550.5,3035.25
247,2082.8,2764.5,590.7,2832.0
248,1635.7,2821.95,365.85,2962.5
249,2033.25,2649.0,441.75,2706.0
250,2054.05,2628.0,652.2,2859.75
251,2533.65,2287.5,449.1,2907.75
252,1781.65,2353.95,436.65,3393.75
253,2894.4,1691.25,888.6,2679.75
254,3200.45,1460.25,394.05,2771.25
255,2209.85,1578.75,480.15,2435.25
256,1918.45,1771.5,327.3,2418.75
257,2415.6,2103.75,398.4,2702.25
258,2698.25,2161.5,674.25,2802.0
259,2125.9,2148.75,455.1,3152.25
260,2613.3,2070.75,427.95,2886.0
261,2588.45,2131.5,388.8,2735.25
262,2228.2,2306.25,319.8,3153.75
263,2344.3,2733.0,419.7,2673.0
264,2144.55,2721.0,338.7,2679.75
265,2260.5,2441.25,432.0,2900.25
266,2601.1,2037.75,423.9,3053.25
267,2329.75,2541.0,343.5,2913.75
268,2663.3,2419.5,390.45,2628.75
269,2368.8,2524.5,452.7,2784.0
270,1717.1,3072.0,1138.65,2396.25
271,651.8,2488.2,795.75,1916.25
272,1296.0,3003.0,794.25,2358.75
273,1678.15,3033.0,242.1,3018.75
274,1725.75,2969.25,126.0,2739.0
275,2024.55,2563.5,337.95,3180.0
276,2523.3,2287.5,232.2,2571.0
277,2395.6,2321.25,564.15,2769.0
278,2207.65,2535.75,512.1,2692.5
279,2495.9,2651.25,393.6,2477.25
280,2224.85,2472.0,369.9,2861.25
281,1820.3,2658.0,373.2,3256.5
282,2793.1,1662.75,783.9,2786.25
283,3320.4,1546.5,323.85,2843.25
284,2891.35,1459.5,458.4,3234.75
285,2738.15,1527.75,474.6,2569.5
286,2804.1,1895.25,686.4,2714.25
287,1937.15,1611.0,509.85,2700.0
288,2410.45,2392.5,301.8,2831.25
289,2908.2,1819.5,1171.8,2836.5
290,3350.7,1227.0,884.55,2943.75
291,3512.9,1662.0,679.35,2517.75
292,3312.1,1778.7,400.95,2666.25
293,3040.45,1938.0,553.05,2692.5
294,2728.6,2261.25,358.65,2827.5
295,2833.25,2283.75,390.75,2636.25
296,2327.35,2375.25,403.65,3105.75
297,3157.65,2130.0,351.6,2526.75
298,2280.2,2508.0,398.55,2861.25
299,2348.15,2334.75,437.1,2856.0
300,1844.7,2397.0,1192.05,2846.25
301,2224.95,2088.75,1312.05,2840.25
302,2114.9,1993.5,1121.1,3268.5
303,2475.6,1966.5,462.15,3273.75
304,2460.35,2250.75,595.65,2981.25
305,2156.45,2681.7,630.6,2687.25
306,1508.55,3310.2,424.5,2862.75
307,1184.25,3211.5,366.0,2876.25
308,1639.95,3312.0,485.55,2458.5
309,1293.6,3035.4,420.75,2828.25
310,1189.8,3338.7,235.5,3030.0
311,1046.8,3173.7,334.5,2895.0
312,1046.55,3693.0,320.7,2853.75
313,1194.5,3333.3,325.95,2900.25
314,1907.8,3142.5,304.95,2568.75
315,2354.0,2743.5,297.75,2622.75
316,1873.55,2884.5,308.7,3041.25
317,2125.55,2624.25,427.2,3015.0
318,1535.3,2646.0,400.2,2734.5
319,1324.9,3343.5,312.6,2985.0
320,1122.6,3454.5,346.65,2714.25
321,544.75,3499.5,320.25,2647.5
322,900.25,3498.75,540.75,2576.25
323,480.3,3520.2,594.75,3066.75
324,809.35,3643.2,503.7,2787.75
325,1091.45,3736.5,1082.55,2377.5
326,2017.6,2953.5,522.15,2628.75
327,2528.25,2593.5,271.5,2724.75
328,2558.0,2014.5,357.0,3172.5
329,2728.85,1901.7,305.7,3123.75
330,2938.7,2079.0,382.8,2713.5
331,2820.7,2053.2,646.35,2793.75
332,2356.6,2251.5,498.15,3123.75
333,2238.55,2365.5,520.95,3045.0
334,1858.7,2721.0,333.3,3075.0
335,1705.75,3013.5,618.0,2964.75
336,1563.15,2840.7,402.15,3108.0
337,1839.7,2761.5,361.05,3123.75
338,2007.0,2630.25,422.25,2548.5
339,1948.25,2566.65,464.1,3051.0
340,2170.5,2839.5,306.75,2831.25
341,1770.8,2727.75,505.95,2935.5
342,2080.55,2917.5,280.95,2895.0
343,2226.8,1869.0,438.45,2553.75
344,3025.7,1938.75,301.8,2403.75
345,1953.8,2736.0,327.45,3042.75
346,2042.55,2763.0,418.2,2870.25
347,1849.3,2798.25,400.2,3086.25
348,2014.25,2908.5,332.25,2847.0
349,1333.8,3343.5,319.95,3042.75
350,1332.35,3581.25,534.15,2846.25
351,1104.75,3465.0,600.75,3115.5
352,1272.55,3612.0,534.45,2865.0
353,1501.5,3427.2,334.8,2782.5
354,1980.1,3282.75,441.9,2381.25
355,1651.0,2875.5,398.25,3155.25
356,1915.35,2911.5,472.65,2932.5
357,1880.45,2816.7,472.35,3046.5
358,2454.8,2793.0,410.7,2569.5
359,1762.75,2590.5,387.75,3195.0
360,1974.1,2493.75,397.65,3160.5
361,2223.3,2407.95,324.75,2916.0
362,1601.8,3039.0,388.2,2931.0
363,2077.85,2812.2,367.95,2784.0
364,1458.75,2982.0,685.5,3153.75
365,1414.85,3371.25,406.65,2921.25
366,1314.25,3450.0,364.5,2837.25
367,1581.35,3256.2,379.2,2651.25
368,1600.85,3313.5,306.9,2724.75
369,1547.05,3116.25,370.95,2709.75
370,1647.95,3234.75,471.3,2760.0
371,1544.6,3058.5,351.15,3063.75
372,2110.3,2829.0,427.2,2695.5
373,1697.1,2695.5,437.4,3132.0
