timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
1,0,a1,max,0,1,4,0.0,-20.0,-20.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,60.0,2
1,1,a2,fair,0,1,4,20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,0,a1,max,0,1,4,0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2
2,1,a2,fair,0,1,4,20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,0,a1,max,0,1,4,0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2
3,1,a2,fair,0,1,4,20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2
4,0,a1,max,0,1,4,0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2
4,1,a2,fair,0,1,4,20.0,-20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
5,0,a1,max,0,1,4,-10.0,-30.0,-30.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,90.0,2
5,1,a2,fair,0,1,4,20.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2
6,0,a1,max,0,1,4,-10.0,-30.0,-30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,2
6,1,a2,fair,0,1,4,20.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2
7,0,a1,max,0,1,4,-10.0,-30.0,-30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,2
7,1,a2,fair,0,1,4,20.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2
8,0,a1,max,0,1,4,-10.0,-30.0,-30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,2
8,1,a2,fair,0,1,4,20.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2
9,0,a1,max,0,1,4,-10.0,-30.0,-30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,2
9,1,a2,fair,0,1,4,20.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2
0,0,a1,max,0,1,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,3
0,1,a2,fair,0,1,4,17.5,-12.5,-2.5,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,22.5,3
1,0,a1,max,0,1,4,-5.0,-27.5,-25.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,75.0,3
