iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high
74,DGP 2: Investor communication,1,Violated,8.111875000000026,1.7264798578310645,4.72797447865114,11.495775521348913
75,DGP 1: No investor communication,0,Fulfilled,8.436250000000005,1.3168679255418239,5.85518886593803,11.01731113406198
75,DGP 2: Investor communication,1,Violated,6.960624999999997,1.7688983898525648,3.49358415588897,10.427665844111024
76,DGP 1: No investor communication,0,Fulfilled,6.796250000000008,1.3321031730716104,4.185327780779652,9.407172219220364
76,DGP 2: Investor communication,1,Violated,6.426249999999998,1.793303798225909,2.911374555477216,9.941125444522779
77,DGP 1: No investor communication,0,Fulfilled,9.620624999999995,1.3525697923175568,6.969588207057583,12.271661792942407
77,DGP 2: Investor communication,1,Violated,7.179999999999989,1.7572388408558868,3.735811871922451,10.624188128077527
78,DGP 1: No investor communication,0,Fulfilled,9.323125000000008,1.3907558066832593,6.59724361890082,12.049006381099197
78,DGP 2: Investor communication,1,Violated,9.29125,1.6755883353936387,6.007096862628468,12.57540313737153
79,DGP 1: No investor communication,0,Fulfilled,8.18687500000001,1.4126191322272983,5.418141500834505,10.955608499165514
79,DGP 2: Investor communication,1,Violated,9.803749999999992,1.7000020818139947,6.471745919644563,13.135754080355422
80,DGP 1: No investor communication,0,Fulfilled,7.038125000000009,1.368712351531763,4.3554487909977535,9.720801209002264
80,DGP 2: Investor communication,1,Violated,6.361875000000005,1.7052590162815415,3.0195673280881836,9.704182671911827
81,DGP 1: No investor communication,0,Fulfilled,7.095000000000008,1.3454863856921155,4.457846684043462,9.732153315956554
81,DGP 2: Investor communication,1,Violated,12.574374999999975,1.6972502582997882,9.24776449373239,15.90098550626756
82,DGP 1: No investor communication,0,Fulfilled,9.036249999999983,1.3684626276960958,6.354063249715635,11.718436750284331
82,DGP 2: Investor communication,1,Violated,8.428124999999994,1.7514711519513995,4.995241542175251,11.861008457824738
83,DGP 1: No investor communication,0,Fulfilled,8.75312499999998,1.3600566269968357,6.087414011086182,11.418835988913777
83,DGP 2: Investor communication,1,Violated,7.393750000000009,1.684424164054873,4.092278638452457,10.69522136154756
84,DGP 1: No investor communication,0,Fulfilled,8.646250000000002,1.3186395626681808,6.061716457170368,11.230783542829636
84,DGP 2: Investor communication,1,Violated,8.953124999999996,1.7344016489669607,5.553697768024754,12.352552231975238
85,DGP 1: No investor communication,0,Fulfilled,8.039374999999989,1.3092051711972643,5.473332864453351,10.605417135546627
85,DGP 2: Investor communication,1,Violated,5.943124999999995,1.7583662583155877,2.496727133701443,9.389522866298547
86,DGP 1: No investor communication,0,Fulfilled,8.346875000000026,1.3382952943359372,5.723816223101588,10.969933776898463
86,DGP 2: Investor communication,1,Violated,8.513750000000014,1.6999651171033219,5.181818370477503,11.845681629522526
87,DGP 1: No investor communication,0,Fulfilled,8.529374999999979,1.3254980122683666,5.93139889595398,11.127351104045978
87,DGP 2: Investor communication,1,Violated,5.476875000000016,1.6956516542555116,2.153397757659213,8.800352242340818
88,DGP 1: No investor communication,0,Fulfilled,8.23249999999998,1.3341954663339741,5.617476885985392,10.84752311401457
88,DGP 2: Investor communication,1,Violated,7.373750000000012,1.7189149918532807,4.004676615967582,10.742823384032441
89,DGP 1: No investor communication,0,Fulfilled,6.821875000000015,1.3452368870217888,4.185210701437309,9.45853929856272
89,DGP 2: Investor communication,1,Violated,5.185625000000009,1.729081290970053,1.796625669698705,8.574624330301312
90,DGP 1: No investor communication,0,Fulfilled,7.609999999999999,1.3616674913895475,4.941131716876487,10.278868283123511
90,DGP 2: Investor communication,1,Violated,7.795000000000007,1.7155142963612275,4.432591979132001,11.157408020868013
91,DGP 1: No investor communication,0,Fulfilled,9.035625000000012,1.347453011533297,6.39461709739475,11.676632902605274
91,DGP 2: Investor communication,1,Violated,2.5993750000000073,1.731168544224647,-0.7937153466803006,5.992465346680316
