dgp,e_ii,sutva_status,estimand,mean_estimate,bias,rmse,coverage_95,mean_se
DGP 1: No investor communication,0,Fulfilled,8.906874999999996,8.823230625,-0.08364437499999572,1.3497670552786594,0.951,1.3428443106827965
DGP 2: Investor communication,1,Violated,8.095625000000034,8.0568175,-0.03880750000003367,1.7562413273807231,0.954,1.7340857509372603
