iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high,tau_truth,error,covered
12,DGP 2: Investor communication,1,Violated,11.466250000000016,1.6814794777729811,8.170550223564973,14.76194977643506,8.095625000000034,3.3706249999999827,FALSE
13,DGP 1: No investor communication,0,Fulfilled,9.57875000000001,1.3585881061274159,6.915917311990275,12.241582688009746,8.906874999999996,0.6718750000000142,TRUE
13,DGP 2: Investor communication,1,Violated,7.578125000000007,1.7544807108298563,4.139342806773488,11.016907193226526,8.095625000000034,-0.5175000000000267,TRUE
14,DGP 1: No investor communication,0,Fulfilled,9.582500000000005,1.3048568853844045,7.024980504646573,12.140019495353437,8.906874999999996,0.675625000000009,TRUE
14,DGP 2: Investor communication,1,Violated,7.565000000000008,1.7437243132819884,4.147300345967311,10.982699654032706,8.095625000000034,-0.5306250000000254,TRUE
15,DGP 1: No investor communication,0,Fulfilled,8.787499999999966,1.3556671921528618,6.130392303380357,11.444607696619574,8.906874999999996,-0.11937500000002998,TRUE
15,DGP 2: Investor communication,1,Violated,11.263124999999974,1.7295198767977773,7.873266041476331,14.652983958523617,8.095625000000034,3.16749999999994,TRUE
16,DGP 1: No investor communication,0,Fulfilled,9.039374999999994,1.3246036911508616,6.443151765344306,11.635598234655683,8.906874999999996,0.1324999999999985,TRUE
16,DGP 2: Investor communication,1,Violated,8.793750000000024,1.7372970628762447,5.388647756762584,12.198852243237464,8.095625000000034,0.6981249999999903,TRUE
17,DGP 1: No investor communication,0,Fulfilled,8.172499999999964,1.351530315156321,5.523500582293575,10.821499417706352,8.906874999999996,-0.734375000000032,TRUE
17,DGP 2: Investor communication,1,Violated,7.981874999999958,1.7092229014705076,4.631798113117763,11.331951886882152,8.095625000000034,-0.11375000000007596,TRUE
18,DGP 1: No investor communication,0,Fulfilled,10.44187500000001,1.3204460885604792,7.853800666421471,13.02994933357855,8.906874999999996,1.5350000000000144,TRUE
18,DGP 2: Investor communication,1,Violated,9.213750000000024,1.7537606175437284,5.776379189614317,12.65112081038573,8.095625000000034,1.1181249999999903,TRUE
19,DGP 1: No investor communication,0,Fulfilled,5.606250000000022,1.3025103816214791,3.0533296520219233,8.159170347978122,8.906874999999996,-3.3006249999999735,FALSE
19,DGP 2: Investor communication,1,Violated,6.489375000000019,1.7388722804355257,3.081185330346389,9.89756466965365,8.095625000000034,-1.6062500000000144,TRUE
20,DGP 1: No investor communication,0,Fulfilled,10.880625000000013,1.3398427835175006,8.25453314430571,13.506716855694314,8.906874999999996,1.9737500000000168,TRUE
20,DGP 2: Investor communication,1,Violated,9.924375000000012,1.6414231904088228,6.707185546798719,13.141564453201305,8.095625000000034,1.8287499999999781,TRUE
21,DGP 1: No investor communication,0,Fulfilled,10.324374999999998,1.3445821414549197,7.688994002748355,12.95975599725164,8.906874999999996,1.4175000000000022,TRUE
21,DGP 2: Investor communication,1,Violated,6.817499999999971,1.7662476739374486,3.3556545590825713,10.27934544091737,8.095625000000034,-1.2781250000000632,TRUE
22,DGP 1: No investor communication,0,Fulfilled,9.917499999999992,1.344473165104249,7.282332596395664,12.55266740360432,8.906874999999996,1.0106249999999957,TRUE
22,DGP 2: Investor communication,1,Violated,6.314375000000021,1.7492773518443445,2.8857913903851062,9.742958609614936,8.095625000000034,-1.7812500000000124,TRUE
23,DGP 1: No investor communication,0,Fulfilled,8.31375000000001,1.3446606619848902,5.678215102509625,10.949284897490394,8.906874999999996,-0.5931249999999864,TRUE
23,DGP 2: Investor communication,1,Violated,8.026249999999987,1.797391615358974,4.503362433896398,11.549137566103575,8.095625000000034,-0.06937500000004704,TRUE
24,DGP 1: No investor communication,0,Fulfilled,8.479375000000001,1.3547057414824035,5.82415174669449,11.134598253305512,8.906874999999996,-0.4274999999999949,TRUE
24,DGP 2: Investor communication,1,Violated,6.675624999999988,1.7325864821206938,3.279755495043428,10.071494504956547,8.095625000000034,-1.4200000000000461,TRUE
25,DGP 1: No investor communication,0,Fulfilled,7.461874999999999,1.3322672338787152,4.850631221597718,10.07311877840228,8.906874999999996,-1.4449999999999967,TRUE
25,DGP 2: Investor communication,1,Violated,8.349999999999994,1.770709786363224,4.879408818728075,11.820591181271913,8.095625000000034,0.2543749999999605,TRUE
26,DGP 1: No investor communication,0,Fulfilled,9.073749999999997,1.3253645331882578,6.476035514951011,11.671464485048983,8.906874999999996,0.166875000000001,TRUE
26,DGP 2: Investor communication,1,Violated,11.130000000000013,1.7435162959014863,7.7127080600331,14.547291939966925,8.095625000000034,3.0343749999999794,TRUE
27,DGP 1: No investor communication,0,Fulfilled,8.704999999999991,1.3269063735901914,6.104263507763216,11.305736492236766,8.906874999999996,-0.2018750000000047,TRUE
27,DGP 2: Investor communication,1,Violated,6.571875000000002,1.7501719576024615,3.1415379630991778,10.002212036900826,8.095625000000034,-1.5237500000000317,TRUE
28,DGP 1: No investor communication,0,Fulfilled,9.006249999999993,1.3435675671141925,6.372857568456175,11.639642431543809,8.906874999999996,0.09937499999999666,TRUE
28,DGP 2: Investor communication,1,Violated,6.812499999999982,1.7329904759067,3.4158386672228502,10.209161332777114,8.095625000000034,-1.2831250000000516,TRUE
29,DGP 1: No investor communication,0,Fulfilled,9.063750000000026,1.3548306220527913,6.408281980776555,11.719218019223497,8.906874999999996,0.15687500000002963,TRUE
