episode,investor_return,fair_1,max_1,fair_1_repay,max_1_repay
1,139993.75,195724.5,104931.75,0.6267849999999915,0.1722949999999978
2,131939.5,218469.0,68971.5,0.597084999999987,0.19511999999999174
3,78903.25,274336.5,48290.25,0.4940199999999999,0.1946799999999934
4,103160.0,249564.75,51725.25,0.5413899999999909,0.16221999999999695
5,135653.75,222436.5,42519.75,0.5910050000000003,0.2414449999999958
6,206867.5,148280.25,52082.25,0.7290299999999681,0.18480999999999434
7,243420.0,110239.5,56770.5,0.7992999999999559,0.18663499999999253
8,411.0,200444.25,54474.75,0.40543000000001833,0.15745999999999502
9,-1201.5,177009.0,43432.5,0.3668850000000018,0.16008499999999998
10,193474.75,164466.0,44579.25,0.7013249999999789,0.14878499999999692
11,215453.75,143900.25,49476.0,0.7401649999999771,0.17663999999999727
12,137354.5,230249.25,38756.25,0.5821399999999871,0.3138399999999886
13,59482.75,224576.25,39471.0,0.4438800000000163,0.193489999999995
14,306190.75,80584.5,140994.75,0.8536999999999866,0.3195800000000221
15,3008.25,133418.25,66193.5,0.4006150000000267,0.3047349999999974
16,190861.75,170827.5,47070.75,0.6920749999999843,0.19572999999998814
17,16710.5,227162.25,32537.25,0.3426900000000329,0.1636749999999907
18,239321.75,116661.75,193996.5,0.7896749999999741,0.27013499999999196
19,287407.75,75000.0,293462.25,0.8658049999999717,0.2936700000000055
20,152116.25,213189.75,59094.0,0.624014999999979,0.17178999999999447
21,286088.75,63358.5,198432.75,0.8882599999999801,0.30721999999998756
22,109577.25,197297.25,59785.5,0.5697899999999754,0.33715999999999663
23,281070.0,139882.5,236647.5,0.7511399999999577,0.4056299999999927
24,112999.5,206478.0,68632.5,0.5552749999999764,0.3092099999999915
25,38133.25,241725.75,95991.0,0.4270150000000101,0.4112450000000098
26,278229.25,96151.5,122819.25,0.8320799999999748,0.3187249999999901
27,78840.75,196041.0,93968.25,0.469904999999988,0.2070949999999987
28,166560.0,194010.0,50430.0,0.6347249999999676,0.18196999999999985
29,74004.75,234120.0,231755.25,0.4183100000000269,0.3448000000000036
30,251936.0,204426.75,248507.25,0.6014650000000179,0.5328499999999884
31,229142.5,183814.5,275253.0,0.6731649999999844,0.4002150000000101
32,69798.25,185974.5,195947.25,0.43544500000001135,0.3167600000000068
33,48691.75,77433.75,256774.5,0.36650500000003183,0.4050799999999997
34,143113.5,44457.0,71509.5,0.8170999999999806,0.15317999999999307
35,69753.25,89950.5,278036.25,0.6282499999999751,0.3738649999999848
36,77173.75,171378.0,257678.25,0.4163249999999913,0.35956499999999175
37,149998.25,144176.25,234025.5,0.4502250000000169,0.5487449999999945
38,69025.75,133863.75,264310.5,0.4424950000000132,0.3603949999999866
39,263468.75,96503.25,170628.0,0.8195849999999897,0.2849399999999993
40,105231.25,139665.0,246183.75,0.3035000000000057,0.5164749999999791
41,91748.25,82608.0,278283.75,0.5817799999999962,0.41771499999998823
42,249926.5,102645.75,231387.75,0.7973999999999252,0.37084999999998597
43,115647.5,187707.0,259015.5,0.46365000000001294,0.41560499999998785
44,89290.25,152135.25,246064.5,0.4589750000000191,0.39125000000000637
45,162119.5,84955.5,257865.0,0.5794800000000023,0.49653500000000383
46,273851.75,118587.0,219371.25,0.7744699999999246,0.3929849999999826
47,265178.25,164329.5,258332.25,0.7185250000000117,0.4163999999999978
48,66276.75,89190.75,157102.5,0.462899999999975,0.2581099999999976
49,46795.75,42577.5,164406.75,0.767704999999898,0.35743999999999576
50,79951.5,99294.75,262323.75,0.4936899999999837,0.39448499999998127
51,324239.75,89515.5,258564.75,0.8343149999999266,0.4133000000000037
52,85241.5,96103.5,262785.0,0.5057549999999881,0.3787600000000017
53,224602.75,178016.25,242571.0,0.6800149999999671,0.38602000000001224
54,347676.5,55225.5,245958.0,0.9023999999999678,0.36367499999999386
55,441689.0,51842.25,258288.75,0.9110849999999666,0.5240500000000087
56,58928.5,178972.5,222069.0,0.39598000000000977,0.4419350000000161
57,157822.5,197030.25,259787.25,0.5952349999999841,0.386024999999993
58,127694.75,183171.75,271903.5,0.5245550000000035,0.38899999999999224
59,182797.0,191496.0,275397.0,0.5799699999999984,0.4468099999999824
60,106271.75,87808.5,193359.75,0.6110350000000004,0.4798350000000008
61,67743.0,188463.0,286644.0,0.46550500000001366,0.35082499999998906
62,107999.5,107157.0,236473.5,0.5240749999999834,0.3603699999999883
63,253191.5,137460.0,126418.5,0.5829749999999959,0.7192050000000251
64,109091.0,131619.75,271799.25,0.505080000000001,0.40197999999999695
65,161346.5,186830.25,290963.25,0.5747249999999964,0.3963899999999939
66,165825.0,210531.75,279743.25,0.5692299999999806,0.35750500000001023
67,117318.0,115107.75,292094.25,0.4904350000000118,0.3866649999999904
68,91157.25,84285.75,280707.0,0.5677399999999723,0.4019550000000211
69,199164.5,165255.75,282459.75,0.6470149999999846,0.38604000000000094
70,366268.5,39147.0,250144.5,0.9313799999999266,0.36930499999999494
71,390777.5,23958.75,231753.75,0.9596199999999945,0.37224499999998495
72,86948.5,183264.0,323047.5,0.5083499999999803,0.3888399999999838
73,195361.5,183052.5,288096.0,0.6697949999999682,0.3419999999999916
74,71113.0,125604.0,255573.0,0.410045000000006,0.3394000000000106
75,55826.5,106865.25,227648.25,0.3757600000000012,0.3442700000000073
76,319028.5,142517.25,209504.25,0.7223199999999932,0.5804500000000221
77,261080.75,170786.25,268443.0,0.7048499999999914,0.4169199999999988
78,106157.5,152511.0,268471.5,0.5258949999999982,0.37408999999999415
79,335073.5,106375.5,240411.0,0.7976049999999529,0.4981549999999997
80,252039.75,143648.25,235782.0,0.7583899999999902,0.33691999999999944
81,165899.0,205151.25,258519.75,0.5686649999999941,0.4439000000000018
82,69579.75,119184.0,250016.25,0.5384400000000094,0.34689000000001186
83,151109.75,220435.5,295224.75,0.5607100000000079,0.40558500000000797
84,215341.5,123923.25,218045.25,0.7733699999999621,0.2773700000000033
85,239714.5,171110.25,338195.25,0.7039549999999853,0.367245000000014
86,109911.25,212439.75,222219.0,0.5699149999999984,0.3131950000000157
87,207476.0,213687.0,295317.0,0.6244149999999963,0.4178799999999971
88,265415.75,159208.5,294435.75,0.7315099999999872,0.39401000000000447
89,108787.0,205059.0,283944.0,0.49325500000001904,0.4269400000000107
90,341750.0,54925.5,259054.5,0.9053449999999724,0.29871500000001405
91,48967.5,150669.75,313542.75,0.45490999999998494,0.3549550000000001
92,232110.75,192527.25,329202.0,0.673860000000015,0.3867499999999891
93,66551.25,161965.5,291623.25,0.44542000000001164,0.391800000000012
94,75900.75,146658.0,297671.25,0.47243500000000793,0.38452000000000996
95,42990.5,154916.25,281333.25,0.41267500000002294,0.38260499999999226
96,99721.0,137310.0,277089.0,0.6311100000000123,0.3540750000000146
97,51229.75,85344.0,258656.25,0.4257850000000086,0.3979899999999937
98,44770.0,129794.25,304305.75,0.4430899999999947,0.3463250000000132
99,75458.25,103534.5,276077.25,0.4116450000000099,0.40018000000000403
100,79769.0,113917.5,268003.5,0.4614500000000001,0.40954999999998165
