timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
0,fair_1,fair,0,4,9983.0,20.0,60.0,3.0,0.05,-17.0,57.0,-17.0,57.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0]}"
0,max_1,max,0,4,9993.0,20.0,60.0,30.0,0.5,10.0,30.0,-7.0,30.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0]}"
1,fair_1,fair,0,4,10001.5,5.0,15.0,13.5,0.9,8.5,1.5,1.5,58.5,,
1,max_1,max,0,4,10005.5,20.0,60.0,24.0,0.4,4.0,36.0,5.5,66.0,,
2,fair_1,fair,0,4,10045.5,20.0,60.0,60.0,1.0,40.0,0.0,45.5,58.5,,
2,max_1,max,0,4,10049.5,20.0,60.0,24.0,0.4,4.0,36.0,49.5,102.0,,
3,fair_1,fair,0,4,10029.5,20.0,60.0,0.0,0.0,-20.0,60.0,29.5,118.5,,
3,max_1,max,0,4,10033.5,20.0,60.0,24.0,0.4,4.0,36.0,33.5,138.0,,
4,fair_1,fair,0,4,10033.5,0.0,0.0,0.0,0.2,0.0,0.0,33.5,118.5,,
4,max_1,max,0,4,10037.5,20.0,60.0,24.0,0.4,4.0,36.0,37.5,174.0,,
5,fair_1,fair,0,4,10037.5,0.0,0.0,0.0,0.05,0.0,0.0,37.5,118.5,,
5,max_1,max,0,4,10041.5,20.0,60.0,24.0,0.4,4.0,36.0,41.5,210.0,,
6,fair_1,fair,0,4,10081.5,20.0,60.0,60.0,1.0,40.0,0.0,81.5,118.5,,
6,max_1,max,0,4,10085.5,20.0,60.0,24.0,0.4,4.0,36.0,85.5,246.0,,
7,fair_1,fair,0,4,10080.5,5.0,15.0,0.0,0.0,-5.0,15.0,80.5,133.5,,
7,max_1,max,0,4,10084.5,20.0,60.0,24.0,0.4,4.0,36.0,84.5,282.0,,
8,fair_1,fair,0,4,10084.5,0.0,0.0,0.0,0.15,0.0,0.0,84.5,133.5,,
8,max_1,max,0,4,10088.5,20.0,60.0,24.0,0.4,4.0,36.0,88.5,318.0,,
9,fair_1,fair,0,4,10071.5,20.0,60.0,3.0,0.05,-17.0,57.0,71.5,190.5,,
9,max_1,max,0,4,10075.5,20.0,60.0,24.0,0.4,4.0,36.0,75.5,354.0,,
10,fair_1,fair,0,4,10060.5,15.0,45.0,0.0,0.0,-15.0,45.0,60.5,235.5,,
10,max_1,max,0,4,10061.5,5.0,15.0,6.0,0.4,1.0,9.0,61.5,363.0,,
11,fair_1,fair,0,4,10048.75,15.0,45.0,2.25,0.05,-12.75,42.75,48.75,278.25,,
11,max_1,max,0,4,10052.75,20.0,60.0,24.0,0.4,4.0,36.0,52.75,399.0,,
12,fair_1,fair,0,4,10035.75,20.0,60.0,3.0,0.05,-17.0,57.0,35.75,335.25,,
12,max_1,max,0,4,10039.75,20.0,60.0,24.0,0.4,4.0,36.0,39.75,435.0,,
13,fair_1,fair,0,4,10039.75,0.0,0.0,0.0,0.2,0.0,0.0,39.75,335.25,,
13,max_1,max,0,4,10043.75,20.0,60.0,24.0,0.4,4.0,36.0,43.75,471.0,,
14,fair_1,fair,0,4,10026.75,20.0,60.0,3.0,0.05,-17.0,57.0,26.75,392.25,,
14,max_1,max,0,4,10029.75,15.0,45.0,18.0,0.4,3.0,27.0,29.75,498.0,,
15,fair_1,fair,0,4,10019.25,15.0,45.0,4.5,0.1,-10.5,40.5,19.25,432.75,,
15,max_1,max,0,4,10047.25,20.0,60.0,48.0,0.8,28.0,12.0,47.25,510.0,,
