timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
1,0,a1,max,0,0,4,23.75,-1.25,3.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,56.25,2
1,1,a2,fair,0,0,4,12.5,-3.75,-7.5,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,37.5,2
2,0,a1,max,0,0,4,23.75,-3.75,3.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,56.25,2
2,1,a2,fair,0,0,4,11.25,-5.0,-8.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,48.75,2
3,0,a1,max,0,0,4,18.75,-10.0,-1.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,71.25,2
3,1,a2,fair,0,0,4,10.0,-11.25,-10.0,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,60.0,2
4,0,a1,max,0,0,4,18.75,-11.25,-1.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,71.25,2
4,1,a2,fair,0,0,4,8.75,-12.5,-11.25,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,71.25,2
5,0,a1,max,0,0,4,18.75,-12.5,-1.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,71.25,2
5,1,a2,fair,0,0,4,7.5,-13.75,-12.5,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,82.5,2
6,0,a1,max,0,0,4,18.75,-13.75,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,2
6,1,a2,fair,0,0,4,20.0,-1.25,0.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,90.0,2
7,0,a1,max,0,0,4,13.75,-6.25,-6.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,86.25,2
7,1,a2,fair,0,0,4,32.5,6.25,12.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,97.5,2
8,0,a1,max,0,0,4,8.75,1.25,-11.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,101.25,2
8,1,a2,fair,0,0,4,51.25,20.0,31.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,108.75,2
9,0,a1,max,0,0,4,3.75,15.0,-16.25,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,116.25,2
9,1,a2,fair,0,0,4,63.75,27.5,43.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,116.25,2
0,0,a1,max,0,0,4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,3
0,1,a2,fair,0,0,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,3
1,0,a1,max,0,0,4,22.5,-7.5,2.5,5.0,5.0,15.0,7.5,0.5,2.5,7.5,7.5,3
1,1,a2,fair,0,0,4,-10.0,-27.5,-30.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,90.0,3
2,0,a1,max,0,0,4,22.5,-27.5,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,7.5,3
2,1,a2,fair,0,0,4,-10.0,-27.5,-30.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,90.0,3
3,0,a1,max,0,0,4,22.5,-27.5,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,7.5,3
3,1,a2,fair,0,0,4,-10.0,-27.5,-30.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,90.0,3
4,0,a1,max,0,0,4,22.5,-27.5,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,7.5,3
4,1,a2,fair,0,0,4,-10.0,-27.5,-30.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,90.0,3
5,0,a1,max,0,0,4,22.5,-27.5,2.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,7.5,3
5,1,a2,fair,0,0,4,8.75,-8.75,-11.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,101.25,3
6,0,a1,max,0,0,4,22.5,-8.75,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3
6,1,a2,fair,0,0,4,15.0,-2.5,-5.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,105.0,3
7,0,a1,max,0,0,4,17.5,-7.5,-2.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,22.5,3
7,1,a2,fair,0,0,4,15.0,-7.5,-5.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,105.0,3
8,0,a1,max,0,0,4,17.5,-7.5,-2.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,22.5,3
8,1,a2,fair,0,0,4,21.25,-1.25,1.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,108.75,3
9,0,a1,max,0,0,4,17.5,-1.25,-2.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,22.5,3
9,1,a2,fair,0,0,4,27.5,5.0,7.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,112.5,3
