episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,66.25,48.75,0.575,105.0,0.525
2,68.75,116.25,0.525,225.0,0.525
3,115.0,210.0,0.375,195.0,0.6
4,6.25,33.75,0.55,120.0,0.3
5,46.25,176.25,0.35,157.5,0.475
6,121.25,202.5,0.5,86.25,0.6
7,98.75,195.0,0.525,146.25,0.525
8,148.75,232.5,0.425,168.75,0.6
9,58.75,168.75,0.425,22.5,0.625
10,230.0,157.5,0.625,82.5,0.6
11,68.75,123.75,0.475,97.5,0.55
12,153.75,135.0,0.45,101.25,0.55
13,37.5,45.0,0.4,97.5,0.35
14,7.5,300.0,0.4,202.5,0.275
15,-18.75,75.0,0.575,93.75,0.275
16,70.0,90.0,0.575,60.0,0.55
17,7.5,52.5,0.4,120.0,0.375
18,-7.5,101.25,0.225,146.25,0.375
19,46.25,337.5,0.375,266.25,0.375
20,12.5,135.0,0.4,22.5,0.2
21,40.0,240.0,0.4,150.0,0.375
22,3.75,86.25,0.375,180.0,0.375
23,56.25,172.5,0.375,161.25,0.325
24,37.5,127.5,0.3,225.0,0.425
25,-32.5,112.5,0.475,210.0,0.125
26,43.75,101.25,0.35,75.0,0.5
27,17.5,105.0,0.6,187.5,0.1
28,-1.25,202.5,0.375,138.75,0.225
29,30.0,191.25,0.375,138.75,0.275
30,-40.0,236.25,0.4,243.75,0.275
31,-123.75,123.75,0.325,540.0,0.1
32,-6.25,67.5,0.4,198.75,0.275
33,55.0,75.0,0.575,60.0,0.125
34,13.75,142.5,0.425,123.75,0.3
35,37.5,258.75,0.475,243.75,0.1
36,21.25,78.75,0.475,180.0,0.2
37,21.25,127.5,0.55,71.25,0.3
38,-20.0,63.75,0.4,86.25,0.25
39,-38.75,142.5,0.325,236.25,0.275
40,-23.75,138.75,0.675,285.0,0.2
41,135.0,157.5,0.625,67.5,0.15
42,120.0,157.5,0.7,202.5,0.1
43,22.5,90.0,0.575,157.5,0.125
44,57.5,67.5,0.775,105.0,0.1
45,-6.25,82.5,0.625,273.75,0.15
46,-8.75,183.75,0.4,75.0,0.25
47,2.5,75.0,0.675,172.5,0.25
48,-37.5,37.5,0.675,210.0,0.175
49,106.25,112.5,0.75,221.25,0.175
50,96.25,127.5,0.7,326.25,0.1
51,23.75,71.25,0.35,75.0,0.375
52,128.75,97.5,0.775,213.75,0.05
53,60.0,37.5,0.825,142.5,0.3
54,-16.25,78.75,0.675,217.5,0.225
55,77.5,22.5,0.775,90.0,0.1
56,77.5,105.0,0.8,157.5,0.1
57,8.75,75.0,0.6,116.25,0.075
58,225.0,60.0,0.875,285.0,0.175
59,111.25,97.5,0.625,41.25,0.15
60,173.75,82.5,0.775,183.75,0.175
61,-26.25,75.0,0.7,161.25,0.1
62,-6.25,123.75,0.4,52.5,0.35
63,60.0,116.25,0.725,123.75,0.25
64,50.0,11.25,0.725,138.75,0.225
65,93.75,101.25,0.675,105.0,0.175
66,20.0,37.5,0.775,112.5,0.15
67,95.0,75.0,0.8,390.0,0.125
68,66.25,60.0,0.65,303.75,0.2
69,68.75,67.5,0.725,93.75,0.125
70,77.5,52.5,0.8,270.0,0.125
71,185.0,161.25,0.7,93.75,0.2
72,25.0,123.75,0.6,161.25,0.075
73,15.0,93.75,0.75,131.25,0.1
74,82.5,15.0,0.725,202.5,0.2
75,57.5,7.5,0.875,225.0,0.1
76,-13.75,67.5,0.675,176.25,0.275
77,58.75,75.0,0.8,356.25,0.05
78,-2.5,37.5,0.85,225.0,0.025
79,68.75,93.75,0.675,127.5,0.225
80,172.5,18.75,0.925,138.75,0.4
81,31.25,97.5,0.75,251.25,0.15
82,185.0,127.5,0.675,67.5,0.275
83,75.0,82.5,0.825,172.5,0.05
84,143.75,60.0,0.875,326.25,0.125
85,28.75,112.5,0.65,348.75,0.075
86,3.75,45.0,0.775,281.25,0.2
87,218.75,26.25,0.925,135.0,0.125
88,151.25,60.0,0.775,168.75,0.25
89,246.25,60.0,0.825,63.75,0.175
90,251.25,71.25,0.875,307.5,0.15
91,167.5,41.25,0.8,71.25,0.225
92,61.25,120.0,0.65,168.75,0.15
93,167.5,33.75,0.925,138.75,0.25
94,140.0,150.0,0.65,90.0,0.125
95,50.0,56.25,0.825,423.75,0.125
96,135.0,82.5,0.8,262.5,0.15
97,67.5,228.75,0.525,153.75,0.3
98,83.75,37.5,0.725,78.75,0.35
99,66.25,3.75,0.9,180.0,0.15
100,40.0,48.75,0.725,161.25,0.2
101,123.75,22.5,0.875,303.75,0.25
102,-65.0,86.25,0.625,258.75,0.05
103,33.75,127.5,0.65,198.75,0.125
104,62.5,11.25,0.925,266.25,0.05
105,146.25,52.5,0.825,251.25,0.175
106,148.75,105.0,0.775,176.25,0.15
107,77.5,45.0,0.825,217.5,0.025
108,3.75,41.25,0.875,315.0,0.1
109,20.0,90.0,0.525,30.0,0.05
110,55.0,48.75,0.8,146.25,0.125
111,18.75,63.75,0.675,127.5,0.15
112,40.0,116.25,0.6,123.75,0.2
113,57.5,7.5,0.75,45.0,0.175
114,26.25,7.5,0.75,176.25,0.25
115,58.75,157.5,0.6,213.75,0.05
116,96.25,67.5,0.725,206.25,0.125
117,-36.25,11.25,0.675,255.0,0.15
118,-38.75,60.0,0.675,318.75,0.075
119,2.5,37.5,0.525,90.0,0.175
120,97.5,60.0,0.75,172.5,0.175
121,-48.75,90.0,0.55,288.75,0.05
122,-93.75,0.0,0.525,303.75,0.075
123,75.0,48.75,0.8,176.25,0.175
124,108.75,116.25,0.65,195.0,0.225
125,170.0,71.25,0.825,48.75,0.175
126,-5.0,75.0,0.5,30.0,0.15
