episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,32.5,45.0,0.35,82.5,0.325
2,92.5,138.75,0.3,288.75,0.5
3,212.5,150.0,0.6,247.5,0.45
4,-8.75,56.25,0.325,112.5,0.35
5,-12.5,146.25,0.275,206.25,0.35
6,93.75,176.25,0.525,150.0,0.4
7,137.5,150.0,0.6,142.5,0.325
8,92.5,217.5,0.275,180.0,0.575
9,-8.75,161.25,0.275,37.5,0.425
10,268.75,123.75,0.775,127.5,0.35
11,111.25,157.5,0.3,161.25,0.625
12,303.75,93.75,0.825,112.5,0.5
13,-16.25,90.0,0.35,86.25,0.325
14,340.0,108.75,0.775,131.25,0.525
15,10.0,75.0,0.375,45.0,0.35
16,28.75,90.0,0.5,71.25,0.375
17,3.75,52.5,0.425,123.75,0.3
18,-12.5,45.0,0.3,157.5,0.375
19,356.25,67.5,0.825,236.25,0.425
20,-12.5,157.5,0.25,15.0,0.325
21,192.5,150.0,0.55,247.5,0.475
22,43.75,86.25,0.4,120.0,0.525
23,-2.5,150.0,0.225,52.5,0.325
24,10.0,93.75,0.325,116.25,0.375
25,17.5,112.5,0.325,150.0,0.375
26,285.0,86.25,0.8,78.75,0.35
27,13.75,123.75,0.325,142.5,0.3
28,-7.5,146.25,0.25,41.25,0.35
29,213.75,150.0,0.75,146.25,0.275
30,125.0,135.0,0.625,270.0,0.45
31,105.0,135.0,0.4,300.0,0.5
32,8.75,0.0,0.575,161.25,0.3
33,7.5,112.5,0.45,240.0,0.325
34,153.75,206.25,0.575,90.0,0.4
35,15.0,101.25,0.425,213.75,0.375
36,32.5,56.25,0.6,131.25,0.4
37,48.75,105.0,0.675,56.25,0.425
38,32.5,30.0,0.525,67.5,0.35
39,51.25,93.75,0.55,195.0,0.4
40,62.5,78.75,0.65,198.75,0.45
41,127.5,180.0,0.6,52.5,0.325
42,282.5,90.0,0.825,157.5,0.3
43,53.75,75.0,0.675,101.25,0.325
44,257.5,0.0,1.0,82.5,0.325
45,16.25,112.5,0.65,221.25,0.325
46,111.25,78.75,0.775,60.0,0.425
47,150.0,116.25,0.75,183.75,0.3
48,26.25,18.75,0.875,105.0,0.375
49,203.75,67.5,0.85,78.75,0.375
50,215.0,108.75,0.8,266.25,0.35
51,38.75,15.0,0.8,26.25,0.55
52,192.5,97.5,0.775,150.0,0.325
53,33.75,0.0,0.975,86.25,0.525
54,-13.75,82.5,0.7,191.25,0.325
55,45.0,0.0,0.925,75.0,0.25
56,105.0,101.25,0.8,153.75,0.275
57,45.0,71.25,0.7,33.75,0.35
58,266.25,60.0,0.875,63.75,0.35
59,141.25,56.25,0.825,22.5,0.35
60,123.75,18.75,0.875,277.5,0.5
61,8.75,97.5,0.6,183.75,0.35
62,92.5,56.25,0.8,41.25,0.475
63,61.25,157.5,0.625,71.25,0.4
64,61.25,18.75,0.725,120.0,0.325
65,115.0,120.0,0.65,45.0,0.4
66,80.0,3.75,0.95,56.25,0.3
67,275.0,67.5,0.875,277.5,0.45
68,108.75,63.75,0.775,67.5,0.375
69,90.0,71.25,0.725,48.75,0.3
70,150.0,97.5,0.65,292.5,0.475
71,318.75,60.0,0.9,71.25,0.4
72,112.5,93.75,0.7,123.75,0.4
73,110.0,78.75,0.825,101.25,0.3
74,68.75,30.0,0.8,161.25,0.35
75,91.25,22.5,0.85,146.25,0.275
76,-1.25,33.75,0.8,157.5,0.35
77,127.5,48.75,0.825,273.75,0.35
78,46.25,52.5,0.725,161.25,0.3
79,150.0,48.75,0.85,101.25,0.4
80,247.5,33.75,0.9,168.75,0.525
81,152.5,45.0,0.85,172.5,0.3
82,61.25,78.75,0.725,60.0,0.4
83,206.25,18.75,0.9,105.0,0.275
84,301.25,78.75,0.825,300.0,0.475
85,38.75,127.5,0.55,273.75,0.275
86,93.75,22.5,0.85,33.75,0.325
