timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
0,fair_1,fair,1,4,10000.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0]}"
0,max_1,max,1,4,10000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,"[-0.03436946123838425, -0.005743854679167271, 0.06363627314567566, -0.13080935180187225, 0.004311614669859409]","{""own"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""others"": [0.0, 0.0]}"
1,fair_1,fair,1,4,10000.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,,
1,max_1,max,1,4,10000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,
2,fair_1,fair,1,4,10000.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,,
2,max_1,max,1,4,10000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,
3,fair_1,fair,1,4,10000.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,,
3,max_1,max,1,4,10000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,
4,fair_1,fair,1,4,10000.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,,
4,max_1,max,1,4,10000.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,
5,fair_1,fair,1,4,10000.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,,
5,max_1,max,1,4,10010.0,20.0,60.0,30.0,0.5,10.0,30.0,10.0,30.0,,
6,fair_1,fair,1,4,10010.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,
6,max_1,max,1,4,10014.0,20.0,60.0,24.0,0.4,4.0,36.0,14.0,66.0,,
7,fair_1,fair,1,4,10014.0,0.0,0.0,0.0,0.05,0.0,0.0,14.0,0.0,,
7,max_1,max,1,4,10018.0,20.0,60.0,24.0,0.4,4.0,36.0,18.0,102.0,,
8,fair_1,fair,1,4,10007.0,20.0,60.0,9.0,0.15,-11.0,51.0,7.0,51.0,,
8,max_1,max,1,4,10011.0,20.0,60.0,24.0,0.4,4.0,36.0,11.0,138.0,,
9,fair_1,fair,1,4,10011.0,0.0,0.0,0.0,0.55,0.0,0.0,11.0,51.0,,
9,max_1,max,1,4,10015.0,20.0,60.0,24.0,0.4,4.0,36.0,15.0,174.0,,
10,fair_1,fair,1,4,9998.0,20.0,60.0,3.0,0.05,-17.0,57.0,-2.0,108.0,,
10,max_1,max,1,4,9999.0,5.0,15.0,6.0,0.4,1.0,9.0,-1.0,183.0,,
11,fair_1,fair,1,4,9999.0,0.0,0.0,0.0,0.05,0.0,0.0,-1.0,108.0,,
11,max_1,max,1,4,10003.0,20.0,60.0,24.0,0.4,4.0,36.0,3.0,219.0,,
12,fair_1,fair,1,4,9986.0,20.0,60.0,3.0,0.05,-17.0,57.0,-14.0,165.0,,
12,max_1,max,1,4,9990.0,20.0,60.0,24.0,0.4,4.0,36.0,-10.0,255.0,,
13,fair_1,fair,1,4,9990.0,0.0,0.0,0.0,0.05,0.0,0.0,-10.0,165.0,,
13,max_1,max,1,4,9994.0,20.0,60.0,24.0,0.4,4.0,36.0,-6.0,291.0,,
14,fair_1,fair,1,4,9977.0,20.0,60.0,3.0,0.05,-17.0,57.0,-23.0,222.0,,
14,max_1,max,1,4,9981.0,20.0,60.0,24.0,0.4,4.0,36.0,-19.0,327.0,,
15,fair_1,fair,1,4,9981.0,0.0,0.0,0.0,0.05,0.0,0.0,-19.0,222.0,,
15,max_1,max,1,4,10009.0,20.0,60.0,48.0,0.8,28.0,12.0,9.0,339.0,,
16,fair_1,fair,1,4,10005.5,5.0,15.0,1.5,0.1,-3.5,13.5,5.5,235.5,,
16,max_1,max,1,4,10006.5,5.0,15.0,6.0,0.4,1.0,9.0,6.5,348.0,,
17,fair_1,fair,1,4,9989.5,20.0,60.0,3.0,0.05,-17.0,57.0,-10.5,292.5,,
17,max_1,max,1,4,9978.5,20.0,60.0,9.0,0.15,-11.0,51.0,-21.5,399.0,,
18,fair_1,fair,1,4,9978.5,0.0,0.0,0.0,0.1,0.0,0.0,-21.5,292.5,,
18,max_1,max,1,4,10009.5,20.0,60.0,51.0,0.85,31.0,9.0,9.5,408.0,,
19,fair_1,fair,1,4,10006.0,5.0,15.0,1.5,0.1,-3.5,13.5,6.0,306.0,,
19,max_1,max,1,4,10006.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,408.0,,
20,fair_1,fair,1,4,10043.0,20.0,60.0,57.0,0.95,37.0,3.0,43.0,309.0,,
20,max_1,max,1,4,10023.0,20.0,60.0,0.0,0.0,-20.0,60.0,23.0,468.0,,
21,fair_1,fair,1,4,10023.0,0.0,0.0,0.0,0.05,0.0,0.0,23.0,309.0,,
21,max_1,max,1,4,10023.0,0.0,0.0,0.0,0.85,0.0,0.0,23.0,468.0,,
22,fair_1,fair,1,4,10023.0,0.0,0.0,0.0,0.55,0.0,0.0,23.0,309.0,,
22,max_1,max,1,4,10012.0,20.0,60.0,9.0,0.15,-11.0,51.0,12.0,519.0,,
23,fair_1,fair,1,4,9998.0,20.0,60.0,6.0,0.1,-14.0,54.0,-2.0,363.0,,
23,max_1,max,1,4,10004.5,10.0,30.0,16.5,0.55,6.5,13.5,4.5,532.5,,
24,fair_1,fair,1,4,10004.5,0.0,0.0,0.0,0.05,0.0,0.0,4.5,363.0,,
24,max_1,max,1,4,9984.5,20.0,60.0,0.0,0.0,-20.0,60.0,-15.5,592.5,,
25,fair_1,fair,1,4,9967.5,20.0,60.0,3.0,0.05,-17.0,57.0,-32.5,420.0,,
25,max_1,max,1,4,9967.5,0.0,0.0,0.0,0.85,0.0,0.0,-32.5,592.5,,
26,fair_1,fair,1,4,9967.5,0.0,0.0,0.0,0.15,0.0,0.0,-32.5,420.0,,
26,max_1,max,1,4,9956.5,20.0,60.0,9.0,0.15,-11.0,51.0,-43.5,643.5,,
27,fair_1,fair,1,4,9939.5,20.0,60.0,3.0,0.05,-17.0,57.0,-60.5,477.0,,
27,max_1,max,1,4,9939.5,0.0,0.0,0.0,0.55,0.0,0.0,-60.5,643.5,,
28,fair_1,fair,1,4,9939.5,0.0,0.0,0.0,0.0,0.0,0.0,-60.5,477.0,,
28,max_1,max,1,4,9925.5,20.0,60.0,6.0,0.1,-14.0,54.0,-74.5,697.5,,
29,fair_1,fair,1,4,9908.5,20.0,60.0,3.0,0.05,-17.0,57.0,-91.5,534.0,,
29,max_1,max,1,4,9908.5,0.0,0.0,0.0,0.85,0.0,0.0,-91.5,697.5,,
30,fair_1,fair,1,4,9908.5,0.0,0.0,0.0,0.0,0.0,0.0,-91.5,534.0,,
