episode,investor_return,fair_1_return,max_1_return,rnd_1_return
1,121.75,736.5,876.0,519.75
2,536.3,1581.0,1888.2,1132.5
3,514.15,1275.75,1940.1,1356.0
4,313.8,725.25,1087.95,795.0
5,460.65,711.45,1398.9,849.0
6,649.45,469.5,1156.8,722.25
7,900.9,140.25,1078.35,766.5
8,951.1,258.0,1195.65,581.25
9,1605.8,200.25,1785.45,1162.5
10,1632.9,269.25,1653.6,1154.25
11,1275.85,771.75,1770.9,847.5
12,-361.25,2090.25,1908.75,1268.25
13,-337.25,1178.25,1201.5,709.5
14,-274.1,1166.7,1421.4,840.0
15,-50.6,633.45,651.9,449.25
16,-128.55,1686.45,1884.6,1153.5
17,-188.3,1113.0,1080.3,891.0
18,271.3,1135.5,2184.45,1404.75
19,364.05,1359.75,2359.95,1106.25
20,193.75,1565.25,2323.5,1393.5
21,265.25,1440.75,2334.75,1073.25
22,13.2,1320.75,1425.3,918.75
23,209.85,1247.25,1647.9,1077.0
24,425.05,685.5,1455.45,990.0
25,634.05,342.0,1486.2,861.75
26,1109.25,458.25,2169.0,1093.5
27,1019.6,504.0,1936.65,1035.75
28,562.55,591.0,1959.45,1173.0
29,418.5,944.25,1758.75,1192.5
30,-213.6,1575.0,1831.35,1241.25
31,114.55,1468.95,986.25,1178.25
32,321.65,1254.75,1775.85,1095.75
33,149.3,1269.0,2115.45,1148.25
34,-53.6,1392.45,2038.65,1282.5
35,556.25,1040.25,1506.75,1188.75
36,745.05,1029.75,1764.45,1290.75
37,1132.2,582.45,2082.6,1278.75
38,984.0,681.0,2718.0,1203.0
39,954.85,713.25,1989.9,1416.0
40,644.35,956.25,1620.15,1499.25
41,1032.3,704.7,1641.75,1241.25
42,726.15,900.0,1985.85,1356.0
43,1231.2,688.5,1294.8,1201.5
44,487.55,1195.5,1324.2,1398.75
45,551.25,1098.45,801.3,1281.0
46,446.4,1216.2,1643.4,1320.0
47,549.0,1059.9,2135.85,1301.25
48,885.95,1173.0,1861.8,1187.25
49,23.55,1611.75,1339.95,1644.75
50,578.1,1425.15,1182.0,1158.75
51,770.25,1435.95,1009.05,1158.75
52,60.15,1451.85,1152.75,1457.25
53,637.15,1280.7,572.4,1515.75
54,549.7,1261.95,358.35,1680.0
55,1119.6,980.7,601.95,1263.75
56,924.15,961.2,1041.15,1327.5
57,1014.75,1185.75,1377.75,1263.75
58,850.0,889.5,1169.25,1451.25
59,843.15,983.25,1029.6,1422.0
60,1127.5,798.9,516.6,1365.0
61,1153.75,831.0,605.25,1290.0
62,840.75,957.45,738.3,1537.5
63,1205.95,669.0,680.55,1402.5
64,1576.45,656.25,423.3,1074.0
65,1206.1,597.75,1005.9,1442.25
66,1119.3,702.75,433.2,1428.75
67,1440.1,667.5,867.9,1360.5
68,1307.2,743.25,511.8,1173.75
69,1144.25,736.5,730.5,1542.75
70,767.7,1266.45,617.85,1428.0
71,279.5,1744.65,866.1,1455.75
72,601.95,1454.85,828.45,1398.75
73,823.15,1258.95,734.4,1327.5
74,1125.3,993.0,252.45,1325.25
75,952.8,874.95,677.25,1263.0
76,1547.65,716.25,423.6,1072.5
77,1160.4,733.95,559.65,1326.0
78,976.05,1122.0,768.45,1135.5
79,801.7,1426.5,422.55,1271.25
80,889.35,1449.0,664.65,1245.0
81,876.85,1424.25,414.9,1362.0
82,1003.95,1474.5,447.3,1196.25
83,948.4,1133.25,638.85,1387.5
84,1070.25,1031.25,674.25,1370.25
85,1279.6,1000.5,307.65,1082.25
86,1301.8,948.0,605.7,1336.5
87,797.1,1193.25,321.15,1552.5
88,997.65,1149.0,267.6,1347.75
89,1589.2,972.0,262.8,1080.0
90,1399.2,725.25,235.05,1384.5
91,1453.15,806.25,388.35,1418.25
92,1484.0,729.0,633.75,1451.25
93,963.15,797.7,341.4,1599.75
94,1382.85,756.75,395.4,1485.0
95,1473.75,723.75,557.25,1241.25
96,1299.45,789.75,805.8,1425.0
97,1565.3,796.5,412.2,1290.0
98,1445.05,576.0,662.7,1436.25
99,1263.95,922.5,263.55,1452.0
100,1629.9,634.5,272.85,996.75
101,1315.2,795.75,244.8,1562.25
102,1483.35,623.25,294.15,1511.25
103,1516.45,603.0,901.05,1327.5
104,1206.45,697.5,516.3,1629.75
105,1595.85,573.75,453.15,1373.25
106,1233.9,760.5,329.1,1630.5
107,1441.95,794.25,596.55,1289.25
108,1215.3,1063.5,355.2,1206.0
109,1304.0,786.75,185.25,1410.0
110,1434.25,900.75,326.25,1428.75
111,1217.55,933.0,379.2,1316.25
112,810.05,1100.7,331.5,1653.75
113,965.05,1356.0,257.7,1289.25
114,901.65,1536.75,355.35,1316.25
115,872.15,1366.5,207.6,1581.75
116,1069.9,1098.75,184.35,1269.0
117,1250.6,1068.45,370.2,1332.75
118,1177.5,1173.0,297.0,1276.5
119,805.0,1279.5,315.75,1563.75
120,1612.95,846.0,562.05,1215.0
121,994.25,1108.95,249.3,1627.5
122,1408.5,924.75,331.5,1337.25
123,961.25,1143.0,201.75,1560.0
124,1290.05,1059.9,220.05,1194.0
125,807.75,1162.2,227.55,1612.5
126,915.3,1233.75,298.2,1428.75
127,918.4,1171.95,372.9,1476.75
128,680.6,1387.2,366.45,1467.75
129,882.55,1266.0,256.95,1192.5
130,1249.05,1200.0,389.7,917.25
131,721.35,1310.7,382.2,1605.75
132,1072.75,1345.5,354.0,1383.75
133,1075.7,1332.75,325.05,1330.5
134,533.4,1441.5,644.85,1562.25
135,543.6,645.45,290.7,992.25
136,905.6,1234.95,287.7,1347.75
137,1141.55,881.25,161.7,1369.5
138,843.0,1209.0,234.0,1710.0
139,1166.4,777.75,406.35,1357.5
140,963.1,1059.75,246.9,1328.25
141,1214.35,891.75,322.65,1181.25
142,1174.35,916.5,369.9,1451.25
143,985.7,904.5,635.55,1568.25
144,1447.65,796.5,298.35,1471.5
145,1656.55,778.5,335.7,1241.25
146,1026.75,1187.25,213.0,1455.0
147,922.9,1326.75,224.85,1369.5
148,1006.75,1430.25,387.75,1019.25
149,787.65,1537.5,247.35,1243.5
150,1131.6,1178.25,209.4,1320.75
151,840.9,1059.75,417.6,1563.75
152,1135.3,1113.75,517.95,1365.0
153,1154.0,1076.25,261.75,1530.0
154,1204.85,1151.25,330.9,1425.0
155,998.3,1107.75,539.7,1538.25
156,1308.5,957.45,268.8,1421.25
157,1631.15,934.5,205.35,1335.0
158,1172.65,954.0,420.6,1518.75
159,1458.9,777.75,956.1,1259.25
160,1509.35,751.95,269.7,1395.0
161,1230.9,1047.0,299.1,1443.0
162,1312.8,886.95,248.25,1500.0
163,1210.3,1038.0,388.2,1453.5
164,1202.4,904.95,208.65,1350.0
165,1498.3,886.5,286.95,1406.25
166,1296.0,865.5,522.75,1473.75
167,1400.1,985.95,406.95,1101.0
168,647.15,1251.0,328.35,1855.5
169,1146.95,1131.75,179.55,1347.75
170,1265.4,1180.5,238.35,1011.75
171,886.05,1329.75,169.2,1431.0
172,819.95,993.0,298.05,1371.0
173,873.65,1373.25,300.6,1582.5
174,783.55,1311.0,490.2,1493.25
175,683.65,1452.75,338.1,1567.5
176,736.45,1480.5,388.8,1394.25
177,526.9,1422.75,350.85,1459.5
178,785.55,1461.75,256.95,1167.75
179,921.55,1356.0,239.7,1326.75
180,761.7,1364.7,212.1,1459.5
181,1098.55,1132.2,375.75,1447.5
182,1315.65,830.25,252.6,1639.5
183,1693.65,687.0,293.85,1063.5
184,1287.15,776.25,351.6,1419.0
185,1708.05,732.0,469.95,1158.0
186,1296.8,813.75,756.45,1485.0
187,1186.0,882.0,313.5,1714.5
188,1118.25,1017.0,568.5,1502.25
189,1261.55,1009.5,367.95,1425.0
190,1100.6,1068.75,339.9,1494.75
191,1134.35,1302.0,231.9,1353.75
192,1065.1,1194.45,309.45,1455.0
193,865.95,1334.7,227.85,1465.5
194,1436.0,1153.5,156.0,1156.5
195,878.95,1467.0,262.8,1349.25
196,682.7,1436.25,237.3,1563.75
197,783.35,1477.5,439.65,1507.5
198,738.3,1257.75,312.45,1567.5
199,1253.35,1013.25,176.4,1575.0
200,1307.0,864.0,269.25,1485.75
201,1136.4,933.75,632.1,1587.75
202,1361.45,828.75,730.8,1401.0
203,1075.0,914.25,408.75,1740.0
204,1502.65,687.0,455.1,1451.25
205,1366.05,851.25,604.95,1563.75
206,1456.5,866.25,1393.5,1233.75
