seed,world,run_id,episode,investor_return,fair_1,max_1,fair_1_repay,max_1_repay
77,0,w0_20260421_220603,1,3125.5,1330.5,714,0.6534999999999994,0.8265
77,0,w0_20260421_220603,2,1585.5,1752.75,2331.75,0.5874999999999997,0.44650000000000034
77,0,w0_20260421_220603,3,2093.25,1264.5,2132.25,0.701,0.46400000000000047
77,0,w0_20260421_220603,4,2244.5,1065.75,2319.75,0.7324999999999997,0.45450000000000057
77,0,w0_20260421_220603,5,1232.75,2709,2528.25,0.4585000000000001,0.4690000000000004
77,0,w0_20260421_220603,6,2709,1652.25,2928.75,0.6915000000000002,0.46150000000000024
77,0,w0_20260421_220603,7,2155.75,1663.5,2970.75,0.6824999999999997,0.4094999999999995
77,0,w0_20260421_220603,8,2150.5,1916.25,2963.25,0.6410000000000002,0.44800000000000006
77,0,w0_20260421_220603,9,4244.75,1431,1334.25,0.7400000000000003,0.7490000000000002
77,0,w0_20260421_220603,10,2683.25,1407,3099.75,0.7385000000000006,0.4124999999999994
77,0,w0_20260421_220603,11,3117.25,1041,3171.75,0.8054999999999984,0.4220000000000001
77,0,w0_20260421_220603,12,2831,1911.75,2597.25,0.6505000000000011,0.5210000000000001
77,0,w0_20260421_220603,13,1990.25,1787.25,2812.5,0.6380000000000005,0.43099999999999944
77,0,w0_20260421_220603,14,3113.75,2182.5,2163.75,0.617,0.6100000000000005
77,0,w0_20260421_220603,15,2911.25,1769.25,2869.5,0.6894999999999999,0.4945000000000004
77,0,w0_20260421_220603,16,3851,1647,1662,0.6960000000000002,0.6884999999999997
77,0,w0_20260421_220603,17,3144.5,1858.5,2277,0.6595000000000008,0.5855000000000002
77,0,w0_20260421_220603,18,4130.75,1887,1262.25,0.6809999999999998,0.7615000000000012
77,0,w0_20260421_220603,19,4563.25,1366.5,1370.25,0.7550000000000004,0.7534999999999998
77,0,w0_20260421_220603,20,4242,1980.75,1367.25,0.6530000000000008,0.7545000000000003
77,0,w0_20260421_220603,21,1600.75,2737.5,3171.75,0.5270000000000001,0.4324999999999995
77,0,w0_20260421_220603,22,3055.5,2656.5,1698,0.5225000000000002,0.6919999999999986
77,0,w0_20260421_220603,23,3385.25,1594.5,2210.25,0.6964999999999998,0.5875000000000007
77,0,w0_20260421_220603,24,2369,2631.75,2789.25,0.5569999999999994,0.5249999999999994
77,0,w0_20260421_220603,25,2792,2946,1452,0.4709999999999994,0.7290000000000002
77,0,w0_20260421_220603,26,2559.75,3535.5,1464.75,0.38650000000000007,0.7424999999999997
77,0,w0_20260421_220603,27,2999.5,1524.75,3225.75,0.7335000000000007,0.4425000000000006
77,0,w0_20260421_220603,28,1646.25,2469,3384.75,0.5740000000000007,0.40350000000000025
77,0,w0_20260421_220603,29,4776.75,1494,1289.25,0.7375000000000006,0.7680000000000008
77,0,w0_20260421_220603,30,3727.5,1581.75,1920.75,0.7050000000000005,0.6500000000000007
77,0,w0_20260421_220603,31,2267,2355,3168,0.6065000000000003,0.4515
77,0,w0_20260421_220603,32,1402.25,3166.5,3131.25,0.451,0.4619999999999997
77,0,w0_20260421_220603,33,1311.25,2766.75,3552,0.5149999999999995,0.3774999999999995
77,0,w0_20260421_220603,34,1297.5,2132.25,4190.25,0.6339999999999999,0.2715000000000001
77,0,w0_20260421_220603,35,2800.75,2066.25,2943,0.6400000000000005,0.4970000000000002
77,0,w0_20260421_220603,36,654,3103.5,3922.5,0.4759999999999996,0.30649999999999944
77,0,w0_20260421_220603,37,486.75,3360,3773.25,0.4244999999999998,0.33050000000000024
77,0,w0_20260421_220603,38,2331.25,690,4728.75,0.8840000000000017,0.19049999999999984
77,0,w0_20260421_220603,39,2493,616.5,4660.5,0.887000000000001,0.2104999999999998
77,0,w0_20260421_220603,40,3162,406.5,4291.5,0.9299999999999998,0.2809999999999997
77,0,w0_20260421_220603,41,2048.5,1486.5,4335,0.7470000000000002,0.26299999999999973
77,0,w0_20260421_220603,42,880.25,2425.5,4424.25,0.5845000000000008,0.23599999999999935
77,0,w0_20260421_220603,43,581.75,2007.75,4540.5,0.6415000000000011,0.12199999999999982
77,0,w0_20260421_220603,44,953.5,2172,4174.5,0.6065,0.2449999999999996
77,0,w0_20260421_220603,45,996,2946.75,3947.25,0.5044999999999997,0.3269999999999998
77,0,w0_20260421_220603,46,-200,1265.654625,2448.301125,0.5399999999999989,0.2584999999999998
77,0,w0_20260421_220603,47,768.5,2347.5,4404,0.5815,0.20999999999999944
77,0,w0_20260421_220603,48,428.25,2935.5,4256.25,0.4810000000000001,0.26300000000000046
77,0,w0_20260421_220603,49,1,3271.5,3997.5,0.408,0.262
77,0,w0_20260421_220603,50,-173.5,3077.25,3926.25,0.4009999999999998,0.21999999999999964
77,0,w0_20260421_220603,51,509.75,3096.75,3223.5,0.4054999999999998,0.363
77,0,w0_20260421_220603,52,1560.25,3399.75,2700,0.4109999999999998,0.5224999999999994
77,0,w0_20260421_220603,53,693.5,3037.5,3519,0.43700000000000006,0.3455
77,0,w0_20260421_220603,54,425,2763,2982,0.3729999999999999,0.3385
77,0,w0_20260421_220603,55,428.75,3071.25,3540,0.4204999999999998,0.3314999999999996
77,0,w0_20260421_220603,56,438.75,2791.5,3729.75,0.4434999999999998,0.2850000000000002
77,0,w0_20260421_220603,57,1446,2636.25,2937.75,0.5059999999999998,0.4205
77,0,w0_20260421_220603,58,3829,3003,1098,0.4930000000000001,0.8170000000000006
77,0,w0_20260421_220603,59,1333.25,2707.5,3809.25,0.5444999999999998,0.3529999999999994
77,0,w0_20260421_220603,60,2428.5,2461.5,2820,0.5749999999999997,0.5109999999999997
77,0,w0_20260421_220603,61,2581.25,2082.75,3126,0.6474999999999997,0.4519999999999999
77,0,w0_20260421_220603,62,1152.75,2145.75,4381.5,0.6305000000000001,0.2459999999999999
77,0,w0_20260421_220603,63,3230.75,2202,2477.25,0.6315000000000003,0.5814999999999996
77,0,w0_20260421_220603,64,704.75,2603.25,4632,0.5620000000000005,0.2204999999999998
77,0,w0_20260421_220603,65,25.75,2923.5,4560.75,0.49900000000000033,0.1525000000000002
77,0,w0_20260421_220603,66,544.5,2779.5,4446,0.5265000000000003,0.22949999999999968
77,0,w0_20260421_220603,67,491.25,2879.25,4279.5,0.49700000000000055,0.2584999999999999
77,0,w0_20260421_220603,68,29,3393,4428,0.4205000000000001,0.24799999999999955
77,0,w0_20260421_220603,69,383.5,3676.5,3750,0.37549999999999994,0.34600000000000014
77,0,w0_20260421_220603,70,1228.25,3856.5,2705.25,0.3445,0.5249999999999995
77,0,w0_20260421_220603,71,382.5,2891.25,2366.25,0.3375,0.4230000000000007
77,0,w0_20260421_220603,72,400.5,4254,3295.5,0.28499999999999975,0.4460000000000007
77,0,w0_20260421_220603,73,923,4086,2721,0.3064999999999996,0.5404999999999999
77,0,w0_20260421_220603,74,-200,2735.289375,3704.806875,0.4594999999999994,0.20899999999999988
77,0,w0_20260421_220603,75,-200,1245,2635.5,0.5569999999999989,0.23299999999999985
77,0,w0_20260421_220603,76,178,2169,4023,0.5424999999999991,0.15499999999999986
77,0,w0_20260421_220603,77,2573.5,2634,2692.5,0.5519999999999992,0.5469999999999995
77,0,w0_20260421_220603,78,2015.75,2574.75,3319.5,0.5629999999999991,0.4425
77,0,w0_20260421_220603,79,402.25,2407.5,4700.25,0.587499999999999,0.13799999999999993
77,0,w0_20260421_220603,80,1605,2094,3951,0.6334999999999988,0.29849999999999965
77,0,w0_20260421_220603,81,1559.5,2242.5,4098,0.6194999999999989,0.31349999999999967
77,0,w0_20260421_220603,82,628,1998,5214,0.6604999999999989,0.1119999999999999
77,0,w0_20260421_220603,83,1142.5,1744.5,4143,0.6719999999999995,0.19499999999999987
77,0,w0_20260421_220603,84,1642.75,2204.25,4023,0.6285000000000001,0.31549999999999967
77,0,w0_20260421_220603,85,1761,2250.75,3818.25,0.6180000000000003,0.34649999999999986
77,0,w0_20260421_220603,86,1411.5,2679,3769.5,0.5535000000000007,0.3434999999999998
77,0,w0_20260421_220603,87,341,1894.5,2914.5,0.5730000000000003,0.1809999999999999
77,0,w0_20260421_220603,88,495.75,2830.5,4053.75,0.509000000000001,0.22549999999999976
77,0,w0_20260421_220603,89,395.75,2092.5,3621.75,0.5505000000000001,0.16399999999999995
77,0,w0_20260421_220603,90,656.75,1523.25,3810,0.6859999999999999,0.13550000000000004
77,0,w0_20260421_220603,91,1437.5,1530,4882.5,0.745,0.1525000000000002
77,0,w0_20260421_220603,92,2523.75,1850.25,3546,0.6869999999999997,0.40449999999999975
77,0,w0_20260421_220603,93,1286.5,2383.5,3990,0.5880000000000004,0.3174999999999998
77,0,w0_20260421_220603,94,1151.5,1624.5,3144,0.6154999999999997,0.2119999999999999
77,0,w0_20260421_220603,95,704.25,2469,2916.75,0.4709999999999998,0.3035000000000001
77,0,w0_20260421_220603,96,1220.75,1425.75,3853.5,0.7164999999999999,0.1784999999999998
77,0,w0_20260421_220603,97,3226,1260.75,3143.25,0.7749999999999989,0.4465000000000006
77,0,w0_20260421_220603,98,2793,1540.5,3286.5,0.7239999999999988,0.4070000000000002
77,0,w0_20260421_220603,99,1657.5,2073.75,3318.75,0.5794999999999992,0.3749999999999995
77,0,w0_20260421_220603,100,237,2727.75,2765.25,0.3945000000000001,0.2680000000000001
77,1,w1_20260421_220618,1,2493.75,1365.75,1150.5,0.6419999999999993,0.6949999999999996
