timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,episode
4,fair_1,fair,0,4,11.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-28.75,93.75,2
4,max_1,max,0,4,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.75,105.0,2
5,fair_1,fair,0,4,23.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-16.25,101.25,2
5,max_1,max,0,4,18.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-21.25,120.0,2
6,fair_1,fair,0,4,31.25,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-8.75,108.75,2
6,max_1,max,0,4,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75,120.0,2
7,fair_1,fair,0,4,50.0,15.0,15.0,45.0,33.75,0.75,18.75,11.25,10.0,120.0,2
7,max_1,max,0,4,30.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-10.0,180.0,2
8,fair_1,fair,0,4,42.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,2.5,127.5,2
8,max_1,max,0,4,27.5,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-12.5,225.0,2
9,fair_1,fair,0,4,40.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,0.0,135.0,2
9,max_1,max,0,4,35.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-5.0,240.0,2
0,fair_1,fair,0,4,38.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-1.25,11.25,3
0,max_1,max,0,4,38.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-1.25,0.0,3
1,fair_1,fair,0,4,43.75,10.0,10.0,30.0,15.0,0.5,5.0,15.0,3.75,26.25,3
1,max_1,max,0,4,33.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-6.25,30.0,3
2,fair_1,fair,0,4,33.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-6.25,26.25,3
2,max_1,max,0,4,28.75,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-11.25,45.0,3
3,fair_1,fair,0,4,58.75,15.0,15.0,45.0,45.0,1.0,30.0,0.0,18.75,26.25,3
3,max_1,max,0,4,58.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,45.0,3
4,fair_1,fair,0,4,65.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,25.0,30.0,3
4,max_1,max,0,4,60.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,20.0,60.0,3
5,fair_1,fair,0,4,66.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,26.25,33.75,3
5,max_1,max,0,4,46.25,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,6.25,120.0,3
6,fair_1,fair,0,4,58.75,10.0,10.0,30.0,22.5,0.75,12.5,7.5,18.75,41.25,3
6,max_1,max,0,4,58.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,120.0,3
7,fair_1,fair,0,4,65.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,25.0,45.0,3
