episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,32.5,45.0,0.35,82.5,0.325
2,92.5,138.75,0.3,288.75,0.5
3,73.75,198.75,0.375,247.5,0.45
4,-8.75,56.25,0.325,112.5,0.35
5,-22.5,176.25,0.275,206.25,0.35
6,93.75,176.25,0.525,150.0,0.4
7,175.0,150.0,0.6,105.0,0.4
8,17.5,232.5,0.275,150.0,0.425
9,-1.25,213.75,0.275,37.5,0.425
10,268.75,123.75,0.775,127.5,0.35
11,63.75,157.5,0.3,48.75,0.55
12,303.75,93.75,0.75,112.5,0.5
13,-13.75,90.0,0.35,93.75,0.325
14,301.25,142.5,0.7,146.25,0.525
15,15.0,75.0,0.375,60.0,0.425
16,32.5,90.0,0.5,67.5,0.4
17,3.75,52.5,0.45,123.75,0.3
18,-12.5,45.0,0.325,157.5,0.375
19,312.5,101.25,0.75,236.25,0.425
20,-12.5,157.5,0.25,15.0,0.325
21,118.75,150.0,0.55,191.25,0.325
22,33.75,86.25,0.475,150.0,0.5
23,-15.0,172.5,0.3,172.5,0.325
24,62.5,82.5,0.475,195.0,0.4
25,16.25,123.75,0.325,150.0,0.375
26,335.0,30.0,0.95,75.0,0.4
27,21.25,146.25,0.4,142.5,0.3
28,-7.5,146.25,0.25,41.25,0.35
29,213.75,150.0,0.75,146.25,0.275
30,147.5,112.5,0.7,270.0,0.45
31,138.75,101.25,0.525,300.0,0.5
32,5.0,33.75,0.525,191.25,0.325
33,7.5,112.5,0.45,240.0,0.325
34,165.0,206.25,0.575,108.75,0.4
35,287.5,78.75,0.775,213.75,0.375
36,73.75,78.75,0.725,157.5,0.375
37,73.75,93.75,0.775,52.5,0.45
38,32.5,30.0,0.625,67.5,0.375
39,51.25,93.75,0.6,195.0,0.4
40,111.25,33.75,0.9,195.0,0.475
41,127.5,180.0,0.6,52.5,0.4
42,272.5,90.0,0.825,157.5,0.3
43,51.25,75.0,0.725,183.75,0.3
44,257.5,0.0,1.0,82.5,0.325
45,8.75,120.0,0.575,221.25,0.325
46,47.5,146.25,0.55,56.25,0.45
47,-22.5,101.25,0.75,131.25,0.35
48,13.75,18.75,0.875,127.5,0.35
49,226.25,67.5,0.825,146.25,0.4
50,160.0,153.75,0.65,266.25,0.35
51,41.25,15.0,0.8,33.75,0.525
52,192.5,97.5,0.775,150.0,0.325
53,80.0,30.0,0.925,120.0,0.45
54,-13.75,82.5,0.7,191.25,0.325
55,45.0,0.0,0.925,75.0,0.25
56,90.0,116.25,0.75,153.75,0.275
57,38.75,71.25,0.7,90.0,0.325
58,296.25,60.0,0.875,213.75,0.375
59,148.75,67.5,0.8,33.75,0.325
60,80.0,18.75,0.875,131.25,0.425
61,-22.5,97.5,0.6,135.0,0.25
62,100.0,78.75,0.775,41.25,0.45
63,52.5,153.75,0.65,93.75,0.4
64,61.25,18.75,0.725,120.0,0.325
65,101.25,123.75,0.625,45.0,0.4
66,138.75,15.0,0.95,56.25,0.3
67,266.25,67.5,0.875,296.25,0.425
68,148.75,63.75,0.775,217.5,0.425
69,87.5,71.25,0.725,71.25,0.3
70,166.25,101.25,0.675,292.5,0.475
71,297.5,71.25,0.875,71.25,0.4
72,111.25,90.0,0.75,108.75,0.325
73,72.5,116.25,0.725,101.25,0.3
74,93.75,37.5,0.775,168.75,0.325
75,72.5,41.25,0.8,146.25,0.275
76,23.75,48.75,0.775,157.5,0.35
77,148.75,60.0,0.85,281.25,0.325
78,46.25,52.5,0.75,161.25,0.3
79,150.0,48.75,0.85,101.25,0.375
80,157.5,45.0,0.85,127.5,0.475
81,128.75,67.5,0.775,183.75,0.3
82,38.75,101.25,0.725,60.0,0.4
83,196.25,18.75,0.925,135.0,0.25
84,242.5,82.5,0.825,225.0,0.4
85,55.0,161.25,0.525,273.75,0.275
86,116.25,15.0,0.9,198.75,0.4
