episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
1,53.75,71.25,0.35,105.0,0.35
2,77.5,105.0,0.3,187.5,0.475
3,68.75,198.75,0.375,202.5,0.475
4,-8.75,56.25,0.325,112.5,0.35
5,-21.25,198.75,0.275,202.5,0.375
6,117.5,180.0,0.5,112.5,0.5
7,235.0,150.0,0.6,105.0,0.5
8,122.5,210.0,0.425,127.5,0.475
9,-5.0,213.75,0.275,71.25,0.425
10,212.5,123.75,0.625,123.75,0.45
11,61.25,157.5,0.3,71.25,0.55
12,137.5,67.5,0.5,165.0,0.55
13,1.25,90.0,0.35,78.75,0.375
14,127.5,210.0,0.475,172.5,0.425
15,2.5,75.0,0.4,142.5,0.375
16,50.0,90.0,0.525,90.0,0.425
17,3.75,52.5,0.45,123.75,0.35
18,-16.25,101.25,0.275,135.0,0.375
19,301.25,101.25,0.75,247.5,0.4
20,41.25,123.75,0.325,45.0,0.375
21,116.25,142.5,0.55,191.25,0.325
22,37.5,75.0,0.55,157.5,0.475
23,27.5,150.0,0.375,172.5,0.325
24,51.25,82.5,0.475,206.25,0.375
25,16.25,123.75,0.325,150.0,0.375
26,301.25,63.75,0.875,75.0,0.4
27,30.0,135.0,0.55,165.0,0.3
28,141.25,67.5,0.625,131.25,0.375
29,90.0,123.75,0.525,146.25,0.275
30,117.5,112.5,0.7,210.0,0.4
31,150.0,90.0,0.55,300.0,0.5
32,42.5,45.0,0.625,172.5,0.375
33,93.75,112.5,0.675,273.75,0.325
34,170.0,161.25,0.575,108.75,0.4
35,262.5,78.75,0.775,198.75,0.3
36,62.5,78.75,0.775,168.75,0.35
37,123.75,93.75,0.775,142.5,0.425
38,32.5,30.0,0.725,67.5,0.45
39,43.75,101.25,0.55,195.0,0.4
40,211.25,33.75,0.9,195.0,0.475
41,225.0,112.5,0.75,52.5,0.375
42,188.75,123.75,0.75,157.5,0.3
43,70.0,86.25,0.6,183.75,0.3
44,197.5,33.75,0.925,198.75,0.3
45,1.25,127.5,0.525,221.25,0.325
46,92.5,127.5,0.6,90.0,0.45
47,-11.25,101.25,0.75,180.0,0.3
48,38.75,60.0,0.725,191.25,0.4
49,163.75,90.0,0.675,146.25,0.4
50,160.0,153.75,0.65,266.25,0.35
51,86.25,48.75,0.7,105.0,0.525
52,192.5,97.5,0.775,150.0,0.3
53,105.0,15.0,0.975,120.0,0.425
54,12.5,116.25,0.65,191.25,0.325
55,91.25,33.75,0.9,75.0,0.25
56,98.75,108.75,0.75,142.5,0.275
57,31.25,71.25,0.7,157.5,0.325
58,292.5,60.0,0.875,217.5,0.35
59,122.5,93.75,0.725,33.75,0.325
60,243.75,30.0,0.875,146.25,0.375
61,-22.5,97.5,0.6,135.0,0.25
62,85.0,63.75,0.775,41.25,0.45
63,55.0,153.75,0.65,161.25,0.4
64,110.0,90.0,0.625,120.0,0.325
65,86.25,123.75,0.625,90.0,0.35
66,55.0,15.0,0.825,180.0,0.3
67,237.5,86.25,0.725,296.25,0.425
68,137.5,75.0,0.75,217.5,0.425
69,57.5,112.5,0.675,150.0,0.3
70,120.0,108.75,0.625,251.25,0.35
71,132.5,165.0,0.65,82.5,0.375
72,178.75,82.5,0.725,108.75,0.325
73,30.0,108.75,0.675,101.25,0.3
74,82.5,48.75,0.6,168.75,0.325
75,72.5,45.0,0.775,202.5,0.275
76,95.0,86.25,0.65,198.75,0.4
77,103.75,120.0,0.65,266.25,0.275
78,23.75,60.0,0.675,176.25,0.275
79,145.0,75.0,0.725,150.0,0.35
80,50.0,82.5,0.6,127.5,0.475
81,106.25,90.0,0.65,183.75,0.3
82,18.75,97.5,0.6,93.75,0.375
83,146.25,26.25,0.75,157.5,0.25
84,208.75,82.5,0.775,318.75,0.35
85,47.5,168.75,0.5,273.75,0.275
86,53.75,56.25,0.7,210.0,0.35
87,167.5,86.25,0.75,116.25,0.35
88,116.25,120.0,0.625,183.75,0.375
89,253.75,60.0,0.8,56.25,0.3
90,367.5,56.25,0.9,206.25,0.375
91,177.5,45.0,0.775,187.5,0.375
92,22.5,198.75,0.4,168.75,0.325
93,192.5,45.0,0.825,142.5,0.4
94,113.75,195.0,0.575,71.25,0.3
95,82.5,78.75,0.65,348.75,0.275
96,141.25,105.0,0.7,213.75,0.3
97,62.5,243.75,0.4,123.75,0.45
98,110.0,26.25,0.7,63.75,0.525
99,58.75,37.5,0.575,153.75,0.3
100,32.5,90.0,0.6,127.5,0.375
101,103.75,108.75,0.5,247.5,0.4
102,-25.0,93.75,0.5,221.25,0.2
103,91.25,157.5,0.55,251.25,0.35
104,12.5,82.5,0.6,255.0,0.2
105,55.0,135.0,0.525,210.0,0.325
106,71.25,176.25,0.525,142.5,0.3
107,53.75,116.25,0.6,180.0,0.25
108,-7.5,116.25,0.5,251.25,0.275
109,38.75,90.0,0.6,101.25,0.25
110,61.25,93.75,0.625,135.0,0.325
111,50.0,75.0,0.55,195.0,0.325
112,23.75,131.25,0.525,105.0,0.325
113,42.5,30.0,0.55,37.5,0.325
114,33.75,33.75,0.5,142.5,0.375
115,3.75,243.75,0.375,202.5,0.25
116,-1.25,138.75,0.45,202.5,0.3
117,1.25,18.75,0.475,210.0,0.3
118,15.0,82.5,0.5,262.5,0.25
119,90.0,172.5,0.475,67.5,0.375
120,77.5,150.0,0.45,172.5,0.35
121,25.0,157.5,0.45,247.5,0.225
122,-26.25,0.0,0.25,296.25,0.275
123,26.25,127.5,0.475,146.25,0.325
124,78.75,217.5,0.35,123.75,0.45
125,27.5,217.5,0.4,45.0,0.3
126,2.5,75.0,0.4,22.5,0.3
127,-20.0,45.0,0.3,165.0,0.275
128,-5.0,225.0,0.35,60.0,0.3
129,32.5,116.25,0.4,41.25,0.25
130,22.5,172.5,0.325,135.0,0.275
131,-23.75,22.5,0.425,101.25,0.225
132,-35.0,112.5,0.25,292.5,0.275
133,-60.0,191.25,0.275,378.75,0.275
134,31.25,82.5,0.55,326.25,0.3
135,41.25,56.25,0.425,112.5,0.3
136,-2.5,153.75,0.4,228.75,0.275
137,-38.75,157.5,0.275,191.25,0.25
138,-6.25,315.0,0.325,101.25,0.3
139,-40.0,157.5,0.25,202.5,0.275
140,-8.75,168.75,0.35,60.0,0.275
141,-7.5,153.75,0.375,213.75,0.25
142,1.25,131.25,0.35,187.5,0.225
143,-18.75,146.25,0.325,172.5,0.225
144,-23.75,288.75,0.25,75.0,0.35
145,-40.0,213.75,0.225,176.25,0.3
146,-78.75,221.25,0.225,217.5,0.2
147,-31.25,108.75,0.25,202.5,0.325
148,-50.0,273.75,0.225,266.25,0.275
149,-6.25,161.25,0.3,405.0,0.325
150,17.5,168.75,0.375,123.75,0.325
151,17.5,206.25,0.4,146.25,0.35
152,-3.75,131.25,0.425,112.5,0.225
153,-30.0,120.0,0.3,180.0,0.25
154,-11.25,120.0,0.325,101.25,0.3
155,35.0,142.5,0.475,202.5,0.25
156,-26.25,258.75,0.325,247.5,0.25
157,-1.25,127.5,0.275,243.75,0.3
158,-5.0,176.25,0.375,198.75,0.275
159,-5.0,157.5,0.375,157.5,0.225
